target_file,vuln_file,patch_file,datail,predict
./processed/ApsaraDB@@PolarDB-for-PostgreSQL-v11.9.20.0/bit_in@@@src@#@backend@#@utils@#@adt@#@varbit.c,./cache/old_new_funcs/vul/sample/CVE-2014-0064_CWE-XXXX-XXXX_31400a673325147e1205326008e32135a78b4d8a_CVE-2014-0064_31400a673325147e1205326008e32135a78b4d8a_varbit.c_1.1_bit_in_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2014-0064_CWE-XXXX-XXXX_31400a673325147e1205326008e32135a78b4d8a_CVE-2014-0064_31400a673325147e1205326008e32135a78b4d8a_varbit.c_1.1_bit_in_NEW.vul,"[True, 'no del line', False]",False
./processed/ApsaraDB@@PolarDB-for-PostgreSQL-v11.9.20.0/bit_in@@@src@#@backend@#@utils@#@adt@#@varbit.c,./cache/old_new_funcs/vul/sample/CVE-2014-0064_CWE-XXXX-XXXX_31400a673325147e1205326008e32135a78b4d8a_CVE-2014-0064_31400a673325147e1205326008e32135a78b4d8a_varbit.c_1.1_varbit_in_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2014-0064_CWE-XXXX-XXXX_31400a673325147e1205326008e32135a78b4d8a_CVE-2014-0064_31400a673325147e1205326008e32135a78b4d8a_varbit.c_1.1_varbit_in_NEW.vul,"[True, 'no del line', False]",False
./processed/ApsaraDB@@PolarDB-for-PostgreSQL-v11.9.20.0/SetSessionUserId@@@src@#@backend@#@utils@#@init@#@miscinit.c,./cache/old_new_funcs/vul/sample/CVE-2007-6600_CWE-XXXX-XXXX_eedb068c0a7474fb11d67d03b0a9e1ded5df82c4_CVE-2007-6600_eedb068c0a7474fb11d67d03b0a9e1ded5df82c4_miscinit.c_1.1_SetSessionUserId_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2007-6600_CWE-XXXX-XXXX_eedb068c0a7474fb11d67d03b0a9e1ded5df82c4_CVE-2007-6600_eedb068c0a7474fb11d67d03b0a9e1ded5df82c4_miscinit.c_1.1_SetSessionUserId_NEW.vul,"[True, 'no del line', True, True, 0.7532467532467533, 0.7469879518072289]",True
./processed/ApsaraDB@@PolarDB-for-PostgreSQL-v11.9.20.0/tlist_matches_tupdesc@@@src@#@backend@#@executor@#@execUtils.c,./cache/old_new_funcs/vul/sample/CVE-2007-0556_CWE-XXXX-XXXX_5413eef8dcd2dbf2cc46eed4f9fe4024987b8a38_CVE-2007-0556_5413eef8dcd2dbf2cc46eed4f9fe4024987b8a38_execScan.c_1.1_tlist_matches_tupdesc_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2007-0556_CWE-XXXX-XXXX_5413eef8dcd2dbf2cc46eed4f9fe4024987b8a38_CVE-2007-0556_5413eef8dcd2dbf2cc46eed4f9fe4024987b8a38_execScan.c_1.1_tlist_matches_tupdesc_NEW.vul,[False],False
./processed/ApsaraDB@@PolarDB-for-PostgreSQL-v11.9.20.0/PGTYPESinterval_from_asc@@@src@#@interfaces@#@ecpg@#@pgtypeslib@#@interval.c,./cache/old_new_funcs/vul/sample/CVE-2014-0063_CWE-XXXX-XXXX_4318daecc959886d001a6e79c6ea853e8b1dfb4b_CVE-2014-0063_4318daecc959886d001a6e79c6ea853e8b1dfb4b_interval.c_1.1_PGTYPESinterval_from_asc_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2014-0063_CWE-XXXX-XXXX_4318daecc959886d001a6e79c6ea853e8b1dfb4b_CVE-2014-0063_4318daecc959886d001a6e79c6ea853e8b1dfb4b_interval.c_1.1_PGTYPESinterval_from_asc_NEW.vul,[False],False
./processed/ApsaraDB@@PolarDB-for-PostgreSQL-v11.9.20.0/SetSessionUserId@@@src@#@backend@#@utils@#@init@#@miscinit.c,./cache/old_new_funcs/vul/sample/CVE-2007-6600_CWE-XXXX-XXXX_eedb068c0a7474fb11d67d03b0a9e1ded5df82c4_CVE-2007-6600_eedb068c0a7474fb11d67d03b0a9e1ded5df82c4_miscinit.c_1.1_SetSessionUserId_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2007-6600_CWE-XXXX-XXXX_eedb068c0a7474fb11d67d03b0a9e1ded5df82c4_CVE-2007-6600_eedb068c0a7474fb11d67d03b0a9e1ded5df82c4_miscinit.c_1.1_SetSessionUserId_NEW.vul,['no vuln_file emb'],True
./processed/ApsaraDB@@PolarDB-for-PostgreSQL-v11.9.20.0/pullf_read_max@@@contrib@#@pgcrypto@#@mbuf.c,./cache/old_new_funcs/vul/sample/CVE-2015-0243_CWE-XXXX-XXXX_1dc75515868454c645ded22d38054ec693e23ec6_CVE-2015-0243_1dc75515868454c645ded22d38054ec693e23ec6_mbuf.c_1.1_pullf_read_max_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2015-0243_CWE-XXXX-XXXX_1dc75515868454c645ded22d38054ec693e23ec6_CVE-2015-0243_1dc75515868454c645ded22d38054ec693e23ec6_mbuf.c_1.1_pullf_read_max_NEW.vul,"[True, 'no del line', False]",False
./processed/ApsaraDB@@PolarDB-for-PostgreSQL-v11.9.20.0/PerformCursorOpen@@@src@#@backend@#@commands@#@portalcmds.c,./cache/old_new_funcs/vul/sample/CVE-2020-25695_CWE-XXXX-XXXX_14f8ba7603e187be045543c8ad60a961e0041bd6_CVE-2020-25695_14f8ba7603e187be045543c8ad60a961e0041bd6_portalcmds.c_1.1_PerformCursorOpen_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2020-25695_CWE-XXXX-XXXX_14f8ba7603e187be045543c8ad60a961e0041bd6_CVE-2020-25695_14f8ba7603e187be045543c8ad60a961e0041bd6_portalcmds.c_1.1_PerformCursorOpen_NEW.vul,"[True, 'no del line', False]",False
./processed/ApsaraDB@@PolarDB-for-PostgreSQL-v11.9.20.0/index_constraint_create@@@src@#@backend@#@catalog@#@index.c,./cache/old_new_funcs/vul/sample/CVE-2014-0062_CWE-XXXX-XXXX_5f173040e324f6c2eebb90d86cf1b0cdb5890f0a_CVE-2014-0062_5f173040e324f6c2eebb90d86cf1b0cdb5890f0a_index.c_1.1_index_constraint_create_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2014-0062_CWE-XXXX-XXXX_5f173040e324f6c2eebb90d86cf1b0cdb5890f0a_CVE-2014-0062_5f173040e324f6c2eebb90d86cf1b0cdb5890f0a_index.c_1.1_index_constraint_create_NEW.vul,[False],False
./processed/ApsaraDB@@PolarDB-for-PostgreSQL-v11.9.20.0/be_lo_from_bytea@@@src@#@backend@#@libpq@#@be-fsstubs.c,./cache/old_new_funcs/vul/sample/CVE-2017-7548_CWE-XXXX-XXXX_8d9881911f0d30e0783a6bb1363b94a2c817433d_CVE-2017-7548_8d9881911f0d30e0783a6bb1363b94a2c817433d_be-fsstubs.c_1.1_be_lo_put_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2017-7548_CWE-XXXX-XXXX_8d9881911f0d30e0783a6bb1363b94a2c817433d_CVE-2017-7548_8d9881911f0d30e0783a6bb1363b94a2c817433d_be-fsstubs.c_1.1_be_lo_put_NEW.vul,"[True, 'no del line', True, True, 0.6994219653179191, 0.5]",True
