target_file,vuln_file,patch_file,datail,predict
./processed/Ardour@@ardour-newest/find_impl@@@libs@#@pbd@#@xml++.cc,./cache/old_new_funcs/vul/sample/CVE-2020-22617_CWE-XXXX-XXXX_96daa4036a_CVE-2020-22617_96daa4036a_xml++.cc_1.1_find_impl_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2020-22617_CWE-XXXX-XXXX_96daa4036a_CVE-2020-22617_96daa4036a_xml++.cc_1.1_find_impl_NEW.vul,"[True, True, True, 0.972027972027972, 0.9381443298969072]",True
./processed/Ardour@@ardour-newest/lua_sethook@@@libs@#@lua@#@lua-5.3.5@#@ldebug.c,./cache/old_new_funcs/vul/sample/CVE-2020-15945_CWE-XXXX-XXXX_a2195644d89812e5b157ce7bac35543e06db05e3_CVE-2020-15945_a2195644d89812e5b157ce7bac35543e06db05e3_ldebug.c_1.1_lua_sethook_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2020-15945_CWE-XXXX-XXXX_a2195644d89812e5b157ce7bac35543e06db05e3_CVE-2020-15945_a2195644d89812e5b157ce7bac35543e06db05e3_ldebug.c_1.1_lua_sethook_NEW.vul,"[True, True, 'no add line', True, 0.8535031847133758, 0.7534246575342466]",True
./processed/Ardour@@ardour-newest/lua_sethook@@@libs@#@lua@#@lua-5.3.5@#@ldebug.c,./cache/old_new_funcs/vul/sample/CVE-2020-15945_CWE-XXXX-XXXX_a2195644d89812e5b157ce7bac35543e06db05e3_CVE-2020-15945_a2195644d89812e5b157ce7bac35543e06db05e3_ldebug.c_1.1_lua_sethook_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2020-15945_CWE-XXXX-XXXX_a2195644d89812e5b157ce7bac35543e06db05e3_CVE-2020-15945_a2195644d89812e5b157ce7bac35543e06db05e3_ldebug.c_1.1_lua_sethook_NEW.vul,['no vuln_file emb'],True
./processed/Ardour@@ardour-newest/event_type_string@@@libs@#@canvas@#@debug.cc,./cache/old_new_funcs/vul/sample/CVE-2020-11080_CWE-XXXX-XXXX_336a98feb0d56b9ac54e12736b18785c27f75090_CVE-2020-11080_336a98feb0d56b9ac54e12736b18785c27f75090_nghttp2_helper.c_1.1_nghttp2_strerror_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2020-11080_CWE-XXXX-XXXX_336a98feb0d56b9ac54e12736b18785c27f75090_CVE-2020-11080_336a98feb0d56b9ac54e12736b18785c27f75090_nghttp2_helper.c_1.1_nghttp2_strerror_NEW.vul,"[True, 'no del line', True, False, 0.354978354978355, 0.3494318181818182]",False
./processed/Ardour@@ardour-newest/find_impl@@@libs@#@pbd@#@xml++.cc,./cache/old_new_funcs/vul/sample/CVE-2020-22617_CWE-XXXX-XXXX_96daa4036a_CVE-2020-22617_96daa4036a_xml++.cc_1.1_find_impl_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2020-22617_CWE-XXXX-XXXX_96daa4036a_CVE-2020-22617_96daa4036a_xml++.cc_1.1_find_impl_NEW.vul,['no vuln_file emb'],True
./processed/Ardour@@ardour-newest/preinit_thread@@@libs@#@lua@#@lua-5.3.5@#@lstate.c,./cache/old_new_funcs/vul/sample/CVE-2020-15945_CWE-XXXX-XXXX_a2195644d89812e5b157ce7bac35543e06db05e3_CVE-2020-15945_a2195644d89812e5b157ce7bac35543e06db05e3_lstate.c_1.1_preinit_thread_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2020-15945_CWE-XXXX-XXXX_a2195644d89812e5b157ce7bac35543e06db05e3_CVE-2020-15945_a2195644d89812e5b157ce7bac35543e06db05e3_lstate.c_1.1_preinit_thread_NEW.vul,"[True, 'no del line', True, False, 0.8602150537634409, 0.868421052631579]",False
./processed/Ardour@@ardour-newest/luaV_concat@@@libs@#@lua@#@lua-5.3.5@#@lvm.c,./cache/old_new_funcs/vul/sample/CVE-2022-33099_CWE-XXXX-XXXX_42d40581dd919fb134c07027ca1ce0844c670daf_CVE-2022-33099_42d40581dd919fb134c07027ca1ce0844c670daf_lvm.c_1.1_luaV_concat_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2022-33099_CWE-XXXX-XXXX_42d40581dd919fb134c07027ca1ce0844c670daf_CVE-2022-33099_42d40581dd919fb134c07027ca1ce0844c670daf_lvm.c_1.1_luaV_concat_NEW.vul,[False],False
./processed/Ardour@@ardour-newest/getWaveletName@@@libs@#@qm-dsp@#@dsp@#@wavelet@#@Wavelet.cpp,./cache/old_new_funcs/vul/sample/CVE-2024-28182_CWE-XXXX-XXXX_00201ecd8f982da3b67d4f6868af72a1b03b14e0_CVE-2024-28182_00201ecd8f982da3b67d4f6868af72a1b03b14e0_nghttp2_helper.c_1.1_nghttp2_strerror_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2024-28182_CWE-XXXX-XXXX_00201ecd8f982da3b67d4f6868af72a1b03b14e0_CVE-2024-28182_00201ecd8f982da3b67d4f6868af72a1b03b14e0_nghttp2_helper.c_1.1_nghttp2_strerror_NEW.vul,"[True, 'no del line', True, False, 0.3567567567567568, 0.35876840696117807]",False
./processed/Ardour@@ardour-newest/luaG_runerror@@@libs@#@lua@#@lua-5.3.5@#@ldebug.c,./cache/old_new_funcs/vul/sample/CVE-2022-33099_CWE-XXXX-XXXX_42d40581dd919fb134c07027ca1ce0844c670daf_CVE-2022-33099_42d40581dd919fb134c07027ca1ce0844c670daf_ldebug.c_1.1_luaG_runerror_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2022-33099_CWE-XXXX-XXXX_42d40581dd919fb134c07027ca1ce0844c670daf_CVE-2022-33099_42d40581dd919fb134c07027ca1ce0844c670daf_ldebug.c_1.1_luaG_runerror_NEW.vul,"[True, True, True, 0.8791946308724832, 0.7119565217391305]",True
./processed/Ardour@@ardour-newest/luaC_barrier_@@@libs@#@lua@#@lua-5.3.5@#@lgc.c,./cache/old_new_funcs/vul/sample/CVE-2020-24371_CWE-XXXX-XXXX_a6da1472c0c5e05ff249325f979531ad51533110_CVE-2020-24371_a6da1472c0c5e05ff249325f979531ad51533110_lgc.c_1.1_luaC_barrier__OLD.vul,./cache/old_new_funcs/no_vul/CVE-2020-24371_CWE-XXXX-XXXX_a6da1472c0c5e05ff249325f979531ad51533110_CVE-2020-24371_a6da1472c0c5e05ff249325f979531ad51533110_lgc.c_1.1_luaC_barrier__NEW.vul,"[True, 'no del line', True, True, 0.7252747252747253, 0.6632653061224489]",True
