target_file,vuln_file,patch_file,datail,predict
./processed/ArtifexSoftware@@ghostpdl-ghostpdl-10.0.0/doProlog@@@expat@#@lib@#@xmlparse.c,./cache/old_new_funcs/vul/sample/CVE-2009-3720_CWE-XXXX-XXXX_82c0fd73d4da6f33596f0c9f231566242fd20d01_CVE-2009-3720_82c0fd73d4da6f33596f0c9f231566242fd20d01_xmlparse.c_1.1_doProlog_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2009-3720_CWE-XXXX-XXXX_82c0fd73d4da6f33596f0c9f231566242fd20d01_CVE-2009-3720_82c0fd73d4da6f33596f0c9f231566242fd20d01_xmlparse.c_1.1_doProlog_NEW.vul,"[True, True, 'no add line', True, 0.968319763138416, 0.9671403197158082]",True
./processed/ArtifexSoftware@@ghostpdl-ghostpdl-10.0.0/jbig2_image_compose@@@jbig2dec@#@jbig2_image.c,./cache/old_new_funcs/vul/sample/CVE-2020-12268_CWE-XXXX-XXXX_0726320a4b55078e9d8deb590e477d598b3da66e_CVE-2020-12268_0726320a4b55078e9d8deb590e477d598b3da66e_jbig2_image.c_1.1_jbig2_image_compose_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2020-12268_CWE-XXXX-XXXX_0726320a4b55078e9d8deb590e477d598b3da66e_CVE-2020-12268_0726320a4b55078e9d8deb590e477d598b3da66e_jbig2_image.c_1.1_jbig2_image_compose_NEW.vul,"[True, 'no del line', False]",False
./processed/ArtifexSoftware@@ghostpdl-ghostpdl-10.0.0/doProlog@@@expat@#@lib@#@xmlparse.c,./cache/old_new_funcs/vul/sample/CVE-2009-3720_CWE-XXXX-XXXX_82c0fd73d4da6f33596f0c9f231566242fd20d01_CVE-2009-3720_82c0fd73d4da6f33596f0c9f231566242fd20d01_xmlparse.c_1.1_doProlog_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2009-3720_CWE-XXXX-XXXX_82c0fd73d4da6f33596f0c9f231566242fd20d01_CVE-2009-3720_82c0fd73d4da6f33596f0c9f231566242fd20d01_xmlparse.c_1.1_doProlog_NEW.vul,['no vuln_file emb'],True
./processed/ArtifexSoftware@@ghostpdl-ghostpdl-10.0.0/PREFIX@@@expat@#@lib@#@xmltok_impl.c,./cache/old_new_funcs/vul/sample/CVE-2009-3720_CWE-XXXX-XXXX_82c0fd73d4da6f33596f0c9f231566242fd20d01_CVE-2009-3720_82c0fd73d4da6f33596f0c9f231566242fd20d01_xmltok_impl.c_1.1_( updatePosition_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2009-3720_CWE-XXXX-XXXX_82c0fd73d4da6f33596f0c9f231566242fd20d01_CVE-2009-3720_82c0fd73d4da6f33596f0c9f231566242fd20d01_xmltok_impl.c_1.1_( updatePosition_NEW.vul,[False],False
./processed/ArtifexSoftware@@ghostpdl-ghostpdl-10.0.0/PREFIX@@@expat@#@lib@#@xmltok_impl.c,./cache/old_new_funcs/vul/sample/CVE-2009-3560_CWE-XXXX-XXXX_e03f0571759059147077c3c20690a21239b3dfad_CVE-2009-3560_e03f0571759059147077c3c20690a21239b3dfad_xmltok_impl.c_1.1_( updatePosition_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2009-3560_CWE-XXXX-XXXX_e03f0571759059147077c3c20690a21239b3dfad_CVE-2009-3560_e03f0571759059147077c3c20690a21239b3dfad_xmltok_impl.c_1.1_( updatePosition_NEW.vul,[False],False
./processed/ArtifexSoftware@@ghostpdl-ghostpdl-10.0.0/get_scaled_rgb_row@@@jpeg@#@rdppm.c,./cache/old_new_funcs/vul/sample/CVE-2021-46822_CWE-XXXX-XXXX_f35fd27ec641c42d6b115bfa595e483ec58188d2_CVE-2021-46822_f35fd27ec641c42d6b115bfa595e483ec58188d2_rdppm.c_1.1_get_word_rgb_row_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2021-46822_CWE-XXXX-XXXX_f35fd27ec641c42d6b115bfa595e483ec58188d2_CVE-2021-46822_f35fd27ec641c42d6b115bfa595e483ec58188d2_rdppm.c_1.1_get_word_rgb_row_NEW.vul,"[True, True, True, 0.7060240963855422, 0.5278810408921933]",True
./processed/ArtifexSoftware@@ghostpdl-ghostpdl-10.0.0/get_scaled_rgb_row@@@jpeg@#@rdppm.c,./cache/old_new_funcs/vul/sample/CVE-2021-46822_CWE-XXXX-XXXX_f35fd27ec641c42d6b115bfa595e483ec58188d2_CVE-2021-46822_f35fd27ec641c42d6b115bfa595e483ec58188d2_rdppm.c_1.1_get_word_rgb_row_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2021-46822_CWE-XXXX-XXXX_f35fd27ec641c42d6b115bfa595e483ec58188d2_CVE-2021-46822_f35fd27ec641c42d6b115bfa595e483ec58188d2_rdppm.c_1.1_get_word_rgb_row_NEW.vul,['no vuln_file emb'],True
./processed/ArtifexSoftware@@ghostpdl-ghostpdl-10.0.0/OJPEGReadBufferFill@@@tiff@#@libtiff@#@tif_ojpeg.c,./cache/old_new_funcs/vul/sample/CVE-2022-29776_CWE-XXXX-XXXX_88cf60a3ed4a2b40d71a1c2ced72fa3902a30967_CVE-2022-29776_88cf60a3ed4a2b40d71a1c2ced72fa3902a30967_tif_ojpeg.c_1.1_OJPEGReadBufferFill_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2022-29776_CWE-XXXX-XXXX_88cf60a3ed4a2b40d71a1c2ced72fa3902a30967_CVE-2022-29776_88cf60a3ed4a2b40d71a1c2ced72fa3902a30967_tif_ojpeg.c_1.1_OJPEGReadBufferFill_NEW.vul,"[True, 'no del line', True, False, 0.6743886743886743, 0.6750948166877371]",False
./processed/ArtifexSoftware@@ghostpdl-ghostpdl-10.0.0/tiffcp@@@tiff@#@tools@#@tiffcp.c,./cache/old_new_funcs/vul/sample/CVE-2023-6228_CWE-XXXX-XXXX_1e7d217a323eac701b134afc4ae39b6bdfdbc96a_CVE-2023-6228_1e7d217a323eac701b134afc4ae39b6bdfdbc96a_tiffcp.c_1.1_tiffcp_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2023-6228_CWE-XXXX-XXXX_1e7d217a323eac701b134afc4ae39b6bdfdbc96a_CVE-2023-6228_1e7d217a323eac701b134afc4ae39b6bdfdbc96a_tiffcp.c_1.1_tiffcp_NEW.vul,"[True, 'no del line', False]",False
./processed/ArtifexSoftware@@ghostpdl-ghostpdl-10.0.0/get_word_rgb_row@@@jpeg@#@rdppm.c,./cache/old_new_funcs/vul/sample/CVE-2021-46822_CWE-XXXX-XXXX_f35fd27ec641c42d6b115bfa595e483ec58188d2_CVE-2021-46822_f35fd27ec641c42d6b115bfa595e483ec58188d2_rdppm.c_1.1_get_word_rgb_row_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2021-46822_CWE-XXXX-XXXX_f35fd27ec641c42d6b115bfa595e483ec58188d2_CVE-2021-46822_f35fd27ec641c42d6b115bfa595e483ec58188d2_rdppm.c_1.1_get_word_rgb_row_NEW.vul,"[True, True, True, 0.7254901960784313, 0.5513698630136986]",True
