target_file,vuln_file,patch_file,datail,predict
./processed/Blosc@@c-blosc2-v2.15.0/zfp_rate_compress@@@plugins@#@codecs@#@zfp@#@blosc2-zfp.c,./cache/old_new_funcs/vul/sample/CVE-2023-37187_CWE-XXXX-XXXX_425e8a9a59d49378d57e2116b6c9b0190a5986f5_CVE-2023-37187_425e8a9a59d49378d57e2116b6c9b0190a5986f5_blosc2-zfp.c_1.1_zfp_acc_compress_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2023-37187_CWE-XXXX-XXXX_425e8a9a59d49378d57e2116b6c9b0190a5986f5_CVE-2023-37187_425e8a9a59d49378d57e2116b6c9b0190a5986f5_blosc2-zfp.c_1.1_zfp_acc_compress_NEW.vul,"[True, 'no del line', False]",False
./processed/Blosc@@c-blosc2-v2.15.0/zfp_rate_compress@@@plugins@#@codecs@#@zfp@#@blosc2-zfp.c,./cache/old_new_funcs/vul/sample/CVE-2023-37187_CWE-XXXX-XXXX_425e8a9a59d49378d57e2116b6c9b0190a5986f5_CVE-2023-37187_425e8a9a59d49378d57e2116b6c9b0190a5986f5_blosc2-zfp.c_1.1_zfp_rate_compress_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2023-37187_CWE-XXXX-XXXX_425e8a9a59d49378d57e2116b6c9b0190a5986f5_CVE-2023-37187_425e8a9a59d49378d57e2116b6c9b0190a5986f5_blosc2-zfp.c_1.1_zfp_rate_compress_NEW.vul,"[True, 'no del line', False]",False
./processed/Blosc@@c-blosc2-v2.15.0/zfp_rate_compress@@@plugins@#@codecs@#@zfp@#@blosc2-zfp.c,./cache/old_new_funcs/vul/sample/CVE-2023-37187_CWE-XXXX-XXXX_425e8a9a59d49378d57e2116b6c9b0190a5986f5_CVE-2023-37187_425e8a9a59d49378d57e2116b6c9b0190a5986f5_blosc2-zfp.c_1.1_zfp_prec_compress_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2023-37187_CWE-XXXX-XXXX_425e8a9a59d49378d57e2116b6c9b0190a5986f5_CVE-2023-37187_425e8a9a59d49378d57e2116b6c9b0190a5986f5_blosc2-zfp.c_1.1_zfp_prec_compress_NEW.vul,"[True, 'no del line', False]",False
./processed/Blosc@@c-blosc2-v2.15.0/zfp_acc_decompress@@@plugins@#@codecs@#@zfp@#@blosc2-zfp.c,./cache/old_new_funcs/vul/sample/CVE-2023-37187_CWE-XXXX-XXXX_425e8a9a59d49378d57e2116b6c9b0190a5986f5_CVE-2023-37187_425e8a9a59d49378d57e2116b6c9b0190a5986f5_blosc2-zfp.c_1.1_zfp_acc_decompress_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2023-37187_CWE-XXXX-XXXX_425e8a9a59d49378d57e2116b6c9b0190a5986f5_CVE-2023-37187_425e8a9a59d49378d57e2116b6c9b0190a5986f5_blosc2-zfp.c_1.1_zfp_acc_decompress_NEW.vul,"[True, 'no del line', False]",False
./processed/Blosc@@c-blosc2-v2.15.0/zfp_acc_decompress@@@plugins@#@codecs@#@zfp@#@blosc2-zfp.c,./cache/old_new_funcs/vul/sample/CVE-2023-37187_CWE-XXXX-XXXX_425e8a9a59d49378d57e2116b6c9b0190a5986f5_CVE-2023-37187_425e8a9a59d49378d57e2116b6c9b0190a5986f5_blosc2-zfp.c_1.1_zfp_rate_decompress_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2023-37187_CWE-XXXX-XXXX_425e8a9a59d49378d57e2116b6c9b0190a5986f5_CVE-2023-37187_425e8a9a59d49378d57e2116b6c9b0190a5986f5_blosc2-zfp.c_1.1_zfp_rate_decompress_NEW.vul,"[True, 'no del line', False]",False
./processed/Blosc@@c-blosc2-v2.15.0/zfp_acc_decompress@@@plugins@#@codecs@#@zfp@#@blosc2-zfp.c,./cache/old_new_funcs/vul/sample/CVE-2023-37187_CWE-XXXX-XXXX_425e8a9a59d49378d57e2116b6c9b0190a5986f5_CVE-2023-37187_425e8a9a59d49378d57e2116b6c9b0190a5986f5_blosc2-zfp.c_1.1_zfp_prec_decompress_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2023-37187_CWE-XXXX-XXXX_425e8a9a59d49378d57e2116b6c9b0190a5986f5_CVE-2023-37187_425e8a9a59d49378d57e2116b6c9b0190a5986f5_blosc2-zfp.c_1.1_zfp_prec_decompress_NEW.vul,"[True, 'no del line', False]",False
./processed/Blosc@@c-blosc2-v2.15.0/zfp_acc_decompress@@@plugins@#@codecs@#@zfp@#@blosc2-zfp.c,./cache/old_new_funcs/vul/sample/CVE-2023-37187_CWE-XXXX-XXXX_425e8a9a59d49378d57e2116b6c9b0190a5986f5_CVE-2023-37187_425e8a9a59d49378d57e2116b6c9b0190a5986f5_blosc2-zfp.c_1.1_zfp_acc_compress_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2023-37187_CWE-XXXX-XXXX_425e8a9a59d49378d57e2116b6c9b0190a5986f5_CVE-2023-37187_425e8a9a59d49378d57e2116b6c9b0190a5986f5_blosc2-zfp.c_1.1_zfp_acc_compress_NEW.vul,"[True, 'no del line', True, True, 0.6473175021987687, 0.645414847161572]",True
./processed/Blosc@@c-blosc2-v2.15.0/zfp_prec_compress@@@plugins@#@codecs@#@zfp@#@blosc2-zfp.c,./cache/old_new_funcs/vul/sample/CVE-2023-37187_CWE-XXXX-XXXX_425e8a9a59d49378d57e2116b6c9b0190a5986f5_CVE-2023-37187_425e8a9a59d49378d57e2116b6c9b0190a5986f5_blosc2-zfp.c_1.1_zfp_prec_decompress_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2023-37187_CWE-XXXX-XXXX_425e8a9a59d49378d57e2116b6c9b0190a5986f5_CVE-2023-37187_425e8a9a59d49378d57e2116b6c9b0190a5986f5_blosc2-zfp.c_1.1_zfp_prec_decompress_NEW.vul,"[True, 'no del line', True, False, 0.6732283464566929, 0.6752941176470588]",False
./processed/Blosc@@c-blosc2-v2.15.0/zfp_prec_compress@@@plugins@#@codecs@#@zfp@#@blosc2-zfp.c,./cache/old_new_funcs/vul/sample/CVE-2023-37187_CWE-XXXX-XXXX_425e8a9a59d49378d57e2116b6c9b0190a5986f5_CVE-2023-37187_425e8a9a59d49378d57e2116b6c9b0190a5986f5_blosc2-zfp.c_1.1_zfp_acc_compress_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2023-37187_CWE-XXXX-XXXX_425e8a9a59d49378d57e2116b6c9b0190a5986f5_CVE-2023-37187_425e8a9a59d49378d57e2116b6c9b0190a5986f5_blosc2-zfp.c_1.1_zfp_acc_compress_NEW.vul,"[True, 'no del line', False]",False
./processed/Blosc@@c-blosc2-v2.15.0/zfp_prec_compress@@@plugins@#@codecs@#@zfp@#@blosc2-zfp.c,./cache/old_new_funcs/vul/sample/CVE-2023-37187_CWE-XXXX-XXXX_425e8a9a59d49378d57e2116b6c9b0190a5986f5_CVE-2023-37187_425e8a9a59d49378d57e2116b6c9b0190a5986f5_blosc2-zfp.c_1.1_zfp_rate_compress_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2023-37187_CWE-XXXX-XXXX_425e8a9a59d49378d57e2116b6c9b0190a5986f5_CVE-2023-37187_425e8a9a59d49378d57e2116b6c9b0190a5986f5_blosc2-zfp.c_1.1_zfp_rate_compress_NEW.vul,"[True, 'no del line', False]",False
