target_file,vuln_file,patch_file,datail,predict
./processed/CauldronDevelopmentLLC@@cbang-1.5.0/errorStr@@@src@#@cbang@#@util@#@BZip2.cpp,./cache/old_new_funcs/vul/sample/CVE-2022-24795_CWE-XXXX-XXXX_7168bd79b888900aa94523301126f968a93eb3a6_CVE-2022-24795_7168bd79b888900aa94523301126f968a93eb3a6_yajl_lex.c_1.1_yajl_tok_name_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2022-24795_CWE-XXXX-XXXX_7168bd79b888900aa94523301126f968a93eb3a6_CVE-2022-24795_7168bd79b888900aa94523301126f968a93eb3a6_yajl_lex.c_1.1_yajl_tok_name_NEW.vul,"[True, 'no del line', True, False, 0.36330935251798563, 0.3541666666666667]",False
./processed/CauldronDevelopmentLLC@@cbang-1.5.0/evbuffer_read@@@src@#@libevent@#@src@#@buffer.c,./cache/old_new_funcs/vul/sample/CVE-2014-6272_CWE-XXXX-XXXX_841ecbd96105c84ac2e7c9594aeadbcc6fb38bc4_CVE-2014-6272_841ecbd96105c84ac2e7c9594aeadbcc6fb38bc4_buffer.c_1.1_evbuffer_read_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2014-6272_CWE-XXXX-XXXX_841ecbd96105c84ac2e7c9594aeadbcc6fb38bc4_CVE-2014-6272_841ecbd96105c84ac2e7c9594aeadbcc6fb38bc4_buffer.c_1.1_evbuffer_read_NEW.vul,[False],False
./processed/CauldronDevelopmentLLC@@cbang-1.5.0/evbuffer_expand_singlechain@@@src@#@libevent@#@src@#@buffer.c,./cache/old_new_funcs/vul/sample/CVE-2014-6272_CWE-XXXX-XXXX_841ecbd96105c84ac2e7c9594aeadbcc6fb38bc4_CVE-2014-6272_841ecbd96105c84ac2e7c9594aeadbcc6fb38bc4_buffer.c_1.1_evbuffer_expand_singlechain_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2014-6272_CWE-XXXX-XXXX_841ecbd96105c84ac2e7c9594aeadbcc6fb38bc4_CVE-2014-6272_841ecbd96105c84ac2e7c9594aeadbcc6fb38bc4_buffer.c_1.1_evbuffer_expand_singlechain_NEW.vul,[False],False
./processed/CauldronDevelopmentLLC@@cbang-1.5.0/errorToString@@@src@#@cbang@#@js@#@chakra@#@Value.cpp,./cache/old_new_funcs/vul/sample/CVE-2020-11080_CWE-XXXX-XXXX_336a98feb0d56b9ac54e12736b18785c27f75090_CVE-2020-11080_336a98feb0d56b9ac54e12736b18785c27f75090_nghttp2_helper.c_1.1_nghttp2_strerror_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2020-11080_CWE-XXXX-XXXX_336a98feb0d56b9ac54e12736b18785c27f75090_CVE-2020-11080_336a98feb0d56b9ac54e12736b18785c27f75090_nghttp2_helper.c_1.1_nghttp2_strerror_NEW.vul,"[True, 'no del line', True, False, 0.3713892709766162, 0.3770491803278688]",False
./processed/CauldronDevelopmentLLC@@cbang-1.5.0/errorToString@@@src@#@cbang@#@js@#@chakra@#@Value.cpp,./cache/old_new_funcs/vul/sample/CVE-2024-28182_CWE-XXXX-XXXX_00201ecd8f982da3b67d4f6868af72a1b03b14e0_CVE-2024-28182_00201ecd8f982da3b67d4f6868af72a1b03b14e0_nghttp2_helper.c_1.1_nghttp2_strerror_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2024-28182_CWE-XXXX-XXXX_00201ecd8f982da3b67d4f6868af72a1b03b14e0_CVE-2024-28182_00201ecd8f982da3b67d4f6868af72a1b03b14e0_nghttp2_helper.c_1.1_nghttp2_strerror_NEW.vul,"[True, 'no del line', True, False, 0.3770491803278688, 0.37889039242219213]",False
./processed/CauldronDevelopmentLLC@@cbang-1.5.0/evbuffer_ptr_memcmp@@@src@#@libevent@#@src@#@buffer.c,./cache/old_new_funcs/vul/sample/CVE-2014-6272_CWE-XXXX-XXXX_841ecbd96105c84ac2e7c9594aeadbcc6fb38bc4_CVE-2014-6272_841ecbd96105c84ac2e7c9594aeadbcc6fb38bc4_buffer.c_1.1_evbuffer_ptr_memcmp_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2014-6272_CWE-XXXX-XXXX_841ecbd96105c84ac2e7c9594aeadbcc6fb38bc4_CVE-2014-6272_841ecbd96105c84ac2e7c9594aeadbcc6fb38bc4_buffer.c_1.1_evbuffer_ptr_memcmp_NEW.vul,[False],False
./processed/CauldronDevelopmentLLC@@cbang-1.5.0/PREFIX@@@src@#@expat@#@xmltok_impl.c,./cache/old_new_funcs/vul/sample/CVE-2009-3720_CWE-XXXX-XXXX_82c0fd73d4da6f33596f0c9f231566242fd20d01_CVE-2009-3720_82c0fd73d4da6f33596f0c9f231566242fd20d01_xmltok_impl.c_1.1_( updatePosition_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2009-3720_CWE-XXXX-XXXX_82c0fd73d4da6f33596f0c9f231566242fd20d01_CVE-2009-3720_82c0fd73d4da6f33596f0c9f231566242fd20d01_xmltok_impl.c_1.1_( updatePosition_NEW.vul,[False],False
./processed/CauldronDevelopmentLLC@@cbang-1.5.0/PREFIX@@@src@#@expat@#@xmltok_impl.c,./cache/old_new_funcs/vul/sample/CVE-2009-3560_CWE-XXXX-XXXX_e03f0571759059147077c3c20690a21239b3dfad_CVE-2009-3560_e03f0571759059147077c3c20690a21239b3dfad_xmltok_impl.c_1.1_( updatePosition_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2009-3560_CWE-XXXX-XXXX_e03f0571759059147077c3c20690a21239b3dfad_CVE-2009-3560_e03f0571759059147077c3c20690a21239b3dfad_xmltok_impl.c_1.1_( updatePosition_NEW.vul,[False],False
./processed/CauldronDevelopmentLLC@@cbang-1.5.0/evbuffer_ptr_subtract@@@src@#@libevent@#@src@#@buffer.c,./cache/old_new_funcs/vul/sample/CVE-2014-6272_CWE-XXXX-XXXX_841ecbd96105c84ac2e7c9594aeadbcc6fb38bc4_CVE-2014-6272_841ecbd96105c84ac2e7c9594aeadbcc6fb38bc4_buffer.c_1.1_evbuffer_ptr_subtract_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2014-6272_CWE-XXXX-XXXX_841ecbd96105c84ac2e7c9594aeadbcc6fb38bc4_CVE-2014-6272_841ecbd96105c84ac2e7c9594aeadbcc6fb38bc4_buffer.c_1.1_evbuffer_ptr_subtract_NEW.vul,"[True, 'no del line', False]",False
./processed/CauldronDevelopmentLLC@@cbang-1.5.0/doProlog@@@src@#@expat@#@xmlparse.c,./cache/old_new_funcs/vul/sample/CVE-2009-3720_CWE-XXXX-XXXX_82c0fd73d4da6f33596f0c9f231566242fd20d01_CVE-2009-3720_82c0fd73d4da6f33596f0c9f231566242fd20d01_xmlparse.c_1.1_doProlog_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2009-3720_CWE-XXXX-XXXX_82c0fd73d4da6f33596f0c9f231566242fd20d01_CVE-2009-3720_82c0fd73d4da6f33596f0c9f231566242fd20d01_xmlparse.c_1.1_doProlog_NEW.vul,"[True, True, 'no add line', True, 0.968319763138416, 0.9671403197158082]",True
