target_file,vuln_file,patch_file,datail,predict
./processed/DCMTK@@dcmtk-DCMTK-3.6.8/getString@@@dcmnet@#@libsrc@#@dimcmd.cc,./cache/old_new_funcs/vul/sample/CVE-2024-34508_CWE-XXXX-XXXX_c78e434c0c5f9d932874f0b17a8b4ce305ca01f5_CVE-2024-34508_c78e434c0c5f9d932874f0b17a8b4ce305ca01f5_dimcmd.cc_1.1_getString_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2024-34508_CWE-XXXX-XXXX_c78e434c0c5f9d932874f0b17a8b4ce305ca01f5_CVE-2024-34508_c78e434c0c5f9d932874f0b17a8b4ce305ca01f5_dimcmd.cc_1.1_getString_NEW.vul,"[True, 'no del line', True, True, 0.98125, 0.8895348837209303]",True
./processed/DCMTK@@dcmtk-DCMTK-3.6.8/getString@@@dcmnet@#@libsrc@#@dimcmd.cc,./cache/old_new_funcs/vul/sample/CVE-2024-34509_CWE-XXXX-XXXX_c78e434c0c5f9d932874f0b17a8b4ce305ca01f5_CVE-2024-34509_c78e434c0c5f9d932874f0b17a8b4ce305ca01f5_dimcmd.cc_1.1_getString_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2024-34509_CWE-XXXX-XXXX_c78e434c0c5f9d932874f0b17a8b4ce305ca01f5_CVE-2024-34509_c78e434c0c5f9d932874f0b17a8b4ce305ca01f5_dimcmd.cc_1.1_getString_NEW.vul,"[True, 'no del line', True, True, 0.98125, 0.8895348837209303]",True
./processed/DCMTK@@dcmtk-DCMTK-3.6.8/DU_getStringDOElement@@@dcmnet@#@libsrc@#@diutil.cc,./cache/old_new_funcs/vul/sample/CVE-2021-41689_CWE-XXXX-XXXX_5c14bf53fb42ceca12bbcc0016e8704b1580920d_CVE-2021-41689_5c14bf53fb42ceca12bbcc0016e8704b1580920d_diutil.cc_1.1_DU_getStringDOElement_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2021-41689_CWE-XXXX-XXXX_5c14bf53fb42ceca12bbcc0016e8704b1580920d_CVE-2021-41689_5c14bf53fb42ceca12bbcc0016e8704b1580920d_diutil.cc_1.1_DU_getStringDOElement_NEW.vul,"[True, 'no del line', False]",False
./processed/DCMTK@@dcmtk-DCMTK-3.6.8/loadValue@@@dcmdata@#@libsrc@#@dcelem.cc,./cache/old_new_funcs/vul/sample/CVE-2024-34509_CWE-XXXX-XXXX_c78e434c0c5f9d932874f0b17a8b4ce305ca01f5_CVE-2024-34509_c78e434c0c5f9d932874f0b17a8b4ce305ca01f5_dcelem.cc_1.1_DcmElement :: loadValue_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2024-34509_CWE-XXXX-XXXX_c78e434c0c5f9d932874f0b17a8b4ce305ca01f5_CVE-2024-34509_c78e434c0c5f9d932874f0b17a8b4ce305ca01f5_dcelem.cc_1.1_DcmElement :: loadValue_NEW.vul,"[True, 'no del line', True, True, 0.9775561097256857, 0.8100208768267223]",True
./processed/DCMTK@@dcmtk-DCMTK-3.6.8/loadValue@@@dcmdata@#@libsrc@#@dcelem.cc,./cache/old_new_funcs/vul/sample/CVE-2024-34508_CWE-XXXX-XXXX_c78e434c0c5f9d932874f0b17a8b4ce305ca01f5_CVE-2024-34508_c78e434c0c5f9d932874f0b17a8b4ce305ca01f5_dcelem.cc_1.1_DcmElement :: loadValue_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2024-34508_CWE-XXXX-XXXX_c78e434c0c5f9d932874f0b17a8b4ce305ca01f5_CVE-2024-34508_c78e434c0c5f9d932874f0b17a8b4ce305ca01f5_dcelem.cc_1.1_DcmElement :: loadValue_NEW.vul,"[True, 'no del line', True, True, 0.9775561097256857, 0.8100208768267223]",True
./processed/DCMTK@@dcmtk-DCMTK-3.6.8/getString@@@dcmnet@#@libsrc@#@dimcmd.cc,./cache/old_new_funcs/vul/sample/CVE-2024-34508_CWE-XXXX-XXXX_c78e434c0c5f9d932874f0b17a8b4ce305ca01f5_CVE-2024-34508_c78e434c0c5f9d932874f0b17a8b4ce305ca01f5_dimcmd.cc_1.1_getString_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2024-34508_CWE-XXXX-XXXX_c78e434c0c5f9d932874f0b17a8b4ce305ca01f5_CVE-2024-34508_c78e434c0c5f9d932874f0b17a8b4ce305ca01f5_dimcmd.cc_1.1_getString_NEW.vul,"[True, 1.0000000006497582, 0.9965393425057718]",True
./processed/DCMTK@@dcmtk-DCMTK-3.6.8/getString@@@dcmnet@#@libsrc@#@dimcmd.cc,./cache/old_new_funcs/vul/sample/CVE-2024-34509_CWE-XXXX-XXXX_c78e434c0c5f9d932874f0b17a8b4ce305ca01f5_CVE-2024-34509_c78e434c0c5f9d932874f0b17a8b4ce305ca01f5_dimcmd.cc_1.1_getString_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2024-34509_CWE-XXXX-XXXX_c78e434c0c5f9d932874f0b17a8b4ce305ca01f5_CVE-2024-34509_c78e434c0c5f9d932874f0b17a8b4ce305ca01f5_dimcmd.cc_1.1_getString_NEW.vul,"[True, 1.0000000006497582, 0.9965393425057718]",True
./processed/DCMTK@@dcmtk-DCMTK-3.6.8/loadValue@@@dcmdata@#@libsrc@#@dcelem.cc,./cache/old_new_funcs/vul/sample/CVE-2024-34509_CWE-XXXX-XXXX_c78e434c0c5f9d932874f0b17a8b4ce305ca01f5_CVE-2024-34509_c78e434c0c5f9d932874f0b17a8b4ce305ca01f5_dcelem.cc_1.1_DcmElement :: loadValue_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2024-34509_CWE-XXXX-XXXX_c78e434c0c5f9d932874f0b17a8b4ce305ca01f5_CVE-2024-34509_c78e434c0c5f9d932874f0b17a8b4ce305ca01f5_dcelem.cc_1.1_DcmElement :: loadValue_NEW.vul,['no vuln_file emb'],True
./processed/DCMTK@@dcmtk-DCMTK-3.6.8/loadValue@@@dcmdata@#@libsrc@#@dcelem.cc,./cache/old_new_funcs/vul/sample/CVE-2024-34508_CWE-XXXX-XXXX_c78e434c0c5f9d932874f0b17a8b4ce305ca01f5_CVE-2024-34508_c78e434c0c5f9d932874f0b17a8b4ce305ca01f5_dcelem.cc_1.1_DcmElement :: loadValue_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2024-34508_CWE-XXXX-XXXX_c78e434c0c5f9d932874f0b17a8b4ce305ca01f5_CVE-2024-34508_c78e434c0c5f9d932874f0b17a8b4ce305ca01f5_dcelem.cc_1.1_DcmElement :: loadValue_NEW.vul,['no vuln_file emb'],True
./processed/DCMTK@@dcmtk-DCMTK-3.6.8/waitForAssociation@@@dcmqrdb@#@libsrc@#@dcmqrsrv.cc,./cache/old_new_funcs/vul/sample/CVE-2022-43272_CWE-XXXX-XXXX_c34f4e46e672ad21accf04da0dc085e43be6f5e1_CVE-2022-43272_c34f4e46e672ad21accf04da0dc085e43be6f5e1_dcmqrsrv.cc_1.1_DcmQueryRetrieveSCP :: waitForAssociation_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2022-43272_CWE-XXXX-XXXX_c34f4e46e672ad21accf04da0dc085e43be6f5e1_CVE-2022-43272_c34f4e46e672ad21accf04da0dc085e43be6f5e1_dcmqrsrv.cc_1.1_DcmQueryRetrieveSCP :: waitForAssociation_NEW.vul,[False],False
