target_file,vuln_file,patch_file,datail,predict
./processed/Exiv2@@exiv2-v0.28.2/decodeHeader@@@src@#@asfvideo.cpp,./cache/old_new_funcs/vul/sample/CVE-2024-39695_CWE-XXXX-XXXX_3a28346db5ae1735a8728fe3491b0aecc1dbf387_CVE-2024-39695_3a28346db5ae1735a8728fe3491b0aecc1dbf387_asfvideo.cpp_1.1_AsfVideo :: decodeHeader_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2024-39695_CWE-XXXX-XXXX_3a28346db5ae1735a8728fe3491b0aecc1dbf387_CVE-2024-39695_3a28346db5ae1735a8728fe3491b0aecc1dbf387_asfvideo.cpp_1.1_AsfVideo :: decodeHeader_NEW.vul,"[True, True, True, 0.9482758620689655, 0.8457446808510638]",True
./processed/Exiv2@@exiv2-v0.28.2/decodeBlock@@@src@#@quicktimevideo.cpp,./cache/old_new_funcs/vul/sample/CVE-2022-3757_CWE-XXXX-XXXX_d3651fdbd352cbaf259f89abf7557da343339378_CVE-2022-3757_d3651fdbd352cbaf259f89abf7557da343339378_quicktimevideo.cpp_1.1_QuickTimeVideo :: decodeBlock_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2022-3757_CWE-XXXX-XXXX_d3651fdbd352cbaf259f89abf7557da343339378_CVE-2022-3757_d3651fdbd352cbaf259f89abf7557da343339378_quicktimevideo.cpp_1.1_QuickTimeVideo :: decodeBlock_NEW.vul,[False],False
./processed/Exiv2@@exiv2-v0.28.2/streamProperties@@@src@#@asfvideo.cpp,./cache/old_new_funcs/vul/sample/CVE-2024-39695_CWE-XXXX-XXXX_3a28346db5ae1735a8728fe3491b0aecc1dbf387_CVE-2024-39695_3a28346db5ae1735a8728fe3491b0aecc1dbf387_asfvideo.cpp_1.1_AsfVideo :: streamProperties_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2024-39695_CWE-XXXX-XXXX_3a28346db5ae1735a8728fe3491b0aecc1dbf387_CVE-2024-39695_3a28346db5ae1735a8728fe3491b0aecc1dbf387_asfvideo.cpp_1.1_AsfVideo :: streamProperties_NEW.vul,"[True, True, True, 0.9694189602446484, 0.8516483516483516]",True
./processed/Exiv2@@exiv2-v0.28.2/decodeHeader@@@src@#@asfvideo.cpp,./cache/old_new_funcs/vul/sample/CVE-2024-39695_CWE-XXXX-XXXX_3a28346db5ae1735a8728fe3491b0aecc1dbf387_CVE-2024-39695_3a28346db5ae1735a8728fe3491b0aecc1dbf387_asfvideo.cpp_1.1_AsfVideo :: decodeHeader_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2024-39695_CWE-XXXX-XXXX_3a28346db5ae1735a8728fe3491b0aecc1dbf387_CVE-2024-39695_3a28346db5ae1735a8728fe3491b0aecc1dbf387_asfvideo.cpp_1.1_AsfVideo :: decodeHeader_NEW.vul,['no vuln_file emb'],True
./processed/Exiv2@@exiv2-v0.28.2/streamProperties@@@src@#@asfvideo.cpp,./cache/old_new_funcs/vul/sample/CVE-2024-39695_CWE-XXXX-XXXX_3a28346db5ae1735a8728fe3491b0aecc1dbf387_CVE-2024-39695_3a28346db5ae1735a8728fe3491b0aecc1dbf387_asfvideo.cpp_1.1_AsfVideo :: streamProperties_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2024-39695_CWE-XXXX-XXXX_3a28346db5ae1735a8728fe3491b0aecc1dbf387_CVE-2024-39695_3a28346db5ae1735a8728fe3491b0aecc1dbf387_asfvideo.cpp_1.1_AsfVideo :: streamProperties_NEW.vul,['no vuln_file emb'],True
./processed/Exiv2@@exiv2-v0.28.2/userDataDecoder@@@src@#@quicktimevideo.cpp,./cache/old_new_funcs/vul/sample/CVE-2022-3755_CWE-XXXX-XXXX_6bb956ad808590ce2321b9ddf6772974da27c4ca_CVE-2022-3755_6bb956ad808590ce2321b9ddf6772974da27c4ca_quicktimevideo.cpp_1.1_QuickTimeVideo :: userDataDecoder_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2022-3755_CWE-XXXX-XXXX_6bb956ad808590ce2321b9ddf6772974da27c4ca_CVE-2022-3755_6bb956ad808590ce2321b9ddf6772974da27c4ca_quicktimevideo.cpp_1.1_QuickTimeVideo :: userDataDecoder_NEW.vul,"[True, 'no del line', False]",False
./processed/Exiv2@@exiv2-v0.28.2/userDataDecoder@@@src@#@quicktimevideo.cpp,./cache/old_new_funcs/vul/sample/CVE-2022-3719_CWE-XXXX-XXXX_a38e124076138e529774d5ec9890d0731058115a_CVE-2022-3719_a38e124076138e529774d5ec9890d0731058115a_quicktimevideo.cpp_1.1_QuickTimeVideo :: userDataDecoder_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2022-3719_CWE-XXXX-XXXX_a38e124076138e529774d5ec9890d0731058115a_CVE-2022-3719_a38e124076138e529774d5ec9890d0731058115a_quicktimevideo.cpp_1.1_QuickTimeVideo :: userDataDecoder_NEW.vul,[False],False
./processed/Exiv2@@exiv2-v0.28.2/userDataDecoder@@@src@#@quicktimevideo.cpp,./cache/old_new_funcs/vul/sample/CVE-2022-3756_CWE-XXXX-XXXX_bf4f28b727bdedbd7c88179c30d360e54568a62e_CVE-2022-3756_bf4f28b727bdedbd7c88179c30d360e54568a62e_quicktimevideo.cpp_1.1_QuickTimeVideo :: userDataDecoder_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2022-3756_CWE-XXXX-XXXX_bf4f28b727bdedbd7c88179c30d360e54568a62e_CVE-2022-3756_bf4f28b727bdedbd7c88179c30d360e54568a62e_quicktimevideo.cpp_1.1_QuickTimeVideo :: userDataDecoder_NEW.vul,[False],False
./processed/Exiv2@@exiv2-v0.28.2/fileProperties@@@src@#@asfvideo.cpp,./cache/old_new_funcs/vul/sample/CVE-2024-39695_CWE-XXXX-XXXX_3a28346db5ae1735a8728fe3491b0aecc1dbf387_CVE-2024-39695_3a28346db5ae1735a8728fe3491b0aecc1dbf387_asfvideo.cpp_1.1_AsfVideo :: fileProperties_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2024-39695_CWE-XXXX-XXXX_3a28346db5ae1735a8728fe3491b0aecc1dbf387_CVE-2024-39695_3a28346db5ae1735a8728fe3491b0aecc1dbf387_asfvideo.cpp_1.1_AsfVideo :: fileProperties_NEW.vul,"[True, True, True, 0.9619771863117871, 0.82]",True
./processed/Exiv2@@exiv2-v0.28.2/fileProperties@@@src@#@asfvideo.cpp,./cache/old_new_funcs/vul/sample/CVE-2024-39695_CWE-XXXX-XXXX_3a28346db5ae1735a8728fe3491b0aecc1dbf387_CVE-2024-39695_3a28346db5ae1735a8728fe3491b0aecc1dbf387_asfvideo.cpp_1.1_AsfVideo :: fileProperties_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2024-39695_CWE-XXXX-XXXX_3a28346db5ae1735a8728fe3491b0aecc1dbf387_CVE-2024-39695_3a28346db5ae1735a8728fe3491b0aecc1dbf387_asfvideo.cpp_1.1_AsfVideo :: fileProperties_NEW.vul,['no vuln_file emb'],True
./processed/Exiv2@@exiv2-v0.28.2/boxHandler@@@src@#@bmffimage.cpp,./cache/old_new_funcs/vul/sample/CVE-2022-3717_CWE-XXXX-XXXX_a58e52ed702d3bc7b8bab7ec1d70a4849eebece3_CVE-2022-3717_a58e52ed702d3bc7b8bab7ec1d70a4849eebece3_bmffimage.cpp_1.1_BmffImage :: boxHandler_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2022-3717_CWE-XXXX-XXXX_a58e52ed702d3bc7b8bab7ec1d70a4849eebece3_CVE-2022-3717_a58e52ed702d3bc7b8bab7ec1d70a4849eebece3_bmffimage.cpp_1.1_BmffImage :: boxHandler_NEW.vul,[False],False
./processed/Exiv2@@exiv2-v0.28.2/multipleEntriesDecoder@@@src@#@quicktimevideo.cpp,./cache/old_new_funcs/vul/sample/CVE-2022-3953_CWE-XXXX-XXXX_771ead87321ae6e39e5c9f6f0855c58cde6648f1_CVE-2022-3953_771ead87321ae6e39e5c9f6f0855c58cde6648f1_quicktimevideo.cpp_1.1_QuickTimeVideo :: multipleEntriesDecoder_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2022-3953_CWE-XXXX-XXXX_771ead87321ae6e39e5c9f6f0855c58cde6648f1_CVE-2022-3953_771ead87321ae6e39e5c9f6f0855c58cde6648f1_quicktimevideo.cpp_1.1_QuickTimeVideo :: multipleEntriesDecoder_NEW.vul,[False],False
