target_file,vuln_file,patch_file,datail,predict
./processed/FreeRTOS@@FreeRTOS-Kernel-V10.3.0/pvPortMalloc@@@FreeRTOS@#@Source@#@portable@#@IAR@#@ARM_CM33@#@secure@#@secure_heap.c,./cache/old_new_funcs/vul/sample/CVE-2021-32020_CWE-XXXX-XXXX_c7a9a01c94987082b223d3e59969ede64363da63_CVE-2021-32020_c7a9a01c94987082b223d3e59969ede64363da63_heap_5.c_1.1_pvPortMalloc_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2021-32020_CWE-XXXX-XXXX_c7a9a01c94987082b223d3e59969ede64363da63_CVE-2021-32020_c7a9a01c94987082b223d3e59969ede64363da63_heap_5.c_1.1_pvPortMalloc_NEW.vul,[False],False
./processed/FreeRTOS@@FreeRTOS-Kernel-V10.3.0/pvPortMalloc@@@FreeRTOS@#@Source@#@portable@#@IAR@#@ARM_CM33@#@secure@#@secure_heap.c,./cache/old_new_funcs/vul/sample/CVE-2021-32020_CWE-XXXX-XXXX_c7a9a01c94987082b223d3e59969ede64363da63_CVE-2021-32020_c7a9a01c94987082b223d3e59969ede64363da63_heap_4.c_1.1_pvPortMalloc_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2021-32020_CWE-XXXX-XXXX_c7a9a01c94987082b223d3e59969ede64363da63_CVE-2021-32020_c7a9a01c94987082b223d3e59969ede64363da63_heap_4.c_1.1_pvPortMalloc_NEW.vul,"[True, True, True, 0.7791327913279132, 0.7116104868913857]",True
./processed/FreeRTOS@@FreeRTOS-Kernel-V10.3.0/pvPortMalloc@@@FreeRTOS@#@Source@#@portable@#@MemMang@#@heap_4.c,./cache/old_new_funcs/vul/sample/CVE-2021-32020_CWE-XXXX-XXXX_c7a9a01c94987082b223d3e59969ede64363da63_CVE-2021-32020_c7a9a01c94987082b223d3e59969ede64363da63_heap_5.c_1.1_pvPortMalloc_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2021-32020_CWE-XXXX-XXXX_c7a9a01c94987082b223d3e59969ede64363da63_CVE-2021-32020_c7a9a01c94987082b223d3e59969ede64363da63_heap_5.c_1.1_pvPortMalloc_NEW.vul,[False],False
./processed/FreeRTOS@@FreeRTOS-Kernel-V10.3.0/pvPortMalloc@@@FreeRTOS@#@Source@#@portable@#@MemMang@#@heap_4.c,./cache/old_new_funcs/vul/sample/CVE-2021-32020_CWE-XXXX-XXXX_c7a9a01c94987082b223d3e59969ede64363da63_CVE-2021-32020_c7a9a01c94987082b223d3e59969ede64363da63_heap_4.c_1.1_pvPortMalloc_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2021-32020_CWE-XXXX-XXXX_c7a9a01c94987082b223d3e59969ede64363da63_CVE-2021-32020_c7a9a01c94987082b223d3e59969ede64363da63_heap_4.c_1.1_pvPortMalloc_NEW.vul,"[True, True, True, 0.9648093841642229, 0.8590425531914894]",True
./processed/FreeRTOS@@FreeRTOS-Kernel-V10.3.0/mbedtls_rsa_private@@@FreeRTOS-Labs@#@Source@#@mbedtls@#@library@#@rsa.c,./cache/old_new_funcs/vul/sample/CVE-2024-23170_CWE-XXXX-XXXX_aa6760d7b5d9a218eaf072f4155974f58b00986b_CVE-2024-23170_aa6760d7b5d9a218eaf072f4155974f58b00986b_rsa.c_1.1_mbedtls_rsa_private_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2024-23170_CWE-XXXX-XXXX_aa6760d7b5d9a218eaf072f4155974f58b00986b_CVE-2024-23170_aa6760d7b5d9a218eaf072f4155974f58b00986b_rsa.c_1.1_mbedtls_rsa_private_NEW.vul,[False],False
./processed/FreeRTOS@@FreeRTOS-Kernel-V10.3.0/pvPortMalloc@@@FreeRTOS@#@Source@#@portable@#@IAR@#@ARM_CM33@#@secure@#@secure_heap.c,./cache/old_new_funcs/vul/sample/CVE-2021-32020_CWE-XXXX-XXXX_c7a9a01c94987082b223d3e59969ede64363da63_CVE-2021-32020_c7a9a01c94987082b223d3e59969ede64363da63_heap_4.c_1.1_pvPortMalloc_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2021-32020_CWE-XXXX-XXXX_c7a9a01c94987082b223d3e59969ede64363da63_CVE-2021-32020_c7a9a01c94987082b223d3e59969ede64363da63_heap_4.c_1.1_pvPortMalloc_NEW.vul,"[True, 0.9994397968933556, 0.9986561877815509]",True
./processed/FreeRTOS@@FreeRTOS-Kernel-V10.3.0/mp_2expt@@@FreeRTOS-Plus@#@Source@#@WolfSSL@#@wolfcrypt@#@src@#@integer.c,./cache/old_new_funcs/vul/sample/CVE-2023-36328_CWE-XXXX-XXXX_7bbc1f8e4fe6dce75055957645117180768efb15_CVE-2023-36328_7bbc1f8e4fe6dce75055957645117180768efb15_bn_mp_2expt.c_1.1_mp_2expt_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2023-36328_CWE-XXXX-XXXX_7bbc1f8e4fe6dce75055957645117180768efb15_CVE-2023-36328_7bbc1f8e4fe6dce75055957645117180768efb15_bn_mp_2expt.c_1.1_mp_2expt_NEW.vul,"[True, 'no del line', True, False, 0.4502923976608187, 0.4117647058823529]",False
./processed/FreeRTOS@@FreeRTOS-Kernel-V10.3.0/mbedtls_x509_set_extension@@@FreeRTOS-Labs@#@Source@#@mbedtls@#@library@#@x509_create.c,./cache/old_new_funcs/vul/sample/CVE-2024-23775_CWE-XXXX-XXXX_e90cbc3d1260901efc879178a15f2d90a5e17612_CVE-2024-23775_e90cbc3d1260901efc879178a15f2d90a5e17612_x509_create.c_1.1_mbedtls_x509_set_extension_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2024-23775_CWE-XXXX-XXXX_e90cbc3d1260901efc879178a15f2d90a5e17612_CVE-2024-23775_e90cbc3d1260901efc879178a15f2d90a5e17612_x509_create.c_1.1_mbedtls_x509_set_extension_NEW.vul,"[True, 'no del line', True, True, 0.7484276729559748, 0.6949152542372882]",True
./processed/FreeRTOS@@FreeRTOS-Kernel-V10.3.0/pvPortMalloc@@@FreeRTOS@#@Source@#@portable@#@MemMang@#@heap_4.c,./cache/old_new_funcs/vul/sample/CVE-2021-32020_CWE-XXXX-XXXX_c7a9a01c94987082b223d3e59969ede64363da63_CVE-2021-32020_c7a9a01c94987082b223d3e59969ede64363da63_heap_4.c_1.1_pvPortMalloc_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2021-32020_CWE-XXXX-XXXX_c7a9a01c94987082b223d3e59969ede64363da63_CVE-2021-32020_c7a9a01c94987082b223d3e59969ede64363da63_heap_4.c_1.1_pvPortMalloc_NEW.vul,"[True, 0.999863987297074, 0.9991716778726641]",True
./processed/FreeRTOS@@FreeRTOS-Kernel-V10.3.0/mbedtls_x509_set_extension@@@FreeRTOS-Labs@#@Source@#@mbedtls@#@library@#@x509_create.c,./cache/old_new_funcs/vul/sample/CVE-2024-23775_CWE-XXXX-XXXX_e90cbc3d1260901efc879178a15f2d90a5e17612_CVE-2024-23775_e90cbc3d1260901efc879178a15f2d90a5e17612_x509_create.c_1.1_mbedtls_x509_set_extension_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2024-23775_CWE-XXXX-XXXX_e90cbc3d1260901efc879178a15f2d90a5e17612_CVE-2024-23775_e90cbc3d1260901efc879178a15f2d90a5e17612_x509_create.c_1.1_mbedtls_x509_set_extension_NEW.vul,['no vuln_file emb'],True
