target_file,vuln_file,patch_file,datail,predict
./processed/GNOME@@libxml2-v2.9.11/xmlRemoveID@@@valid.c,./cache/old_new_funcs/vul/sample/CVE-2022-23308_CWE-XXXX-XXXX_652dd12a858989b14eed4e84e453059cd3ba340e_CVE-2022-23308_652dd12a858989b14eed4e84e453059cd3ba340e_valid.c_1.1_xmlRemoveID_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2022-23308_CWE-XXXX-XXXX_652dd12a858989b14eed4e84e453059cd3ba340e_CVE-2022-23308_652dd12a858989b14eed4e84e453059cd3ba340e_valid.c_1.1_xmlRemoveID_NEW.vul,"[True, 'no del line', True, True, 0.9818181818181818, 0.9388646288209607]",True
./processed/GNOME@@libxml2-v2.9.11/xmlTextReaderRemoveID@@@xmlreader.c,./cache/old_new_funcs/vul/sample/CVE-2022-23308_CWE-XXXX-XXXX_652dd12a858989b14eed4e84e453059cd3ba340e_CVE-2022-23308_652dd12a858989b14eed4e84e453059cd3ba340e_valid.c_1.1_xmlRemoveID_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2022-23308_CWE-XXXX-XXXX_652dd12a858989b14eed4e84e453059cd3ba340e_CVE-2022-23308_652dd12a858989b14eed4e84e453059cd3ba340e_valid.c_1.1_xmlRemoveID_NEW.vul,"[True, 'no del line', True, True, 0.749003984063745, 0.7258687258687259]",True
./processed/GNOME@@libxml2-v2.9.11/xmlValidNormalizeAttributeValue@@@valid.c,./cache/old_new_funcs/vul/sample/CVE-2022-23308_CWE-XXXX-XXXX_652dd12a858989b14eed4e84e453059cd3ba340e_CVE-2022-23308_652dd12a858989b14eed4e84e453059cd3ba340e_valid.c_1.1_xmlValidNormalizeAttributeValue_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2022-23308_CWE-XXXX-XXXX_652dd12a858989b14eed4e84e453059cd3ba340e_CVE-2022-23308_652dd12a858989b14eed4e84e453059cd3ba340e_valid.c_1.1_xmlValidNormalizeAttributeValue_NEW.vul,"[True, True, True, 0.9885496183206107, 0.7320754716981132]",True
./processed/GNOME@@libxml2-v2.9.11/xmlValidNormalizeAttributeValue@@@valid.c,./cache/old_new_funcs/vul/sample/CVE-2022-23308_CWE-XXXX-XXXX_652dd12a858989b14eed4e84e453059cd3ba340e_CVE-2022-23308_652dd12a858989b14eed4e84e453059cd3ba340e_valid.c_1.1_xmlValidNormalizeAttributeValue_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2022-23308_CWE-XXXX-XXXX_652dd12a858989b14eed4e84e453059cd3ba340e_CVE-2022-23308_652dd12a858989b14eed4e84e453059cd3ba340e_valid.c_1.1_xmlValidNormalizeAttributeValue_NEW.vul,['no vuln_file emb'],True
./processed/GNOME@@libxml2-v2.9.11/xmlTextReaderRemoveRef@@@xmlreader.c,./cache/old_new_funcs/vul/sample/CVE-2022-23308_CWE-XXXX-XXXX_652dd12a858989b14eed4e84e453059cd3ba340e_CVE-2022-23308_652dd12a858989b14eed4e84e453059cd3ba340e_valid.c_1.1_xmlRemoveID_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2022-23308_CWE-XXXX-XXXX_652dd12a858989b14eed4e84e453059cd3ba340e_CVE-2022-23308_652dd12a858989b14eed4e84e453059cd3ba340e_valid.c_1.1_xmlRemoveID_NEW.vul,"[True, 'no del line', True, True, 0.6345381526104418, 0.6147859922178989]",True
./processed/GNOME@@libxml2-v2.9.11/xmlAddID@@@valid.c,./cache/old_new_funcs/vul/sample/CVE-2022-23308_CWE-XXXX-XXXX_652dd12a858989b14eed4e84e453059cd3ba340e_CVE-2022-23308_652dd12a858989b14eed4e84e453059cd3ba340e_valid.c_1.1_xmlAddID_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2022-23308_CWE-XXXX-XXXX_652dd12a858989b14eed4e84e453059cd3ba340e_CVE-2022-23308_652dd12a858989b14eed4e84e453059cd3ba340e_valid.c_1.1_xmlAddID_NEW.vul,"[True, True, True, 0.9920792079207921, 0.9182509505703422]",True
./processed/GNOME@@libxml2-v2.9.11/xmlAddRef@@@valid.c,./cache/old_new_funcs/vul/sample/CVE-2022-23308_CWE-XXXX-XXXX_652dd12a858989b14eed4e84e453059cd3ba340e_CVE-2022-23308_652dd12a858989b14eed4e84e453059cd3ba340e_valid.c_1.1_xmlAddRef_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2022-23308_CWE-XXXX-XXXX_652dd12a858989b14eed4e84e453059cd3ba340e_CVE-2022-23308_652dd12a858989b14eed4e84e453059cd3ba340e_valid.c_1.1_xmlAddRef_NEW.vul,"[True, True, True, 0.9936406995230525, 0.952755905511811]",True
./processed/GNOME@@libxml2-v2.9.11/xmlValidCtxtNormalizeAttributeValue@@@valid.c,./cache/old_new_funcs/vul/sample/CVE-2022-23308_CWE-XXXX-XXXX_652dd12a858989b14eed4e84e453059cd3ba340e_CVE-2022-23308_652dd12a858989b14eed4e84e453059cd3ba340e_valid.c_1.1_xmlValidCtxtNormalizeAttributeValue_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2022-23308_CWE-XXXX-XXXX_652dd12a858989b14eed4e84e453059cd3ba340e_CVE-2022-23308_652dd12a858989b14eed4e84e453059cd3ba340e_valid.c_1.1_xmlValidCtxtNormalizeAttributeValue_NEW.vul,"[True, True, True, 0.9918588873812755, 0.8088829071332436]",True
./processed/GNOME@@libxml2-v2.9.11/xmlRemoveID@@@valid.c,./cache/old_new_funcs/vul/sample/CVE-2022-23308_CWE-XXXX-XXXX_652dd12a858989b14eed4e84e453059cd3ba340e_CVE-2022-23308_652dd12a858989b14eed4e84e453059cd3ba340e_valid.c_1.1_xmlRemoveID_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2022-23308_CWE-XXXX-XXXX_652dd12a858989b14eed4e84e453059cd3ba340e_CVE-2022-23308_652dd12a858989b14eed4e84e453059cd3ba340e_valid.c_1.1_xmlRemoveID_NEW.vul,"[True, 0.9999999857219611, 0.9979311885555375]",True
./processed/GNOME@@libxml2-v2.9.11/xmlTextReaderRemoveID@@@xmlreader.c,./cache/old_new_funcs/vul/sample/CVE-2022-23308_CWE-XXXX-XXXX_652dd12a858989b14eed4e84e453059cd3ba340e_CVE-2022-23308_652dd12a858989b14eed4e84e453059cd3ba340e_valid.c_1.1_xmlRemoveID_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2022-23308_CWE-XXXX-XXXX_652dd12a858989b14eed4e84e453059cd3ba340e_CVE-2022-23308_652dd12a858989b14eed4e84e453059cd3ba340e_valid.c_1.1_xmlRemoveID_NEW.vul,"[True, 0.9990155838302152, 0.9967607083567082]",True
