target_file,vuln_file,patch_file,datail,predict
./processed/LibVNC@@libvncserver-LibVNCServer-0.9.14/ReadFromRFBServer@@@libvncclient@#@sockets.c,./cache/old_new_funcs/vul/sample/CVE-2020-14398_CWE-XXXX-XXXX_57433015f856cc12753378254ce4f1c78f5d9c7b_CVE-2020-14398_57433015f856cc12753378254ce4f1c78f5d9c7b_sockets.c_1.1_ReadFromRFBServer_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2020-14398_CWE-XXXX-XXXX_57433015f856cc12753378254ce4f1c78f5d9c7b_CVE-2020-14398_57433015f856cc12753378254ce4f1c78f5d9c7b_sockets.c_1.1_ReadFromRFBServer_NEW.vul,[False],False
./processed/LibVNC@@libvncserver-LibVNCServer-0.9.14/sraSpanInsertBefore@@@libvncserver@#@rfbregion.c,./cache/old_new_funcs/vul/sample/CVE-2020-14397_CWE-XXXX-XXXX_38e98ee61d74f5f5ab4aa4c77146faad1962d6d0_CVE-2020-14397_38e98ee61d74f5f5ab4aa4c77146faad1962d6d0_rfbregion.c_1.1_sraSpanInsertBefore_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2020-14397_CWE-XXXX-XXXX_38e98ee61d74f5f5ab4aa4c77146faad1962d6d0_CVE-2020-14397_38e98ee61d74f5f5ab4aa4c77146faad1962d6d0_rfbregion.c_1.1_sraSpanInsertBefore_NEW.vul,"[True, 'no del line', False]",False
./processed/LibVNC@@libvncserver-LibVNCServer-0.9.14/open_ssl_connection@@@libvncclient@#@tls_openssl.c,./cache/old_new_funcs/vul/sample/CVE-2020-14396_CWE-XXXX-XXXX_33441d90a506d5f3ae9388f2752901227e430553_CVE-2020-14396_33441d90a506d5f3ae9388f2752901227e430553_tls_openssl.c_1.1_open_ssl_connection_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2020-14396_CWE-XXXX-XXXX_33441d90a506d5f3ae9388f2752901227e430553_CVE-2020-14396_33441d90a506d5f3ae9388f2752901227e430553_tls_openssl.c_1.1_open_ssl_connection_NEW.vul,[False],False
./processed/LibVNC@@libvncserver-LibVNCServer-0.9.14/sraSpanInsertAfter@@@libvncserver@#@rfbregion.c,./cache/old_new_funcs/vul/sample/CVE-2020-14397_CWE-XXXX-XXXX_38e98ee61d74f5f5ab4aa4c77146faad1962d6d0_CVE-2020-14397_38e98ee61d74f5f5ab4aa4c77146faad1962d6d0_rfbregion.c_1.1_sraSpanInsertAfter_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2020-14397_CWE-XXXX-XXXX_38e98ee61d74f5f5ab4aa4c77146faad1962d6d0_CVE-2020-14397_38e98ee61d74f5f5ab4aa4c77146faad1962d6d0_rfbregion.c_1.1_sraSpanInsertAfter_NEW.vul,"[True, 'no del line', False]",False
./processed/LibVNC@@libvncserver-LibVNCServer-0.9.14/HandleRFBServerMessage@@@libvncclient@#@rfbproto.c,./cache/old_new_funcs/vul/sample/CVE-2020-14405_CWE-XXXX-XXXX_8937203441ee241c4ace85da687b7d6633a12365_CVE-2020-14405_8937203441ee241c4ace85da687b7d6633a12365_rfbproto.c_1.1_HandleRFBServerMessage_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2020-14405_CWE-XXXX-XXXX_8937203441ee241c4ace85da687b7d6633a12365_CVE-2020-14405_8937203441ee241c4ace85da687b7d6633a12365_rfbproto.c_1.1_HandleRFBServerMessage_NEW.vul,"[True, 'no del line', False]",False
./processed/LibVNC@@libvncserver-LibVNCServer-0.9.14/rfbScaledScreenUpdateRect@@@libvncserver@#@scale.c,./cache/old_new_funcs/vul/sample/CVE-2020-14401_CWE-XXXX-XXXX_a6788d1da719ae006605b78d22f5a9f170b423af_CVE-2020-14401_a6788d1da719ae006605b78d22f5a9f170b423af_scale.c_1.1_rfbScaledScreenUpdateRect_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2020-14401_CWE-XXXX-XXXX_a6788d1da719ae006605b78d22f5a9f170b423af_CVE-2020-14401_a6788d1da719ae006605b78d22f5a9f170b423af_scale.c_1.1_rfbScaledScreenUpdateRect_NEW.vul,[False],False
./processed/LibVNC@@libvncserver-LibVNCServer-0.9.14/rfbSetClientColourMapBGR233@@@libvncserver@#@translate.c,./cache/old_new_funcs/vul/sample/CVE-2020-14400_CWE-XXXX-XXXX_53073c8d7e232151ea2ecd8a1243124121e10e2d_CVE-2020-14400_53073c8d7e232151ea2ecd8a1243124121e10e2d_translate.c_1.1_rfbSetClientColourMapBGR233_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2020-14400_CWE-XXXX-XXXX_53073c8d7e232151ea2ecd8a1243124121e10e2d_CVE-2020-14400_53073c8d7e232151ea2ecd8a1243124121e10e2d_translate.c_1.1_rfbSetClientColourMapBGR233_NEW.vul,[False],False
./processed/LibVNC@@libvncserver-LibVNCServer-0.9.14/SetFormatAndEncodings@@@libvncclient@#@rfbproto.c,./cache/old_new_funcs/vul/sample/CVE-2020-14399_CWE-XXXX-XXXX_23e5cbe6b090d7f22982aee909a6a618174d3c2d_CVE-2020-14399_23e5cbe6b090d7f22982aee909a6a618174d3c2d_rfbproto.c_1.1_SetFormatAndEncodings_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2020-14399_CWE-XXXX-XXXX_23e5cbe6b090d7f22982aee909a6a618174d3c2d_CVE-2020-14399_23e5cbe6b090d7f22982aee909a6a618174d3c2d_rfbproto.c_1.1_SetFormatAndEncodings_NEW.vul,[False],False
./processed/LibVNC@@libvncserver-LibVNCServer-0.9.14/rfbGetClient@@@libvncclient@#@vncviewer.c,./cache/old_new_funcs/vul/sample/CVE-2020-14398_CWE-XXXX-XXXX_57433015f856cc12753378254ce4f1c78f5d9c7b_CVE-2020-14398_57433015f856cc12753378254ce4f1c78f5d9c7b_vncviewer.c_1.1_rfbGetClient_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2020-14398_CWE-XXXX-XXXX_57433015f856cc12753378254ce4f1c78f5d9c7b_CVE-2020-14398_57433015f856cc12753378254ce4f1c78f5d9c7b_vncviewer.c_1.1_rfbGetClient_NEW.vul,"[True, 'no del line', False]",False
./processed/LibVNC@@libvncserver-LibVNCServer-0.9.14/rfbClientIteratorNext@@@libvncserver@#@rfbserver.c,./cache/old_new_funcs/vul/sample/CVE-2020-14397_CWE-XXXX-XXXX_38e98ee61d74f5f5ab4aa4c77146faad1962d6d0_CVE-2020-14397_38e98ee61d74f5f5ab4aa4c77146faad1962d6d0_rfbserver.c_1.1_rfbClientIteratorNext_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2020-14397_CWE-XXXX-XXXX_38e98ee61d74f5f5ab4aa4c77146faad1962d6d0_CVE-2020-14397_38e98ee61d74f5f5ab4aa4c77146faad1962d6d0_rfbserver.c_1.1_rfbClientIteratorNext_NEW.vul,"[True, 'no del line', False]",False
