target_file,vuln_file,patch_file,datail,predict
./processed/MariaDB@@server-mariadb-10.1.46/create_worker_threads@@@extra@#@mariabackup@#@ds_compress.c,./cache/old_new_funcs/vul/sample/CVE-2022-31622_CWE-XXXX-XXXX_e1eb39a446c30b8459c39fd7f2ee1c55a36e97d2_CVE-2022-31622_e1eb39a446c30b8459c39fd7f2ee1c55a36e97d2_ds_compress.cc_1.1_create_worker_threads_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2022-31622_CWE-XXXX-XXXX_e1eb39a446c30b8459c39fd7f2ee1c55a36e97d2_CVE-2022-31622_e1eb39a446c30b8459c39fd7f2ee1c55a36e97d2_ds_compress.cc_1.1_create_worker_threads_NEW.vul,"[True, 'no del line', True, True, 0.9307875894988067, 0.9027777777777778]",True
./processed/MariaDB@@server-mariadb-10.1.46/create_worker_threads@@@extra@#@mariabackup@#@ds_compress.c,./cache/old_new_funcs/vul/sample/CVE-2022-31623_CWE-XXXX-XXXX_7c30bc38a588b22b01f11130cfe99e7f36accf94_CVE-2022-31623_7c30bc38a588b22b01f11130cfe99e7f36accf94_ds_compress.cc_1.1_create_worker_threads_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2022-31623_CWE-XXXX-XXXX_7c30bc38a588b22b01f11130cfe99e7f36accf94_CVE-2022-31623_7c30bc38a588b22b01f11130cfe99e7f36accf94_ds_compress.cc_1.1_create_worker_threads_NEW.vul,"[True, 'no del line', False]",False
./processed/MariaDB@@server-mariadb-10.1.46/xbstream_open@@@extra@#@mariabackup@#@ds_xbstream.c,./cache/old_new_funcs/vul/sample/CVE-2022-31621_CWE-XXXX-XXXX_b1351c15946349f9daa7e5297fb2ac6f3139e4a8_CVE-2022-31621_b1351c15946349f9daa7e5297fb2ac6f3139e4a8_ds_xbstream.cc_1.1_xbstream_open_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2022-31621_CWE-XXXX-XXXX_b1351c15946349f9daa7e5297fb2ac6f3139e4a8_CVE-2022-31621_b1351c15946349f9daa7e5297fb2ac6f3139e4a8_ds_xbstream.cc_1.1_xbstream_open_NEW.vul,"[True, True, True, 0.9439024390243902, 0.8789954337899544]",True
./processed/MariaDB@@server-mariadb-10.1.46/create_worker_threads@@@extra@#@mariabackup@#@ds_compress.c,./cache/old_new_funcs/vul/sample/CVE-2022-31622_CWE-XXXX-XXXX_e1eb39a446c30b8459c39fd7f2ee1c55a36e97d2_CVE-2022-31622_e1eb39a446c30b8459c39fd7f2ee1c55a36e97d2_ds_compress.cc_1.1_create_worker_threads_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2022-31622_CWE-XXXX-XXXX_e1eb39a446c30b8459c39fd7f2ee1c55a36e97d2_CVE-2022-31622_e1eb39a446c30b8459c39fd7f2ee1c55a36e97d2_ds_compress.cc_1.1_create_worker_threads_NEW.vul,"[True, 1.0000000170009609, 0.9998149844529115]",True
./processed/MariaDB@@server-mariadb-10.1.46/get_type_str@@@sql@#@log_event.cc,./cache/old_new_funcs/vul/sample/CVE-2020-11080_CWE-XXXX-XXXX_336a98feb0d56b9ac54e12736b18785c27f75090_CVE-2020-11080_336a98feb0d56b9ac54e12736b18785c27f75090_nghttp2_helper.c_1.1_nghttp2_strerror_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2020-11080_CWE-XXXX-XXXX_336a98feb0d56b9ac54e12736b18785c27f75090_CVE-2020-11080_336a98feb0d56b9ac54e12736b18785c27f75090_nghttp2_helper.c_1.1_nghttp2_strerror_NEW.vul,"[True, 'no del line', True, False, 0.3583106267029973, 0.36400541271989173]",False
./processed/MariaDB@@server-mariadb-10.1.46/get_type_str@@@sql@#@log_event.cc,./cache/old_new_funcs/vul/sample/CVE-2024-28182_CWE-XXXX-XXXX_00201ecd8f982da3b67d4f6868af72a1b03b14e0_CVE-2024-28182_00201ecd8f982da3b67d4f6868af72a1b03b14e0_nghttp2_helper.c_1.1_nghttp2_strerror_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2024-28182_CWE-XXXX-XXXX_00201ecd8f982da3b67d4f6868af72a1b03b14e0_CVE-2024-28182_00201ecd8f982da3b67d4f6868af72a1b03b14e0_nghttp2_helper.c_1.1_nghttp2_strerror_NEW.vul,"[True, 'no del line', True, False, 0.36400541271989173, 0.36595174262734587]",False
./processed/MariaDB@@server-mariadb-10.1.46/xbstream_open@@@extra@#@mariabackup@#@ds_xbstream.c,./cache/old_new_funcs/vul/sample/CVE-2022-31621_CWE-XXXX-XXXX_b1351c15946349f9daa7e5297fb2ac6f3139e4a8_CVE-2022-31621_b1351c15946349f9daa7e5297fb2ac6f3139e4a8_ds_xbstream.cc_1.1_xbstream_open_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2022-31621_CWE-XXXX-XXXX_b1351c15946349f9daa7e5297fb2ac6f3139e4a8_CVE-2022-31621_b1351c15946349f9daa7e5297fb2ac6f3139e4a8_ds_xbstream.cc_1.1_xbstream_open_NEW.vul,"[True, 0.9999999235740415, 0.9947183714863211]",True
./processed/MariaDB@@server-mariadb-10.1.46/log_statement_ex@@@plugin@#@server_audit@#@server_audit.c,./cache/old_new_funcs/vul/sample/CVE-2022-31624_CWE-XXXX-XXXX_d627d00b13ab2f2c0954ea7b77202470cb102944_CVE-2022-31624_d627d00b13ab2f2c0954ea7b77202470cb102944_server_audit.c_1.1_log_statement_ex_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2022-31624_CWE-XXXX-XXXX_d627d00b13ab2f2c0954ea7b77202470cb102944_CVE-2022-31624_d627d00b13ab2f2c0954ea7b77202470cb102944_server_audit.c_1.1_log_statement_ex_NEW.vul,"[True, True, True, 0.9788732394366197, 0.9018932874354562]",True
./processed/MariaDB@@server-mariadb-10.1.46/HA_ERR@@@sql@#@log_event.cc,./cache/old_new_funcs/vul/sample/CVE-2023-27103_CWE-XXXX-XXXX_d6bf73e765b7a23627bfd7a8645c143fd9097995_CVE-2023-27103_d6bf73e765b7a23627bfd7a8645c143fd9097995_de265.cc_1.1_de265_get_error_text_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2023-27103_CWE-XXXX-XXXX_d6bf73e765b7a23627bfd7a8645c143fd9097995_CVE-2023-27103_d6bf73e765b7a23627bfd7a8645c143fd9097995_de265.cc_1.1_de265_get_error_text_NEW.vul,"[True, 'no del line', True, False, 0.36259977194982895, 0.3581081081081081]",False
./processed/MariaDB@@server-mariadb-10.1.46/log_statement_ex@@@plugin@#@server_audit@#@server_audit.c,./cache/old_new_funcs/vul/sample/CVE-2022-31624_CWE-XXXX-XXXX_d627d00b13ab2f2c0954ea7b77202470cb102944_CVE-2022-31624_d627d00b13ab2f2c0954ea7b77202470cb102944_server_audit.c_1.1_log_statement_ex_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2022-31624_CWE-XXXX-XXXX_d627d00b13ab2f2c0954ea7b77202470cb102944_CVE-2022-31624_d627d00b13ab2f2c0954ea7b77202470cb102944_server_audit.c_1.1_log_statement_ex_NEW.vul,"[True, 0.9996755183966816, 0.9990847341800586]",True
