target_file,vuln_file,patch_file,datail,predict
./processed/RT-Thread@@rt-thread-v4.1.0-beta/dfs_elm_getdents@@@components@#@dfs@#@filesystems@#@elmfat@#@dfs_elm.c,./cache/old_new_funcs/vul/sample/CVE-2024-24334_CWE-XXXX-XXXX_74925f43eda4b09bfd26c38beaf366481d784505_CVE-2024-24334_74925f43eda4b09bfd26c38beaf366481d784505_dfs_elm.c_1.1_dfs_elm_getdents_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2024-24334_CWE-XXXX-XXXX_74925f43eda4b09bfd26c38beaf366481d784505_CVE-2024-24334_74925f43eda4b09bfd26c38beaf366481d784505_dfs_elm.c_1.1_dfs_elm_getdents_NEW.vul,"[True, True, True, 0.9131455399061033, 0.8865740740740741]",True
./processed/RT-Thread@@rt-thread-v4.1.0-beta/dfs_romfs_getdents@@@components@#@dfs@#@filesystems@#@romfs@#@dfs_romfs.c,./cache/old_new_funcs/vul/sample/CVE-2024-24334_CWE-XXXX-XXXX_74925f43eda4b09bfd26c38beaf366481d784505_CVE-2024-24334_74925f43eda4b09bfd26c38beaf366481d784505_dfs_romfs.c_1.1_dfs_romfs_getdents_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2024-24334_CWE-XXXX-XXXX_74925f43eda4b09bfd26c38beaf366481d784505_CVE-2024-24334_74925f43eda4b09bfd26c38beaf366481d784505_dfs_romfs.c_1.1_dfs_romfs_getdents_NEW.vul,"[True, True, True, 0.7960199004975125, 0.7783251231527094]",True
./processed/RT-Thread@@rt-thread-v4.1.0-beta/nfs_getdents@@@components@#@dfs@#@filesystems@#@nfs@#@dfs_nfs.c,./cache/old_new_funcs/vul/sample/CVE-2024-24334_CWE-XXXX-XXXX_74925f43eda4b09bfd26c38beaf366481d784505_CVE-2024-24334_74925f43eda4b09bfd26c38beaf366481d784505_dfs_nfs.c_1.1_nfs_getdents_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2024-24334_CWE-XXXX-XXXX_74925f43eda4b09bfd26c38beaf366481d784505_CVE-2024-24334_74925f43eda4b09bfd26c38beaf366481d784505_dfs_nfs.c_1.1_nfs_getdents_NEW.vul,"[True, True, True, 0.8881118881118881, 0.8620689655172413]",True
./processed/RT-Thread@@rt-thread-v4.1.0-beta/dfs_win32_getdents@@@bsp@#@simulator@#@drivers@#@dfs_win32.c,./cache/old_new_funcs/vul/sample/CVE-2024-24334_CWE-XXXX-XXXX_74925f43eda4b09bfd26c38beaf366481d784505_CVE-2024-24334_74925f43eda4b09bfd26c38beaf366481d784505_dfs_win32.c_1.1_dfs_win32_getdents_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2024-24334_CWE-XXXX-XXXX_74925f43eda4b09bfd26c38beaf366481d784505_CVE-2024-24334_74925f43eda4b09bfd26c38beaf366481d784505_dfs_win32.c_1.1_dfs_win32_getdents_NEW.vul,"[True, True, True, 0.9221789883268483, 0.9073359073359073]",True
./processed/RT-Thread@@rt-thread-v4.1.0-beta/directory_delete_for_msh@@@components@#@finsh@#@msh_file.c,./cache/old_new_funcs/vul/sample/CVE-2024-24334_CWE-XXXX-XXXX_74925f43eda4b09bfd26c38beaf366481d784505_CVE-2024-24334_74925f43eda4b09bfd26c38beaf366481d784505_msh_file.c_1.1_directory_delete_for_msh_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2024-24334_CWE-XXXX-XXXX_74925f43eda4b09bfd26c38beaf366481d784505_CVE-2024-24334_74925f43eda4b09bfd26c38beaf366481d784505_msh_file.c_1.1_directory_delete_for_msh_NEW.vul,"[True, 'no del line', True, True, 0.89587852494577, 0.8212180746561886]",True
./processed/RT-Thread@@rt-thread-v4.1.0-beta/directory_delete_for_msh@@@components@#@finsh@#@msh_file.c,./cache/old_new_funcs/vul/sample/CVE-2024-24334_CWE-XXXX-XXXX_74925f43eda4b09bfd26c38beaf366481d784505_CVE-2024-24334_74925f43eda4b09bfd26c38beaf366481d784505_msh_file.c_1.1_directory_setattr_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2024-24334_CWE-XXXX-XXXX_74925f43eda4b09bfd26c38beaf366481d784505_CVE-2024-24334_74925f43eda4b09bfd26c38beaf366481d784505_msh_file.c_1.1_directory_setattr_NEW.vul,"[True, 'no del line', True, True, 0.6838235294117647, 0.6258389261744967]",True
./processed/RT-Thread@@rt-thread-v4.1.0-beta/dfs_normalize_path@@@components@#@dfs@#@src@#@dfs.c,./cache/old_new_funcs/vul/sample/CVE-2024-24334_CWE-XXXX-XXXX_74925f43eda4b09bfd26c38beaf366481d784505_CVE-2024-24334_74925f43eda4b09bfd26c38beaf366481d784505_dfs.c_1.1_dfs_normalize_path_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2024-24334_CWE-XXXX-XXXX_74925f43eda4b09bfd26c38beaf366481d784505_CVE-2024-24334_74925f43eda4b09bfd26c38beaf366481d784505_dfs.c_1.1_dfs_normalize_path_NEW.vul,"[True, True, True, 0.8624708624708625, 0.8169642857142857]",True
./processed/RT-Thread@@rt-thread-v4.1.0-beta/nfs_getdents@@@components@#@dfs@#@filesystems@#@nfs@#@dfs_nfs.c,./cache/old_new_funcs/vul/sample/CVE-2024-24334_CWE-XXXX-XXXX_74925f43eda4b09bfd26c38beaf366481d784505_CVE-2024-24334_74925f43eda4b09bfd26c38beaf366481d784505_dfs_nfs.c_1.1_nfs_getdents_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2024-24334_CWE-XXXX-XXXX_74925f43eda4b09bfd26c38beaf366481d784505_CVE-2024-24334_74925f43eda4b09bfd26c38beaf366481d784505_dfs_nfs.c_1.1_nfs_getdents_NEW.vul,"[True, 0.9999847571382695, 0.9997656632098897]",True
./processed/RT-Thread@@rt-thread-v4.1.0-beta/dfs_romfs_getdents@@@components@#@dfs@#@filesystems@#@romfs@#@dfs_romfs.c,./cache/old_new_funcs/vul/sample/CVE-2024-24334_CWE-XXXX-XXXX_74925f43eda4b09bfd26c38beaf366481d784505_CVE-2024-24334_74925f43eda4b09bfd26c38beaf366481d784505_dfs_romfs.c_1.1_dfs_romfs_getdents_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2024-24334_CWE-XXXX-XXXX_74925f43eda4b09bfd26c38beaf366481d784505_CVE-2024-24334_74925f43eda4b09bfd26c38beaf366481d784505_dfs_romfs.c_1.1_dfs_romfs_getdents_NEW.vul,"[True, 0.9934889956309298, 0.992646567017946]",True
./processed/RT-Thread@@rt-thread-v4.1.0-beta/dfs_elm_getdents@@@components@#@dfs@#@filesystems@#@elmfat@#@dfs_elm.c,./cache/old_new_funcs/vul/sample/CVE-2024-24334_CWE-XXXX-XXXX_74925f43eda4b09bfd26c38beaf366481d784505_CVE-2024-24334_74925f43eda4b09bfd26c38beaf366481d784505_dfs_elm.c_1.1_dfs_elm_getdents_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2024-24334_CWE-XXXX-XXXX_74925f43eda4b09bfd26c38beaf366481d784505_CVE-2024-24334_74925f43eda4b09bfd26c38beaf366481d784505_dfs_elm.c_1.1_dfs_elm_getdents_NEW.vul,"[True, 0.9999816656422778, 0.999697663705732]",True
