target_file,vuln_file,patch_file,datail,predict
./processed/RT-Thread@@rt-thread-v5.0.1/dfs_tmpfs_rename@@@components@#@dfs@#@dfs_v2@#@filesystems@#@tmpfs@#@dfs_tmpfs.c,./cache/old_new_funcs/vul/sample/CVE-2024-24334_CWE-XXXX-XXXX_74925f43eda4b09bfd26c38beaf366481d784505_CVE-2024-24334_74925f43eda4b09bfd26c38beaf366481d784505_dfs_tmpfs.c_1.1_dfs_tmpfs_rename_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2024-24334_CWE-XXXX-XXXX_74925f43eda4b09bfd26c38beaf366481d784505_CVE-2024-24334_74925f43eda4b09bfd26c38beaf366481d784505_dfs_tmpfs.c_1.1_dfs_tmpfs_rename_NEW.vul,"[True, True, True, 0.8219895287958116, 0.7199074074074074]",True
./processed/RT-Thread@@rt-thread-v5.0.1/dfs_romfs_getdents@@@components@#@dfs@#@dfs_v1@#@filesystems@#@romfs@#@dfs_romfs.c,./cache/old_new_funcs/vul/sample/CVE-2024-24334_CWE-XXXX-XXXX_74925f43eda4b09bfd26c38beaf366481d784505_CVE-2024-24334_74925f43eda4b09bfd26c38beaf366481d784505_dfs_romfs.c_1.1_dfs_romfs_getdents_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2024-24334_CWE-XXXX-XXXX_74925f43eda4b09bfd26c38beaf366481d784505_CVE-2024-24334_74925f43eda4b09bfd26c38beaf366481d784505_dfs_romfs.c_1.1_dfs_romfs_getdents_NEW.vul,"[True, True, True, 1.0, 0.9537275064267352]",True
./processed/RT-Thread@@rt-thread-v5.0.1/dfs_romfs_getdents@@@components@#@dfs@#@dfs_v2@#@filesystems@#@romfs@#@dfs_romfs.c,./cache/old_new_funcs/vul/sample/CVE-2024-24334_CWE-XXXX-XXXX_74925f43eda4b09bfd26c38beaf366481d784505_CVE-2024-24334_74925f43eda4b09bfd26c38beaf366481d784505_dfs_romfs.c_1.1_dfs_romfs_getdents_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2024-24334_CWE-XXXX-XXXX_74925f43eda4b09bfd26c38beaf366481d784505_CVE-2024-24334_74925f43eda4b09bfd26c38beaf366481d784505_dfs_romfs.c_1.1_dfs_romfs_getdents_NEW.vul,[False],False
./processed/RT-Thread@@rt-thread-v5.0.1/dfs_romfs_getdents@@@components@#@dfs@#@dfs_v1@#@filesystems@#@romfs@#@dfs_romfs.c,./cache/old_new_funcs/vul/sample/CVE-2024-24334_CWE-XXXX-XXXX_74925f43eda4b09bfd26c38beaf366481d784505_CVE-2024-24334_74925f43eda4b09bfd26c38beaf366481d784505_dfs_romfs.c_1.1_dfs_romfs_getdents_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2024-24334_CWE-XXXX-XXXX_74925f43eda4b09bfd26c38beaf366481d784505_CVE-2024-24334_74925f43eda4b09bfd26c38beaf366481d784505_dfs_romfs.c_1.1_dfs_romfs_getdents_NEW.vul,"[True, 0.9999999757084886, 0.9994508420056496]",True
./processed/RT-Thread@@rt-thread-v5.0.1/dfs_tmpfs_rename@@@components@#@dfs@#@dfs_v2@#@filesystems@#@tmpfs@#@dfs_tmpfs.c,./cache/old_new_funcs/vul/sample/CVE-2024-24334_CWE-XXXX-XXXX_74925f43eda4b09bfd26c38beaf366481d784505_CVE-2024-24334_74925f43eda4b09bfd26c38beaf366481d784505_dfs_tmpfs.c_1.1_dfs_tmpfs_rename_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2024-24334_CWE-XXXX-XXXX_74925f43eda4b09bfd26c38beaf366481d784505_CVE-2024-24334_74925f43eda4b09bfd26c38beaf366481d784505_dfs_tmpfs.c_1.1_dfs_tmpfs_rename_NEW.vul,"[False, 0.9916692441754269, 0.9924131974171281]",False
./processed/RT-Thread@@rt-thread-v5.0.1/nfs_getdents@@@components@#@dfs@#@dfs_v1@#@filesystems@#@nfs@#@dfs_nfs.c,./cache/old_new_funcs/vul/sample/CVE-2024-24334_CWE-XXXX-XXXX_74925f43eda4b09bfd26c38beaf366481d784505_CVE-2024-24334_74925f43eda4b09bfd26c38beaf366481d784505_dfs_nfs.c_1.1_nfs_getdents_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2024-24334_CWE-XXXX-XXXX_74925f43eda4b09bfd26c38beaf366481d784505_CVE-2024-24334_74925f43eda4b09bfd26c38beaf366481d784505_dfs_nfs.c_1.1_nfs_getdents_NEW.vul,"[True, True, True, 1.0, 0.9568345323741008]",True
./processed/RT-Thread@@rt-thread-v5.0.1/dfs_elm_getdents@@@components@#@dfs@#@dfs_v1@#@filesystems@#@elmfat@#@dfs_elm.c,./cache/old_new_funcs/vul/sample/CVE-2024-24334_CWE-XXXX-XXXX_74925f43eda4b09bfd26c38beaf366481d784505_CVE-2024-24334_74925f43eda4b09bfd26c38beaf366481d784505_dfs_elm.c_1.1_dfs_elm_getdents_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2024-24334_CWE-XXXX-XXXX_74925f43eda4b09bfd26c38beaf366481d784505_CVE-2024-24334_74925f43eda4b09bfd26c38beaf366481d784505_dfs_elm.c_1.1_dfs_elm_getdents_NEW.vul,"[True, True, True, 0.9358669833729216, 0.9086651053864169]",True
./processed/RT-Thread@@rt-thread-v5.0.1/dfs_win32_getdents@@@bsp@#@simulator@#@drivers@#@dfs_win32.c,./cache/old_new_funcs/vul/sample/CVE-2024-24334_CWE-XXXX-XXXX_74925f43eda4b09bfd26c38beaf366481d784505_CVE-2024-24334_74925f43eda4b09bfd26c38beaf366481d784505_dfs_win32.c_1.1_dfs_win32_getdents_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2024-24334_CWE-XXXX-XXXX_74925f43eda4b09bfd26c38beaf366481d784505_CVE-2024-24334_74925f43eda4b09bfd26c38beaf366481d784505_dfs_win32.c_1.1_dfs_win32_getdents_NEW.vul,"[True, True, True, 0.9880239520958084, 0.9683794466403162]",True
./processed/RT-Thread@@rt-thread-v5.0.1/dfs_nolink_path@@@components@#@dfs@#@dfs_v2@#@src@#@dfs_file.c,./cache/old_new_funcs/vul/sample/CVE-2024-24334_CWE-XXXX-XXXX_74925f43eda4b09bfd26c38beaf366481d784505_CVE-2024-24334_74925f43eda4b09bfd26c38beaf366481d784505_dfs_file.c_1.1_dfs_nolink_path_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2024-24334_CWE-XXXX-XXXX_74925f43eda4b09bfd26c38beaf366481d784505_CVE-2024-24334_74925f43eda4b09bfd26c38beaf366481d784505_dfs_file.c_1.1_dfs_nolink_path_NEW.vul,[False],False
./processed/RT-Thread@@rt-thread-v5.0.1/directory_setattr@@@components@#@finsh@#@msh_file.c,./cache/old_new_funcs/vul/sample/CVE-2024-24334_CWE-XXXX-XXXX_74925f43eda4b09bfd26c38beaf366481d784505_CVE-2024-24334_74925f43eda4b09bfd26c38beaf366481d784505_msh_file.c_1.1_directory_delete_for_msh_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2024-24334_CWE-XXXX-XXXX_74925f43eda4b09bfd26c38beaf366481d784505_CVE-2024-24334_74925f43eda4b09bfd26c38beaf366481d784505_msh_file.c_1.1_directory_delete_for_msh_NEW.vul,"[True, 'no del line', True, True, 0.6556776556776557, 0.6247877758913413]",True
