target_file,vuln_file,patch_file,datail,predict
./processed/Tencent@@libpag-v4.3.3/readUTF8String@@@src@#@codec@#@utils@#@DecodeStream.cpp,./cache/old_new_funcs/vul/sample/CVE-2024-34408_CWE-XXXX-XXXX_497ff2e16d25622f5c430568895b73ab4c37cc1a_CVE-2024-34408_497ff2e16d25622f5c430568895b73ab4c37cc1a_DecodeStream.cpp_1.1_DecodeStream :: readUTF8String_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2024-34408_CWE-XXXX-XXXX_497ff2e16d25622f5c430568895b73ab4c37cc1a_CVE-2024-34408_497ff2e16d25622f5c430568895b73ab4c37cc1a_DecodeStream.cpp_1.1_DecodeStream :: readUTF8String_NEW.vul,"[True, True, True, 0.6216216216216216, 0.5580357142857143]",True
./processed/Tencent@@libpag-v4.3.3/expandCapacity@@@src@#@codec@#@utils@#@EncodeStream.cpp,./cache/old_new_funcs/vul/sample/CVE-2024-34408_CWE-XXXX-XXXX_497ff2e16d25622f5c430568895b73ab4c37cc1a_CVE-2024-34408_497ff2e16d25622f5c430568895b73ab4c37cc1a_EncodeStream.cpp_1.1_EncodeStream :: expandCapacity_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2024-34408_CWE-XXXX-XXXX_497ff2e16d25622f5c430568895b73ab4c37cc1a_CVE-2024-34408_497ff2e16d25622f5c430568895b73ab4c37cc1a_EncodeStream.cpp_1.1_EncodeStream :: expandCapacity_NEW.vul,[False],False
./processed/Tencent@@libpag-v4.3.3/expandCapacity@@@src@#@codec@#@utils@#@EncodeStream.cpp,./cache/old_new_funcs/vul/sample/CVE-2024-33078_CWE-XXXX-XXXX_497ff2e16d25622f5c430568895b73ab4c37cc1a_CVE-2024-33078_497ff2e16d25622f5c430568895b73ab4c37cc1a_EncodeStream.cpp_1.1_EncodeStream :: expandCapacity_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2024-33078_CWE-XXXX-XXXX_497ff2e16d25622f5c430568895b73ab4c37cc1a_CVE-2024-33078_497ff2e16d25622f5c430568895b73ab4c37cc1a_EncodeStream.cpp_1.1_EncodeStream :: expandCapacity_NEW.vul,[False],False
./processed/Tencent@@libpag-v4.3.3/readUTF8String@@@src@#@codec@#@utils@#@DecodeStream.cpp,./cache/old_new_funcs/vul/sample/CVE-2024-33078_CWE-XXXX-XXXX_497ff2e16d25622f5c430568895b73ab4c37cc1a_CVE-2024-33078_497ff2e16d25622f5c430568895b73ab4c37cc1a_DecodeStream.cpp_1.1_DecodeStream :: readUTF8String_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2024-33078_CWE-XXXX-XXXX_497ff2e16d25622f5c430568895b73ab4c37cc1a_CVE-2024-33078_497ff2e16d25622f5c430568895b73ab4c37cc1a_DecodeStream.cpp_1.1_DecodeStream :: readUTF8String_NEW.vul,"[True, True, True, 0.6216216216216216, 0.5580357142857143]",True
./processed/Tencent@@libpag-v4.3.3/ReadMp4Header@@@src@#@codec@#@tags@#@VideoSequence.cpp,./cache/old_new_funcs/vul/sample/CVE-2024-33078_CWE-XXXX-XXXX_497ff2e16d25622f5c430568895b73ab4c37cc1a_CVE-2024-33078_497ff2e16d25622f5c430568895b73ab4c37cc1a_VideoSequence.cpp_1.1_ReadMp4Header_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2024-33078_CWE-XXXX-XXXX_497ff2e16d25622f5c430568895b73ab4c37cc1a_CVE-2024-33078_497ff2e16d25622f5c430568895b73ab4c37cc1a_VideoSequence.cpp_1.1_ReadMp4Header_NEW.vul,"[True, True, True, 0.9627329192546584, 0.848314606741573]",True
./processed/Tencent@@libpag-v4.3.3/ReadMp4Header@@@src@#@codec@#@tags@#@VideoSequence.cpp,./cache/old_new_funcs/vul/sample/CVE-2024-34408_CWE-XXXX-XXXX_497ff2e16d25622f5c430568895b73ab4c37cc1a_CVE-2024-34408_497ff2e16d25622f5c430568895b73ab4c37cc1a_VideoSequence.cpp_1.1_ReadMp4Header_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2024-34408_CWE-XXXX-XXXX_497ff2e16d25622f5c430568895b73ab4c37cc1a_CVE-2024-34408_497ff2e16d25622f5c430568895b73ab4c37cc1a_VideoSequence.cpp_1.1_ReadMp4Header_NEW.vul,"[True, True, True, 0.9627329192546584, 0.848314606741573]",True
./processed/Tencent@@libpag-v4.3.3/readUTF8String@@@src@#@codec@#@utils@#@DecodeStream.cpp,./cache/old_new_funcs/vul/sample/CVE-2024-34408_CWE-XXXX-XXXX_497ff2e16d25622f5c430568895b73ab4c37cc1a_CVE-2024-34408_497ff2e16d25622f5c430568895b73ab4c37cc1a_DecodeStream.cpp_1.1_DecodeStream :: readUTF8String_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2024-34408_CWE-XXXX-XXXX_497ff2e16d25622f5c430568895b73ab4c37cc1a_CVE-2024-34408_497ff2e16d25622f5c430568895b73ab4c37cc1a_DecodeStream.cpp_1.1_DecodeStream :: readUTF8String_NEW.vul,['no vuln_file emb'],True
./processed/Tencent@@libpag-v4.3.3/ReadByteDataWithStartCode@@@src@#@codec@#@utils@#@NALUReader.cpp,./cache/old_new_funcs/vul/sample/CVE-2024-33078_CWE-XXXX-XXXX_497ff2e16d25622f5c430568895b73ab4c37cc1a_CVE-2024-33078_497ff2e16d25622f5c430568895b73ab4c37cc1a_NALUReader.cpp_1.1_ReadByteDataWithStartCode_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2024-33078_CWE-XXXX-XXXX_497ff2e16d25622f5c430568895b73ab4c37cc1a_CVE-2024-33078_497ff2e16d25622f5c430568895b73ab4c37cc1a_NALUReader.cpp_1.1_ReadByteDataWithStartCode_NEW.vul,"[True, True, True, 1.0, 0.9345549738219895]",True
./processed/Tencent@@libpag-v4.3.3/ReadByteDataWithStartCode@@@src@#@codec@#@utils@#@NALUReader.cpp,./cache/old_new_funcs/vul/sample/CVE-2024-34408_CWE-XXXX-XXXX_497ff2e16d25622f5c430568895b73ab4c37cc1a_CVE-2024-34408_497ff2e16d25622f5c430568895b73ab4c37cc1a_NALUReader.cpp_1.1_ReadByteDataWithStartCode_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2024-34408_CWE-XXXX-XXXX_497ff2e16d25622f5c430568895b73ab4c37cc1a_CVE-2024-34408_497ff2e16d25622f5c430568895b73ab4c37cc1a_NALUReader.cpp_1.1_ReadByteDataWithStartCode_NEW.vul,"[True, True, True, 1.0, 0.9345549738219895]",True
./processed/Tencent@@libpag-v4.3.3/readUTF8String@@@src@#@codec@#@utils@#@DecodeStream.cpp,./cache/old_new_funcs/vul/sample/CVE-2024-33078_CWE-XXXX-XXXX_497ff2e16d25622f5c430568895b73ab4c37cc1a_CVE-2024-33078_497ff2e16d25622f5c430568895b73ab4c37cc1a_DecodeStream.cpp_1.1_DecodeStream :: readUTF8String_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2024-33078_CWE-XXXX-XXXX_497ff2e16d25622f5c430568895b73ab4c37cc1a_CVE-2024-33078_497ff2e16d25622f5c430568895b73ab4c37cc1a_DecodeStream.cpp_1.1_DecodeStream :: readUTF8String_NEW.vul,['no vuln_file emb'],True
