target_file,vuln_file,patch_file,datail,predict
./processed/antirez@@redis-6.2.4/hashTypeTryConversion@@@src@#@t_hash.c,./cache/old_new_funcs/vul/sample/CVE-2021-32628_CWE-XXXX-XXXX_f6a40570fa63d5afdd596c78083d754081d80ae3_CVE-2021-32628_f6a40570fa63d5afdd596c78083d754081d80ae3_t_hash.c_1.1_hashTypeTryConversion_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2021-32628_CWE-XXXX-XXXX_f6a40570fa63d5afdd596c78083d754081d80ae3_CVE-2021-32628_f6a40570fa63d5afdd596c78083d754081d80ae3_t_hash.c_1.1_hashTypeTryConversion_NEW.vul,"[True, True, True, 1.0, 0.5773195876288659]",True
./processed/antirez@@redis-6.2.4/_anetTcpServer@@@src@#@anet.c,./cache/old_new_funcs/vul/sample/CVE-2023-45145_CWE-XXXX-XXXX_03345ddc7faf7af079485f2cbe5d17a1611cbce1_CVE-2023-45145_03345ddc7faf7af079485f2cbe5d17a1611cbce1_anet.c_1.1__anetTcpServer_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2023-45145_CWE-XXXX-XXXX_03345ddc7faf7af079485f2cbe5d17a1611cbce1_CVE-2023-45145_03345ddc7faf7af079485f2cbe5d17a1611cbce1_anet.c_1.1__anetTcpServer_NEW.vul,"[True, True, True, 0.9872068230277186, 0.9498956158663883]",True
./processed/antirez@@redis-6.2.4/lsetCommand@@@src@#@t_list.c,./cache/old_new_funcs/vul/sample/CVE-2021-32628_CWE-XXXX-XXXX_f6a40570fa63d5afdd596c78083d754081d80ae3_CVE-2021-32628_f6a40570fa63d5afdd596c78083d754081d80ae3_t_list.c_1.1_lsetCommand_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2021-32628_CWE-XXXX-XXXX_f6a40570fa63d5afdd596c78083d754081d80ae3_CVE-2021-32628_f6a40570fa63d5afdd596c78083d754081d80ae3_t_list.c_1.1_lsetCommand_NEW.vul,"[True, 'no del line', True, True, 0.9365079365079365, 0.8404558404558404]",True
./processed/antirez@@redis-6.2.4/quicklistPushTail@@@src@#@quicklist.c,./cache/old_new_funcs/vul/sample/CVE-2021-32628_CWE-XXXX-XXXX_f6a40570fa63d5afdd596c78083d754081d80ae3_CVE-2021-32628_f6a40570fa63d5afdd596c78083d754081d80ae3_quicklist.c_1.1_quicklistPushTail_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2021-32628_CWE-XXXX-XXXX_f6a40570fa63d5afdd596c78083d754081d80ae3_CVE-2021-32628_f6a40570fa63d5afdd596c78083d754081d80ae3_quicklist.c_1.1_quicklistPushTail_NEW.vul,"[True, 'no del line', True, True, 1.0, 0.9220183486238532]",True
./processed/antirez@@redis-6.2.4/quicklistPushTail@@@src@#@quicklist.c,./cache/old_new_funcs/vul/sample/CVE-2021-32628_CWE-XXXX-XXXX_f6a40570fa63d5afdd596c78083d754081d80ae3_CVE-2021-32628_f6a40570fa63d5afdd596c78083d754081d80ae3_quicklist.c_1.1_quicklistPushHead_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2021-32628_CWE-XXXX-XXXX_f6a40570fa63d5afdd596c78083d754081d80ae3_CVE-2021-32628_f6a40570fa63d5afdd596c78083d754081d80ae3_quicklist.c_1.1_quicklistPushHead_NEW.vul,"[True, 'no del line', True, False, 0.5454545454545454, 0.5236363636363637]",False
./processed/antirez@@redis-6.2.4/_anetTcpServer@@@src@#@anet.c,./cache/old_new_funcs/vul/sample/CVE-2023-45145_CWE-XXXX-XXXX_03345ddc7faf7af079485f2cbe5d17a1611cbce1_CVE-2023-45145_03345ddc7faf7af079485f2cbe5d17a1611cbce1_anet.c_1.1__anetTcpServer_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2023-45145_CWE-XXXX-XXXX_03345ddc7faf7af079485f2cbe5d17a1611cbce1_CVE-2023-45145_03345ddc7faf7af079485f2cbe5d17a1611cbce1_anet.c_1.1__anetTcpServer_NEW.vul,['no vuln_file emb'],True
./processed/antirez@@redis-6.2.4/sigsegvHandler@@@src@#@debug.c,./cache/old_new_funcs/vul/sample/CVE-2022-3647_CWE-XXXX-XXXX_0bf90d944313919eb8e63d3588bf63a367f020a3_CVE-2022-3647_0bf90d944313919eb8e63d3588bf63a367f020a3_debug.c_1.1_sigsegvHandler_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2022-3647_CWE-XXXX-XXXX_0bf90d944313919eb8e63d3588bf63a367f020a3_CVE-2022-3647_0bf90d944313919eb8e63d3588bf63a367f020a3_debug.c_1.1_sigsegvHandler_NEW.vul,"[True, True, True, 0.9450171821305842, 0.6910994764397905]",True
./processed/antirez@@redis-6.2.4/zrandmemberCommand@@@src@#@t_zset.c,./cache/old_new_funcs/vul/sample/CVE-2023-22458_CWE-XXXX-XXXX_16f408b1a0121cacd44cbf8aee275d69dc627f02_CVE-2023-22458_16f408b1a0121cacd44cbf8aee275d69dc627f02_t_hash.c_1.1_hrandfieldCommand_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2023-22458_CWE-XXXX-XXXX_16f408b1a0121cacd44cbf8aee275d69dc627f02_CVE-2023-22458_16f408b1a0121cacd44cbf8aee275d69dc627f02_t_hash.c_1.1_hrandfieldCommand_NEW.vul,"[True, True, True, 0.6618075801749271, 0.5880829015544041]",True
./processed/antirez@@redis-6.2.4/zrandmemberCommand@@@src@#@t_zset.c,./cache/old_new_funcs/vul/sample/CVE-2023-22458_CWE-XXXX-XXXX_16f408b1a0121cacd44cbf8aee275d69dc627f02_CVE-2023-22458_16f408b1a0121cacd44cbf8aee275d69dc627f02_t_zset.c_1.1_zrandmemberCommand_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2023-22458_CWE-XXXX-XXXX_16f408b1a0121cacd44cbf8aee275d69dc627f02_CVE-2023-22458_16f408b1a0121cacd44cbf8aee275d69dc627f02_t_zset.c_1.1_zrandmemberCommand_NEW.vul,"[True, True, True, 0.9453924914675768, 0.7976539589442815]",True
./processed/antirez@@redis-6.2.4/zrandmemberCommand@@@src@#@t_zset.c,./cache/old_new_funcs/vul/sample/CVE-2023-25155_CWE-XXXX-XXXX_2a2a582e7cd99ba3b531336b8bd41df2b566e619_CVE-2023-25155_2a2a582e7cd99ba3b531336b8bd41df2b566e619_t_zset.c_1.1_zrandmemberCommand_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2023-25155_CWE-XXXX-XXXX_2a2a582e7cd99ba3b531336b8bd41df2b566e619_CVE-2023-25155_2a2a582e7cd99ba3b531336b8bd41df2b566e619_t_zset.c_1.1_zrandmemberCommand_NEW.vul,[False],False
./processed/antirez@@redis-6.2.4/zrandmemberCommand@@@src@#@t_zset.c,./cache/old_new_funcs/vul/sample/CVE-2023-25155_CWE-XXXX-XXXX_2a2a582e7cd99ba3b531336b8bd41df2b566e619_CVE-2023-25155_2a2a582e7cd99ba3b531336b8bd41df2b566e619_t_hash.c_1.1_hrandfieldCommand_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2023-25155_CWE-XXXX-XXXX_2a2a582e7cd99ba3b531336b8bd41df2b566e619_CVE-2023-25155_2a2a582e7cd99ba3b531336b8bd41df2b566e619_t_hash.c_1.1_hrandfieldCommand_NEW.vul,[False],False
