target_file,vuln_file,patch_file,datail,predict
./processed/apache@@brpc-1.0.0-rc01/H2ErrorToString@@@src@#@brpc@#@http2.cpp,./cache/old_new_funcs/vul/sample/CVE-2022-24795_CWE-XXXX-XXXX_7168bd79b888900aa94523301126f968a93eb3a6_CVE-2022-24795_7168bd79b888900aa94523301126f968a93eb3a6_yajl_lex.c_1.1_yajl_tok_name_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2022-24795_CWE-XXXX-XXXX_7168bd79b888900aa94523301126f968a93eb3a6_CVE-2022-24795_7168bd79b888900aa94523301126f968a93eb3a6_yajl_lex.c_1.1_yajl_tok_name_NEW.vul,"[True, 'no del line', True, False, 0.36727272727272725, 0.3531468531468531]",False
./processed/apache@@brpc-1.0.0-rc01/FlvAudioCodec2Str@@@src@#@brpc@#@rtmp.cpp,./cache/old_new_funcs/vul/sample/CVE-2022-24795_CWE-XXXX-XXXX_7168bd79b888900aa94523301126f968a93eb3a6_CVE-2022-24795_7168bd79b888900aa94523301126f968a93eb3a6_yajl_lex.c_1.1_yajl_tok_name_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2022-24795_CWE-XXXX-XXXX_7168bd79b888900aa94523301126f968a93eb3a6_CVE-2022-24795_7168bd79b888900aa94523301126f968a93eb3a6_yajl_lex.c_1.1_yajl_tok_name_NEW.vul,"[True, 'no del line', True, False, 0.36727272727272725, 0.3531468531468531]",False
./processed/apache@@brpc-1.0.0-rc01/PrintClientSpan@@@src@#@brpc@#@builtin@#@rpcz_service.cpp,./cache/old_new_funcs/vul/sample/CVE-2023-45757_CWE-XXXX-XXXX_b0a7c4a9da7ab44aeeaed10e6f3d126cde44e6f7_CVE-2023-45757_b0a7c4a9da7ab44aeeaed10e6f3d126cde44e6f7_rpcz_service.cpp_1.1_PrintServerSpan_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2023-45757_CWE-XXXX-XXXX_b0a7c4a9da7ab44aeeaed10e6f3d126cde44e6f7_CVE-2023-45757_b0a7c4a9da7ab44aeeaed10e6f3d126cde44e6f7_rpcz_service.cpp_1.1_PrintServerSpan_NEW.vul,[False],False
./processed/apache@@brpc-1.0.0-rc01/PrintClientSpan@@@src@#@brpc@#@builtin@#@rpcz_service.cpp,./cache/old_new_funcs/vul/sample/CVE-2023-45757_CWE-XXXX-XXXX_b0a7c4a9da7ab44aeeaed10e6f3d126cde44e6f7_CVE-2023-45757_b0a7c4a9da7ab44aeeaed10e6f3d126cde44e6f7_rpcz_service.cpp_1.1_PrintClientSpan_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2023-45757_CWE-XXXX-XXXX_b0a7c4a9da7ab44aeeaed10e6f3d126cde44e6f7_CVE-2023-45757_b0a7c4a9da7ab44aeeaed10e6f3d126cde44e6f7_rpcz_service.cpp_1.1_PrintClientSpan_NEW.vul,"[True, True, True, 0.9935897435897436, 0.9674027339642481]",True
./processed/apache@@brpc-1.0.0-rc01/describe_idl_type@@@src@#@mcpack2pb@#@generator.cpp,./cache/old_new_funcs/vul/sample/CVE-2022-24795_CWE-XXXX-XXXX_7168bd79b888900aa94523301126f968a93eb3a6_CVE-2022-24795_7168bd79b888900aa94523301126f968a93eb3a6_yajl_lex.c_1.1_yajl_tok_name_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2022-24795_CWE-XXXX-XXXX_7168bd79b888900aa94523301126f968a93eb3a6_CVE-2022-24795_7168bd79b888900aa94523301126f968a93eb3a6_yajl_lex.c_1.1_yajl_tok_name_NEW.vul,"[True, 'no del line', True, False, 0.36727272727272725, 0.3531468531468531]",False
./processed/apache@@brpc-1.0.0-rc01/PrintClientSpan@@@src@#@brpc@#@builtin@#@rpcz_service.cpp,./cache/old_new_funcs/vul/sample/CVE-2023-45757_CWE-XXXX-XXXX_b0a7c4a9da7ab44aeeaed10e6f3d126cde44e6f7_CVE-2023-45757_b0a7c4a9da7ab44aeeaed10e6f3d126cde44e6f7_rpcz_service.cpp_1.1_PrintClientSpan_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2023-45757_CWE-XXXX-XXXX_b0a7c4a9da7ab44aeeaed10e6f3d126cde44e6f7_CVE-2023-45757_b0a7c4a9da7ab44aeeaed10e6f3d126cde44e6f7_rpcz_service.cpp_1.1_PrintClientSpan_NEW.vul,['no vuln_file emb'],True
./processed/apache@@brpc-1.0.0-rc01/PrintAnnotations@@@src@#@brpc@#@builtin@#@rpcz_service.cpp,./cache/old_new_funcs/vul/sample/CVE-2023-45757_CWE-XXXX-XXXX_b0a7c4a9da7ab44aeeaed10e6f3d126cde44e6f7_CVE-2023-45757_b0a7c4a9da7ab44aeeaed10e6f3d126cde44e6f7_rpcz_service.cpp_1.1_PrintAnnotations_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2023-45757_CWE-XXXX-XXXX_b0a7c4a9da7ab44aeeaed10e6f3d126cde44e6f7_CVE-2023-45757_b0a7c4a9da7ab44aeeaed10e6f3d126cde44e6f7_rpcz_service.cpp_1.1_PrintAnnotations_NEW.vul,"[True, True, True, 0.967391304347826, 0.8724489795918368]",True
./processed/apache@@brpc-1.0.0-rc01/PrintAnnotations@@@src@#@brpc@#@builtin@#@rpcz_service.cpp,./cache/old_new_funcs/vul/sample/CVE-2023-45757_CWE-XXXX-XXXX_b0a7c4a9da7ab44aeeaed10e6f3d126cde44e6f7_CVE-2023-45757_b0a7c4a9da7ab44aeeaed10e6f3d126cde44e6f7_rpcz_service.cpp_1.1_PrintAnnotations_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2023-45757_CWE-XXXX-XXXX_b0a7c4a9da7ab44aeeaed10e6f3d126cde44e6f7_CVE-2023-45757_b0a7c4a9da7ab44aeeaed10e6f3d126cde44e6f7_rpcz_service.cpp_1.1_PrintAnnotations_NEW.vul,['no vuln_file emb'],True
./processed/apache@@brpc-1.0.0-rc01/PrintServerSpan@@@src@#@brpc@#@builtin@#@rpcz_service.cpp,./cache/old_new_funcs/vul/sample/CVE-2023-45757_CWE-XXXX-XXXX_b0a7c4a9da7ab44aeeaed10e6f3d126cde44e6f7_CVE-2023-45757_b0a7c4a9da7ab44aeeaed10e6f3d126cde44e6f7_rpcz_service.cpp_1.1_PrintServerSpan_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2023-45757_CWE-XXXX-XXXX_b0a7c4a9da7ab44aeeaed10e6f3d126cde44e6f7_CVE-2023-45757_b0a7c4a9da7ab44aeeaed10e6f3d126cde44e6f7_rpcz_service.cpp_1.1_PrintServerSpan_NEW.vul,"[True, True, True, 0.9923566878980892, 0.948019801980198]",True
./processed/apache@@brpc-1.0.0-rc01/PrintServerSpan@@@src@#@brpc@#@builtin@#@rpcz_service.cpp,./cache/old_new_funcs/vul/sample/CVE-2023-45757_CWE-XXXX-XXXX_b0a7c4a9da7ab44aeeaed10e6f3d126cde44e6f7_CVE-2023-45757_b0a7c4a9da7ab44aeeaed10e6f3d126cde44e6f7_rpcz_service.cpp_1.1_PrintClientSpan_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2023-45757_CWE-XXXX-XXXX_b0a7c4a9da7ab44aeeaed10e6f3d126cde44e6f7_CVE-2023-45757_b0a7c4a9da7ab44aeeaed10e6f3d126cde44e6f7_rpcz_service.cpp_1.1_PrintClientSpan_NEW.vul,[False],False
