target_file,vuln_file,patch_file,datail,predict
./processed/arangodb@@arangodb-v3.12.0/TRI_InitV8ServerUtils@@@arangod@#@V8Server@#@v8-actions.cpp,./cache/old_new_funcs/vul/sample/CVE-2021-25939_CWE-XXXX-XXXX_d7b35a6884c6b2802d34d79fb2a79fb2c9ec2175_CVE-2021-25939_d7b35a6884c6b2802d34d79fb2a79fb2c9ec2175_v8-actions.cpp_1.1_TRI_InitV8ServerUtils_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2021-25939_CWE-XXXX-XXXX_d7b35a6884c6b2802d34d79fb2a79fb2c9ec2175_CVE-2021-25939_d7b35a6884c6b2802d34d79fb2a79fb2c9ec2175_v8-actions.cpp_1.1_TRI_InitV8ServerUtils_NEW.vul,"[True, 'no del line', False]",False
./processed/arangodb@@arangodb-v3.12.0/nghttp2_http2_strerror@@@3rdParty@#@nghttp2@#@lib@#@nghttp2_helper.c,./cache/old_new_funcs/vul/sample/CVE-2022-24795_CWE-XXXX-XXXX_7168bd79b888900aa94523301126f968a93eb3a6_CVE-2022-24795_7168bd79b888900aa94523301126f968a93eb3a6_yajl_lex.c_1.1_yajl_tok_name_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2022-24795_CWE-XXXX-XXXX_7168bd79b888900aa94523301126f968a93eb3a6_CVE-2022-24795_7168bd79b888900aa94523301126f968a93eb3a6_yajl_lex.c_1.1_yajl_tok_name_NEW.vul,"[True, 'no del line', True, False, 0.3781818181818182, 0.3684210526315789]",False
./processed/arangodb@@arangodb-v3.12.0/nghttp2_strerror@@@3rdParty@#@nghttp2@#@lib@#@nghttp2_helper.c,./cache/old_new_funcs/vul/sample/CVE-2020-11080_CWE-XXXX-XXXX_336a98feb0d56b9ac54e12736b18785c27f75090_CVE-2020-11080_336a98feb0d56b9ac54e12736b18785c27f75090_nghttp2_helper.c_1.1_nghttp2_strerror_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2020-11080_CWE-XXXX-XXXX_336a98feb0d56b9ac54e12736b18785c27f75090_CVE-2020-11080_336a98feb0d56b9ac54e12736b18785c27f75090_nghttp2_helper.c_1.1_nghttp2_strerror_NEW.vul,"[True, 'no del line', True, True, 1.0, 0.9582504970178927]",True
./processed/arangodb@@arangodb-v3.12.0/nghttp2_strerror@@@3rdParty@#@nghttp2@#@lib@#@nghttp2_helper.c,./cache/old_new_funcs/vul/sample/CVE-2024-28182_CWE-XXXX-XXXX_00201ecd8f982da3b67d4f6868af72a1b03b14e0_CVE-2024-28182_00201ecd8f982da3b67d4f6868af72a1b03b14e0_nghttp2_helper.c_1.1_nghttp2_strerror_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2024-28182_CWE-XXXX-XXXX_00201ecd8f982da3b67d4f6868af72a1b03b14e0_CVE-2024-28182_00201ecd8f982da3b67d4f6868af72a1b03b14e0_nghttp2_helper.c_1.1_nghttp2_strerror_NEW.vul,"[True, 'no del line', True, True, 0.9582504970178927, 0.9377431906614786]",True
./processed/arangodb@@arangodb-v3.12.0/validity_failure_type_message@@@3rdParty@#@boost@#@1.78.0@#@boost@#@geometry@#@policies@#@is_valid@#@failing_reason_policy.hpp,./cache/old_new_funcs/vul/sample/CVE-2022-24795_CWE-XXXX-XXXX_7168bd79b888900aa94523301126f968a93eb3a6_CVE-2022-24795_7168bd79b888900aa94523301126f968a93eb3a6_yajl_lex.c_1.1_yajl_tok_name_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2022-24795_CWE-XXXX-XXXX_7168bd79b888900aa94523301126f968a93eb3a6_CVE-2022-24795_7168bd79b888900aa94523301126f968a93eb3a6_yajl_lex.c_1.1_yajl_tok_name_NEW.vul,"[True, 'no del line', True, False, 0.36462093862815886, 0.3554006968641115]",False
./processed/arangodb@@arangodb-v3.12.0/nghttp2_strerror@@@3rdParty@#@nghttp2@#@lib@#@nghttp2_helper.c,./cache/old_new_funcs/vul/sample/CVE-2020-11080_CWE-XXXX-XXXX_336a98feb0d56b9ac54e12736b18785c27f75090_CVE-2020-11080_336a98feb0d56b9ac54e12736b18785c27f75090_nghttp2_helper.c_1.1_nghttp2_strerror_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2020-11080_CWE-XXXX-XXXX_336a98feb0d56b9ac54e12736b18785c27f75090_CVE-2020-11080_336a98feb0d56b9ac54e12736b18785c27f75090_nghttp2_helper.c_1.1_nghttp2_strerror_NEW.vul,['no vuln_file emb'],True
./processed/arangodb@@arangodb-v3.12.0/nghttp2_strerror@@@3rdParty@#@nghttp2@#@lib@#@nghttp2_helper.c,./cache/old_new_funcs/vul/sample/CVE-2024-28182_CWE-XXXX-XXXX_00201ecd8f982da3b67d4f6868af72a1b03b14e0_CVE-2024-28182_00201ecd8f982da3b67d4f6868af72a1b03b14e0_nghttp2_helper.c_1.1_nghttp2_strerror_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2024-28182_CWE-XXXX-XXXX_00201ecd8f982da3b67d4f6868af72a1b03b14e0_CVE-2024-28182_00201ecd8f982da3b67d4f6868af72a1b03b14e0_nghttp2_helper.c_1.1_nghttp2_strerror_NEW.vul,['no vuln_file emb'],True
./processed/arangodb@@arangodb-v3.12.0/collectOptions@@@arangod@#@RestServer@#@ServerFeature.cpp,./cache/old_new_funcs/vul/sample/CVE-2021-25940_CWE-XXXX-XXXX_e9c6ee9dcca7b9b4fbcd02a0b323d205bee838d3_CVE-2021-25940_e9c6ee9dcca7b9b4fbcd02a0b323d205bee838d3_ServerFeature.cpp_1.1_ServerFeature :: collectOptions_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2021-25940_CWE-XXXX-XXXX_e9c6ee9dcca7b9b4fbcd02a0b323d205bee838d3_CVE-2021-25940_e9c6ee9dcca7b9b4fbcd02a0b323d205bee838d3_ServerFeature.cpp_1.1_ServerFeature :: collectOptions_NEW.vul,[False],False
./processed/arangodb@@arangodb-v3.12.0/validateOptions@@@arangod@#@GeneralServer@#@AuthenticationFeature.cpp,./cache/old_new_funcs/vul/sample/CVE-2021-25940_CWE-XXXX-XXXX_e9c6ee9dcca7b9b4fbcd02a0b323d205bee838d3_CVE-2021-25940_e9c6ee9dcca7b9b4fbcd02a0b323d205bee838d3_AuthenticationFeature.cpp_1.1_AuthenticationFeature :: validateOptions_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2021-25940_CWE-XXXX-XXXX_e9c6ee9dcca7b9b4fbcd02a0b323d205bee838d3_CVE-2021-25940_e9c6ee9dcca7b9b4fbcd02a0b323d205bee838d3_AuthenticationFeature.cpp_1.1_AuthenticationFeature :: validateOptions_NEW.vul,"[True, 'no del line', True, True, 0.9237804878048781, 0.8037135278514589]",True
./processed/arangodb@@arangodb-v3.12.0/validateOptions@@@arangod@#@GeneralServer@#@AuthenticationFeature.cpp,./cache/old_new_funcs/vul/sample/CVE-2021-25940_CWE-XXXX-XXXX_e9c6ee9dcca7b9b4fbcd02a0b323d205bee838d3_CVE-2021-25940_e9c6ee9dcca7b9b4fbcd02a0b323d205bee838d3_AuthenticationFeature.cpp_1.1_AuthenticationFeature :: validateOptions_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2021-25940_CWE-XXXX-XXXX_e9c6ee9dcca7b9b4fbcd02a0b323d205bee838d3_CVE-2021-25940_e9c6ee9dcca7b9b4fbcd02a0b323d205bee838d3_AuthenticationFeature.cpp_1.1_AuthenticationFeature :: validateOptions_NEW.vul,['no vuln_file emb'],True
