target_file,vuln_file,patch_file,datail,predict
./processed/arangodb@@arangodb-v3.7.0-alpha.2/validity_failure_type_message@@@3rdParty@#@boost@#@1.71.0@#@boost@#@geometry@#@policies@#@is_valid@#@failing_reason_policy.hpp,./cache/old_new_funcs/vul/sample/CVE-2022-24795_CWE-XXXX-XXXX_7168bd79b888900aa94523301126f968a93eb3a6_CVE-2022-24795_7168bd79b888900aa94523301126f968a93eb3a6_yajl_lex.c_1.1_yajl_tok_name_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2022-24795_CWE-XXXX-XXXX_7168bd79b888900aa94523301126f968a93eb3a6_CVE-2022-24795_7168bd79b888900aa94523301126f968a93eb3a6_yajl_lex.c_1.1_yajl_tok_name_NEW.vul,"[True, 'no del line', True, False, 0.36462093862815886, 0.3554006968641115]",False
./processed/arangodb@@arangodb-v3.7.0-alpha.2/collectOptions@@@arangod@#@GeneralServer@#@SslServerFeature.cpp,./cache/old_new_funcs/vul/sample/CVE-2021-25940_CWE-XXXX-XXXX_e9c6ee9dcca7b9b4fbcd02a0b323d205bee838d3_CVE-2021-25940_e9c6ee9dcca7b9b4fbcd02a0b323d205bee838d3_AuthenticationFeature.cpp_1.1_AuthenticationFeature :: collectOptions_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2021-25940_CWE-XXXX-XXXX_e9c6ee9dcca7b9b4fbcd02a0b323d205bee838d3_CVE-2021-25940_e9c6ee9dcca7b9b4fbcd02a0b323d205bee838d3_AuthenticationFeature.cpp_1.1_AuthenticationFeature :: collectOptions_NEW.vul,[False],False
./processed/arangodb@@arangodb-v3.7.0-alpha.2/HasOnlySimpleElements@@@3rdParty@#@V8@#@v7.9.317@#@src@#@builtins@#@builtins-array.cc,./cache/old_new_funcs/vul/sample/CVE-2024-5158_CWE-XXXX-XXXX_cc05792346fb017eaa961ee7d35cf1f9bb53bb0a_CVE-2024-5158_cc05792346fb017eaa961ee7d35cf1f9bb53bb0a_builtins-array.cc_1.1_HasOnlySimpleElements_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2024-5158_CWE-XXXX-XXXX_cc05792346fb017eaa961ee7d35cf1f9bb53bb0a_CVE-2024-5158_cc05792346fb017eaa961ee7d35cf1f9bb53bb0a_builtins-array.cc_1.1_HasOnlySimpleElements_NEW.vul,[False],False
./processed/arangodb@@arangodb-v3.7.0-alpha.2/execute@@@arangod@#@RestHandler@#@RestAuthHandler.cpp,./cache/old_new_funcs/vul/sample/CVE-2021-25940_CWE-XXXX-XXXX_e9c6ee9dcca7b9b4fbcd02a0b323d205bee838d3_CVE-2021-25940_e9c6ee9dcca7b9b4fbcd02a0b323d205bee838d3_RestAuthHandler.cpp_1.1_RestAuthHandler :: execute_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2021-25940_CWE-XXXX-XXXX_e9c6ee9dcca7b9b4fbcd02a0b323d205bee838d3_CVE-2021-25940_e9c6ee9dcca7b9b4fbcd02a0b323d205bee838d3_RestAuthHandler.cpp_1.1_RestAuthHandler :: execute_NEW.vul,"[True, True, True, 0.9811715481171548, 0.7445008460236887]",True
./processed/arangodb@@arangodb-v3.7.0-alpha.2/nghttp2_http2_strerror@@@3rdParty@#@nghttp2@#@lib@#@nghttp2_helper.c,./cache/old_new_funcs/vul/sample/CVE-2022-24795_CWE-XXXX-XXXX_7168bd79b888900aa94523301126f968a93eb3a6_CVE-2022-24795_7168bd79b888900aa94523301126f968a93eb3a6_yajl_lex.c_1.1_yajl_tok_name_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2022-24795_CWE-XXXX-XXXX_7168bd79b888900aa94523301126f968a93eb3a6_CVE-2022-24795_7168bd79b888900aa94523301126f968a93eb3a6_yajl_lex.c_1.1_yajl_tok_name_NEW.vul,"[True, 'no del line', True, False, 0.3781818181818182, 0.3684210526315789]",False
./processed/arangodb@@arangodb-v3.7.0-alpha.2/execute@@@arangod@#@RestHandler@#@RestAuthHandler.cpp,./cache/old_new_funcs/vul/sample/CVE-2021-25940_CWE-XXXX-XXXX_e9c6ee9dcca7b9b4fbcd02a0b323d205bee838d3_CVE-2021-25940_e9c6ee9dcca7b9b4fbcd02a0b323d205bee838d3_RestAuthHandler.cpp_1.1_RestAuthHandler :: execute_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2021-25940_CWE-XXXX-XXXX_e9c6ee9dcca7b9b4fbcd02a0b323d205bee838d3_CVE-2021-25940_e9c6ee9dcca7b9b4fbcd02a0b323d205bee838d3_RestAuthHandler.cpp_1.1_RestAuthHandler :: execute_NEW.vul,['no vuln_file emb'],True
./processed/arangodb@@arangodb-v3.7.0-alpha.2/nghttp2_strerror@@@3rdParty@#@nghttp2@#@lib@#@nghttp2_helper.c,./cache/old_new_funcs/vul/sample/CVE-2020-11080_CWE-XXXX-XXXX_336a98feb0d56b9ac54e12736b18785c27f75090_CVE-2020-11080_336a98feb0d56b9ac54e12736b18785c27f75090_nghttp2_helper.c_1.1_nghttp2_strerror_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2020-11080_CWE-XXXX-XXXX_336a98feb0d56b9ac54e12736b18785c27f75090_CVE-2020-11080_336a98feb0d56b9ac54e12736b18785c27f75090_nghttp2_helper.c_1.1_nghttp2_strerror_NEW.vul,"[True, 'no del line', True, True, 1.0, 0.9582504970178927]",True
./processed/arangodb@@arangodb-v3.7.0-alpha.2/nghttp2_strerror@@@3rdParty@#@nghttp2@#@lib@#@nghttp2_helper.c,./cache/old_new_funcs/vul/sample/CVE-2024-28182_CWE-XXXX-XXXX_00201ecd8f982da3b67d4f6868af72a1b03b14e0_CVE-2024-28182_00201ecd8f982da3b67d4f6868af72a1b03b14e0_nghttp2_helper.c_1.1_nghttp2_strerror_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2024-28182_CWE-XXXX-XXXX_00201ecd8f982da3b67d4f6868af72a1b03b14e0_CVE-2024-28182_00201ecd8f982da3b67d4f6868af72a1b03b14e0_nghttp2_helper.c_1.1_nghttp2_strerror_NEW.vul,"[True, 'no del line', True, True, 0.9582504970178927, 0.9377431906614786]",True
./processed/arangodb@@arangodb-v3.7.0-alpha.2/LookupInScopeInfo@@@3rdParty@#@V8@#@v7.9.317@#@src@#@ast@#@scopes.cc,./cache/old_new_funcs/vul/sample/CVE-2024-2625_CWE-XXXX-XXXX_8f477f936c9b9e6b4c9f35a8ccc5e65bd4cb7f4e_CVE-2024-2625_8f477f936c9b9e6b4c9f35a8ccc5e65bd4cb7f4e_scopes.cc_1.1_Scope :: LookupInScopeInfo_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2024-2625_CWE-XXXX-XXXX_8f477f936c9b9e6b4c9f35a8ccc5e65bd4cb7f4e_CVE-2024-2625_8f477f936c9b9e6b4c9f35a8ccc5e65bd4cb7f4e_scopes.cc_1.1_Scope :: LookupInScopeInfo_NEW.vul,[False],False
./processed/arangodb@@arangodb-v3.7.0-alpha.2/nghttp2_strerror@@@3rdParty@#@nghttp2@#@lib@#@nghttp2_helper.c,./cache/old_new_funcs/vul/sample/CVE-2020-11080_CWE-XXXX-XXXX_336a98feb0d56b9ac54e12736b18785c27f75090_CVE-2020-11080_336a98feb0d56b9ac54e12736b18785c27f75090_nghttp2_helper.c_1.1_nghttp2_strerror_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2020-11080_CWE-XXXX-XXXX_336a98feb0d56b9ac54e12736b18785c27f75090_CVE-2020-11080_336a98feb0d56b9ac54e12736b18785c27f75090_nghttp2_helper.c_1.1_nghttp2_strerror_NEW.vul,['no vuln_file emb'],True
