target_file,vuln_file,patch_file,datail,predict
./processed/asterisk@@asterisk-16.23.0-rc1/transport_state_callback@@@res@#@res_pjsip@#@pjsip_transport_events.c,./cache/old_new_funcs/vul/sample/CVE-2022-42705_CWE-XXXX-XXXX_120aca73ba2a6e115bdded906db3b0a916fd0d05_CVE-2022-42705_120aca73ba2a6e115bdded906db3b0a916fd0d05_pjsip_transport_events.c_1.1_transport_state_callback_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2022-42705_CWE-XXXX-XXXX_120aca73ba2a6e115bdded906db3b0a916fd0d05_CVE-2022-42705_120aca73ba2a6e115bdded906db3b0a916fd0d05_pjsip_transport_events.c_1.1_transport_state_callback_NEW.vul,"[True, True, True, 0.8760683760683761, 0.6727574750830565]",True
./processed/asterisk@@asterisk-16.23.0-rc1/registration_transport_monitor_setup@@@res@#@res_pjsip_outbound_registration.c,./cache/old_new_funcs/vul/sample/CVE-2022-42705_CWE-XXXX-XXXX_120aca73ba2a6e115bdded906db3b0a916fd0d05_CVE-2022-42705_120aca73ba2a6e115bdded906db3b0a916fd0d05_res_pjsip_outbound_registration.c_1.1_registration_transport_monitor_setup_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2022-42705_CWE-XXXX-XXXX_120aca73ba2a6e115bdded906db3b0a916fd0d05_CVE-2022-42705_120aca73ba2a6e115bdded906db3b0a916fd0d05_res_pjsip_outbound_registration.c_1.1_registration_transport_monitor_setup_NEW.vul,[False],False
./processed/asterisk@@asterisk-16.23.0-rc1/handle_registration_response@@@res@#@res_pjsip_outbound_registration.c,./cache/old_new_funcs/vul/sample/CVE-2022-42705_CWE-XXXX-XXXX_120aca73ba2a6e115bdded906db3b0a916fd0d05_CVE-2022-42705_120aca73ba2a6e115bdded906db3b0a916fd0d05_res_pjsip_outbound_registration.c_1.1_handle_registration_response_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2022-42705_CWE-XXXX-XXXX_120aca73ba2a6e115bdded906db3b0a916fd0d05_CVE-2022-42705_120aca73ba2a6e115bdded906db3b0a916fd0d05_res_pjsip_outbound_registration.c_1.1_handle_registration_response_NEW.vul,"[True, True, True, 0.7449971412235563, 0.7201783723522854]",True
./processed/asterisk@@asterisk-16.23.0-rc1/subscription_persistence_remove@@@res@#@res_pjsip_pubsub.c,./cache/old_new_funcs/vul/sample/CVE-2022-42705_CWE-XXXX-XXXX_120aca73ba2a6e115bdded906db3b0a916fd0d05_CVE-2022-42705_120aca73ba2a6e115bdded906db3b0a916fd0d05_res_pjsip_pubsub.c_1.1_subscription_persistence_remove_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2022-42705_CWE-XXXX-XXXX_120aca73ba2a6e115bdded906db3b0a916fd0d05_CVE-2022-42705_120aca73ba2a6e115bdded906db3b0a916fd0d05_res_pjsip_pubsub.c_1.1_subscription_persistence_remove_NEW.vul,"[True, True, True, 0.9666666666666667, 0.7463414634146341]",True
./processed/asterisk@@asterisk-16.23.0-rc1/ooQ931Decode@@@addons@#@ooh323c@#@src@#@ooq931.c,./cache/old_new_funcs/vul/sample/CVE-2022-37325_CWE-XXXX-XXXX_d420314ffdba7cb143b98a8cc501719e915dc4f7_CVE-2022-37325_d420314ffdba7cb143b98a8cc501719e915dc4f7_ooq931.c_1.1_ooQ931Decode_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2022-37325_CWE-XXXX-XXXX_d420314ffdba7cb143b98a8cc501719e915dc4f7_CVE-2022-37325_d420314ffdba7cb143b98a8cc501719e915dc4f7_ooq931.c_1.1_ooQ931Decode_NEW.vul,"[True, True, True, 1.0, 0.9515079834417505]",True
./processed/asterisk@@asterisk-16.23.0-rc1/transport_state_callback@@@res@#@res_pjsip@#@pjsip_transport_events.c,./cache/old_new_funcs/vul/sample/CVE-2022-42705_CWE-XXXX-XXXX_120aca73ba2a6e115bdded906db3b0a916fd0d05_CVE-2022-42705_120aca73ba2a6e115bdded906db3b0a916fd0d05_pjsip_transport_events.c_1.1_transport_state_callback_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2022-42705_CWE-XXXX-XXXX_120aca73ba2a6e115bdded906db3b0a916fd0d05_CVE-2022-42705_120aca73ba2a6e115bdded906db3b0a916fd0d05_pjsip_transport_events.c_1.1_transport_state_callback_NEW.vul,"[True, 0.998683683877889, 0.9931833895387571]",True
./processed/asterisk@@asterisk-16.23.0-rc1/subscription_persistence_recreate@@@res@#@res_pjsip_pubsub.c,./cache/old_new_funcs/vul/sample/CVE-2022-42705_CWE-XXXX-XXXX_120aca73ba2a6e115bdded906db3b0a916fd0d05_CVE-2022-42705_120aca73ba2a6e115bdded906db3b0a916fd0d05_res_pjsip_pubsub.c_1.1_subscription_persistence_recreate_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2022-42705_CWE-XXXX-XXXX_120aca73ba2a6e115bdded906db3b0a916fd0d05_CVE-2022-42705_120aca73ba2a6e115bdded906db3b0a916fd0d05_res_pjsip_pubsub.c_1.1_subscription_persistence_recreate_NEW.vul,"[True, True, True, 0.9884836852207294, 0.9621212121212122]",True
./processed/asterisk@@asterisk-16.23.0-rc1/subscription_persistence_recreate@@@res@#@res_pjsip_pubsub.c,./cache/old_new_funcs/vul/sample/CVE-2022-42705_CWE-XXXX-XXXX_120aca73ba2a6e115bdded906db3b0a916fd0d05_CVE-2022-42705_120aca73ba2a6e115bdded906db3b0a916fd0d05_res_pjsip_pubsub.c_1.1_subscription_persistence_recreate_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2022-42705_CWE-XXXX-XXXX_120aca73ba2a6e115bdded906db3b0a916fd0d05_CVE-2022-42705_120aca73ba2a6e115bdded906db3b0a916fd0d05_res_pjsip_pubsub.c_1.1_subscription_persistence_recreate_NEW.vul,['no vuln_file emb'],True
./processed/asterisk@@asterisk-16.23.0-rc1/load_module@@@res@#@res_pjsip_pubsub.c,./cache/old_new_funcs/vul/sample/CVE-2022-42705_CWE-XXXX-XXXX_120aca73ba2a6e115bdded906db3b0a916fd0d05_CVE-2022-42705_120aca73ba2a6e115bdded906db3b0a916fd0d05_res_pjsip_pubsub.c_1.1_load_module_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2022-42705_CWE-XXXX-XXXX_120aca73ba2a6e115bdded906db3b0a916fd0d05_CVE-2022-42705_120aca73ba2a6e115bdded906db3b0a916fd0d05_res_pjsip_pubsub.c_1.1_load_module_NEW.vul,"[True, True, True, 0.9952038369304557, 0.9841017488076311]",True
./processed/asterisk@@asterisk-16.23.0-rc1/handle_registration_response@@@res@#@res_pjsip_outbound_registration.c,./cache/old_new_funcs/vul/sample/CVE-2022-42705_CWE-XXXX-XXXX_120aca73ba2a6e115bdded906db3b0a916fd0d05_CVE-2022-42705_120aca73ba2a6e115bdded906db3b0a916fd0d05_res_pjsip_outbound_registration.c_1.1_handle_registration_response_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2022-42705_CWE-XXXX-XXXX_120aca73ba2a6e115bdded906db3b0a916fd0d05_CVE-2022-42705_120aca73ba2a6e115bdded906db3b0a916fd0d05_res_pjsip_outbound_registration.c_1.1_handle_registration_response_NEW.vul,"[True, 0.9994527392386593, 0.9993368134026644]",True
