target_file,vuln_file,patch_file,datail,predict
./processed/bfabiszewski@@libmobi-v0.5/mobi_reconstruct_infl@@@src@#@parse_rawml.c,./cache/old_new_funcs/vul/sample/CVE-2022-1534_CWE-XXXX-XXXX_fb1ab50e448ddbed746fd27ae07469bc506d838b_CVE-2022-1534_fb1ab50e448ddbed746fd27ae07469bc506d838b_parse_rawml.c_1.1_mobi_reconstruct_infl_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2022-1534_CWE-XXXX-XXXX_fb1ab50e448ddbed746fd27ae07469bc506d838b_CVE-2022-1534_fb1ab50e448ddbed746fd27ae07469bc506d838b_parse_rawml.c_1.1_mobi_reconstruct_infl_NEW.vul,"[True, 'no del line', False]",False
./processed/bfabiszewski@@libmobi-v0.5/mobi_search_links_kf7@@@src@#@parse_rawml.c,./cache/old_new_funcs/vul/sample/CVE-2022-1908_CWE-XXXX-XXXX_1e0378e6f9e4ae415cedc9eb10850888897c5dba_CVE-2022-1908_1e0378e6f9e4ae415cedc9eb10850888897c5dba_parse_rawml.c_1.1_mobi_search_links_kf7_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2022-1908_CWE-XXXX-XXXX_1e0378e6f9e4ae415cedc9eb10850888897c5dba_CVE-2022-1908_1e0378e6f9e4ae415cedc9eb10850888897c5dba_parse_rawml.c_1.1_mobi_search_links_kf7_NEW.vul,"[True, True, True, 1.0, 0.9575163398692811]",True
./processed/bfabiszewski@@libmobi-v0.5/mobi_search_links_kf7@@@src@#@parse_rawml.c,./cache/old_new_funcs/vul/sample/CVE-2022-1908_CWE-XXXX-XXXX_1e0378e6f9e4ae415cedc9eb10850888897c5dba_CVE-2022-1908_1e0378e6f9e4ae415cedc9eb10850888897c5dba_parse_rawml.c_1.1_mobi_find_attrvalue_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2022-1908_CWE-XXXX-XXXX_1e0378e6f9e4ae415cedc9eb10850888897c5dba_CVE-2022-1908_1e0378e6f9e4ae415cedc9eb10850888897c5dba_parse_rawml.c_1.1_mobi_find_attrvalue_NEW.vul,"[True, True, True, 0.6979591836734694, 0.6854838709677419]",True
./processed/bfabiszewski@@libmobi-v0.5/mobi_decompress_huffman_internal@@@src@#@compression.c,./cache/old_new_funcs/vul/sample/CVE-2021-3889_CWE-XXXX-XXXX_bec783e6212439a335ba6e8df7ab8ed610ca9a21_CVE-2021-3889_bec783e6212439a335ba6e8df7ab8ed610ca9a21_compression.c_1.1_mobi_decompress_huffman_internal_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2021-3889_CWE-XXXX-XXXX_bec783e6212439a335ba6e8df7ab8ed610ca9a21_CVE-2021-3889_bec783e6212439a335ba6e8df7ab8ed610ca9a21_compression.c_1.1_mobi_decompress_huffman_internal_NEW.vul,"[True, True, True, 0.9345794392523364, 0.88]",True
./processed/bfabiszewski@@libmobi-v0.5/mobi_parse_huffdic@@@src@#@read.c,./cache/old_new_funcs/vul/sample/CVE-2021-3888_CWE-XXXX-XXXX_c78e186739b50d156cb3da5d08d70294f0490853_CVE-2021-3888_c78e186739b50d156cb3da5d08d70294f0490853_read.c_1.1_mobi_parse_huffdic_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2021-3888_CWE-XXXX-XXXX_c78e186739b50d156cb3da5d08d70294f0490853_CVE-2021-3888_c78e186739b50d156cb3da5d08d70294f0490853_read.c_1.1_mobi_parse_huffdic_NEW.vul,"[True, 'no del line', True, True, 1.0, 0.9102333931777379]",True
./processed/bfabiszewski@@libmobi-v0.5/mobi_trie_insert_infl@@@src@#@index.c,./cache/old_new_funcs/vul/sample/CVE-2022-29788_CWE-XXXX-XXXX_ce0ab6586069791b1e8e2a42f44318e581c39939_CVE-2022-29788_ce0ab6586069791b1e8e2a42f44318e581c39939_index.c_1.1_mobi_trie_insert_infl_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2022-29788_CWE-XXXX-XXXX_ce0ab6586069791b1e8e2a42f44318e581c39939_CVE-2022-29788_ce0ab6586069791b1e8e2a42f44318e581c39939_index.c_1.1_mobi_trie_insert_infl_NEW.vul,"[True, True, True, 1.0, 0.9176029962546817]",True
./processed/bfabiszewski@@libmobi-v0.5/mobi_find_attrvalue@@@src@#@parse_rawml.c,./cache/old_new_funcs/vul/sample/CVE-2022-1908_CWE-XXXX-XXXX_1e0378e6f9e4ae415cedc9eb10850888897c5dba_CVE-2022-1908_1e0378e6f9e4ae415cedc9eb10850888897c5dba_parse_rawml.c_1.1_mobi_search_links_kf7_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2022-1908_CWE-XXXX-XXXX_1e0378e6f9e4ae415cedc9eb10850888897c5dba_CVE-2022-1908_1e0378e6f9e4ae415cedc9eb10850888897c5dba_parse_rawml.c_1.1_mobi_search_links_kf7_NEW.vul,"[True, True, True, 0.6979591836734694, 0.6900269541778976]",True
./processed/bfabiszewski@@libmobi-v0.5/mobi_find_attrvalue@@@src@#@parse_rawml.c,./cache/old_new_funcs/vul/sample/CVE-2022-1908_CWE-XXXX-XXXX_1e0378e6f9e4ae415cedc9eb10850888897c5dba_CVE-2022-1908_1e0378e6f9e4ae415cedc9eb10850888897c5dba_parse_rawml.c_1.1_mobi_find_attrvalue_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2022-1908_CWE-XXXX-XXXX_1e0378e6f9e4ae415cedc9eb10850888897c5dba_CVE-2022-1908_1e0378e6f9e4ae415cedc9eb10850888897c5dba_parse_rawml.c_1.1_mobi_find_attrvalue_NEW.vul,"[True, True, True, 1.0, 0.9610778443113772]",True
./processed/bfabiszewski@@libmobi-v0.5/mobi_parse_index_entry@@@src@#@index.c,./cache/old_new_funcs/vul/sample/CVE-2022-1987_CWE-XXXX-XXXX_612562bc1ea38f1708b044e7a079c47a05b1291d_CVE-2022-1987_612562bc1ea38f1708b044e7a079c47a05b1291d_index.c_1.1_mobi_parse_index_entry_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2022-1987_CWE-XXXX-XXXX_612562bc1ea38f1708b044e7a079c47a05b1291d_CVE-2022-1987_612562bc1ea38f1708b044e7a079c47a05b1291d_index.c_1.1_mobi_parse_index_entry_NEW.vul,"[True, True, True, 0.9438682123245882, 0.9162210338680927]",True
./processed/bfabiszewski@@libmobi-v0.5/mobi_parse_huff@@@src@#@read.c,./cache/old_new_funcs/vul/sample/CVE-2021-3889_CWE-XXXX-XXXX_bec783e6212439a335ba6e8df7ab8ed610ca9a21_CVE-2021-3889_bec783e6212439a335ba6e8df7ab8ed610ca9a21_read.c_1.1_mobi_parse_huff_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2021-3889_CWE-XXXX-XXXX_bec783e6212439a335ba6e8df7ab8ed610ca9a21_CVE-2021-3889_bec783e6212439a335ba6e8df7ab8ed610ca9a21_read.c_1.1_mobi_parse_huff_NEW.vul,"[True, True, True, 0.7854671280276817, 0.7793103448275862]",True
