target_file,vuln_file,patch_file,datail,predict
./processed/chromium@@chromium-88.0.4324.218/xmlValidNormalizeAttributeValue@@@third_party@#@libxml@#@src@#@valid.c,./cache/old_new_funcs/vul/sample/CVE-2022-23308_CWE-XXXX-XXXX_652dd12a858989b14eed4e84e453059cd3ba340e_CVE-2022-23308_652dd12a858989b14eed4e84e453059cd3ba340e_valid.c_1.1_xmlValidNormalizeAttributeValue_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2022-23308_CWE-XXXX-XXXX_652dd12a858989b14eed4e84e453059cd3ba340e_CVE-2022-23308_652dd12a858989b14eed4e84e453059cd3ba340e_valid.c_1.1_xmlValidNormalizeAttributeValue_NEW.vul,"[True, True, True, 0.9885496183206107, 0.7320754716981132]",True
./processed/chromium@@chromium-88.0.4324.218/xmlTextReaderRemoveID@@@third_party@#@libxml@#@src@#@xmlreader.c,./cache/old_new_funcs/vul/sample/CVE-2022-23308_CWE-XXXX-XXXX_652dd12a858989b14eed4e84e453059cd3ba340e_CVE-2022-23308_652dd12a858989b14eed4e84e453059cd3ba340e_valid.c_1.1_xmlRemoveID_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2022-23308_CWE-XXXX-XXXX_652dd12a858989b14eed4e84e453059cd3ba340e_CVE-2022-23308_652dd12a858989b14eed4e84e453059cd3ba340e_valid.c_1.1_xmlRemoveID_NEW.vul,"[True, 'no del line', True, True, 0.749003984063745, 0.7258687258687259]",True
./processed/chromium@@chromium-88.0.4324.218/xmlValidNormalizeAttributeValue@@@third_party@#@libxml@#@src@#@valid.c,./cache/old_new_funcs/vul/sample/CVE-2022-23308_CWE-XXXX-XXXX_652dd12a858989b14eed4e84e453059cd3ba340e_CVE-2022-23308_652dd12a858989b14eed4e84e453059cd3ba340e_valid.c_1.1_xmlValidNormalizeAttributeValue_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2022-23308_CWE-XXXX-XXXX_652dd12a858989b14eed4e84e453059cd3ba340e_CVE-2022-23308_652dd12a858989b14eed4e84e453059cd3ba340e_valid.c_1.1_xmlValidNormalizeAttributeValue_NEW.vul,['no vuln_file emb'],True
./processed/chromium@@chromium-88.0.4324.218/GetControlType@@@chrome@#@browser@#@win@#@ui_automation_util.cc,./cache/old_new_funcs/vul/sample/CVE-2020-11080_CWE-XXXX-XXXX_336a98feb0d56b9ac54e12736b18785c27f75090_CVE-2020-11080_336a98feb0d56b9ac54e12736b18785c27f75090_nghttp2_helper.c_1.1_nghttp2_strerror_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2020-11080_CWE-XXXX-XXXX_336a98feb0d56b9ac54e12736b18785c27f75090_CVE-2020-11080_336a98feb0d56b9ac54e12736b18785c27f75090_nghttp2_helper.c_1.1_nghttp2_strerror_NEW.vul,"[True, 'no del line', True, False, 0.3651685393258427, 0.36527777777777776]",False
./processed/chromium@@chromium-88.0.4324.218/GetControlType@@@chrome@#@browser@#@win@#@ui_automation_util.cc,./cache/old_new_funcs/vul/sample/CVE-2024-28182_CWE-XXXX-XXXX_00201ecd8f982da3b67d4f6868af72a1b03b14e0_CVE-2024-28182_00201ecd8f982da3b67d4f6868af72a1b03b14e0_nghttp2_helper.c_1.1_nghttp2_strerror_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2024-28182_CWE-XXXX-XXXX_00201ecd8f982da3b67d4f6868af72a1b03b14e0_CVE-2024-28182_00201ecd8f982da3b67d4f6868af72a1b03b14e0_nghttp2_helper.c_1.1_nghttp2_strerror_NEW.vul,"[True, 'no del line', True, False, 0.36527777777777776, 0.359781121751026]",False
./processed/chromium@@chromium-88.0.4324.218/xmlTextReaderRemoveID@@@third_party@#@libxml@#@src@#@xmlreader.c,./cache/old_new_funcs/vul/sample/CVE-2022-23308_CWE-XXXX-XXXX_652dd12a858989b14eed4e84e453059cd3ba340e_CVE-2022-23308_652dd12a858989b14eed4e84e453059cd3ba340e_valid.c_1.1_xmlRemoveID_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2022-23308_CWE-XXXX-XXXX_652dd12a858989b14eed4e84e453059cd3ba340e_CVE-2022-23308_652dd12a858989b14eed4e84e453059cd3ba340e_valid.c_1.1_xmlRemoveID_NEW.vul,"[True, 0.9989771646902177, 0.9967503451807833]",True
./processed/chromium@@chromium-88.0.4324.218/GetStateDescription@@@chrome@#@browser@#@chromeos@#@mobile@#@mobile_activator.cc,./cache/old_new_funcs/vul/sample/CVE-2022-24795_CWE-XXXX-XXXX_7168bd79b888900aa94523301126f968a93eb3a6_CVE-2022-24795_7168bd79b888900aa94523301126f968a93eb3a6_yajl_lex.c_1.1_yajl_tok_name_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2022-24795_CWE-XXXX-XXXX_7168bd79b888900aa94523301126f968a93eb3a6_CVE-2022-24795_7168bd79b888900aa94523301126f968a93eb3a6_yajl_lex.c_1.1_yajl_tok_name_NEW.vul,"[True, 'no del line', True, False, 0.36727272727272725, 0.3531468531468531]",False
./processed/chromium@@chromium-88.0.4324.218/xmlRemoveID@@@third_party@#@libxml@#@src@#@valid.c,./cache/old_new_funcs/vul/sample/CVE-2022-23308_CWE-XXXX-XXXX_652dd12a858989b14eed4e84e453059cd3ba340e_CVE-2022-23308_652dd12a858989b14eed4e84e453059cd3ba340e_valid.c_1.1_xmlRemoveID_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2022-23308_CWE-XXXX-XXXX_652dd12a858989b14eed4e84e453059cd3ba340e_CVE-2022-23308_652dd12a858989b14eed4e84e453059cd3ba340e_valid.c_1.1_xmlRemoveID_NEW.vul,"[True, 'no del line', True, True, 0.9818181818181818, 0.9388646288209607]",True
./processed/chromium@@chromium-88.0.4324.218/xmlAddRef@@@third_party@#@libxml@#@src@#@valid.c,./cache/old_new_funcs/vul/sample/CVE-2022-23308_CWE-XXXX-XXXX_652dd12a858989b14eed4e84e453059cd3ba340e_CVE-2022-23308_652dd12a858989b14eed4e84e453059cd3ba340e_valid.c_1.1_xmlAddRef_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2022-23308_CWE-XXXX-XXXX_652dd12a858989b14eed4e84e453059cd3ba340e_CVE-2022-23308_652dd12a858989b14eed4e84e453059cd3ba340e_valid.c_1.1_xmlAddRef_NEW.vul,"[True, True, True, 0.9936406995230525, 0.952755905511811]",True
./processed/chromium@@chromium-88.0.4324.218/xmlValidCtxtNormalizeAttributeValue@@@third_party@#@libxml@#@src@#@valid.c,./cache/old_new_funcs/vul/sample/CVE-2022-23308_CWE-XXXX-XXXX_652dd12a858989b14eed4e84e453059cd3ba340e_CVE-2022-23308_652dd12a858989b14eed4e84e453059cd3ba340e_valid.c_1.1_xmlValidCtxtNormalizeAttributeValue_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2022-23308_CWE-XXXX-XXXX_652dd12a858989b14eed4e84e453059cd3ba340e_CVE-2022-23308_652dd12a858989b14eed4e84e453059cd3ba340e_valid.c_1.1_xmlValidCtxtNormalizeAttributeValue_NEW.vul,"[True, True, True, 0.9918588873812755, 0.8088829071332436]",True
