target_file,vuln_file,patch_file,datail,predict
./processed/commonmark@@cmark-0.31.0/push_bracket@@@src@#@inlines.c,./cache/old_new_funcs/vul/sample/CVE-2023-22486_CWE-XXXX-XXXX_76068010843d6148e49e7156f57c447e15aede33_CVE-2023-22486_76068010843d6148e49e7156f57c447e15aede33_inlines.c_1.1_push_bracket_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2023-22486_CWE-XXXX-XXXX_76068010843d6148e49e7156f57c447e15aede33_CVE-2023-22486_76068010843d6148e49e7156f57c447e15aede33_inlines.c_1.1_push_bracket_NEW.vul,"[True, 'no del line', False]",False
./processed/commonmark@@cmark-0.31.0/main@@@api_test@#@main.c,./cache/old_new_funcs/vul/sample/CVE-2023-24824_CWE-XXXX-XXXX_2300c1bd2c8226108885bf019655c4159cf26b59_CVE-2023-24824_2300c1bd2c8226108885bf019655c4159cf26b59_main.c_1.1_main_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2023-24824_CWE-XXXX-XXXX_2300c1bd2c8226108885bf019655c4159cf26b59_CVE-2023-24824_2300c1bd2c8226108885bf019655c4159cf26b59_main.c_1.1_main_NEW.vul,"[True, 'no del line', True, True, 0.9157894736842105, 0.8907849829351536]",True
./processed/commonmark@@cmark-0.31.0/add_text_to_container@@@src@#@blocks.c,./cache/old_new_funcs/vul/sample/CVE-2023-24824_CWE-XXXX-XXXX_2300c1bd2c8226108885bf019655c4159cf26b59_CVE-2023-24824_2300c1bd2c8226108885bf019655c4159cf26b59_blocks.c_1.1_add_text_to_container_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2023-24824_CWE-XXXX-XXXX_2300c1bd2c8226108885bf019655c4159cf26b59_CVE-2023-24824_2300c1bd2c8226108885bf019655c4159cf26b59_blocks.c_1.1_add_text_to_container_NEW.vul,"[True, True, True, 0.8967661691542289, 0.8823529411764706]",True
./processed/commonmark@@cmark-0.31.0/subject_from_buf@@@src@#@inlines.c,./cache/old_new_funcs/vul/sample/CVE-2023-22486_CWE-XXXX-XXXX_76068010843d6148e49e7156f57c447e15aede33_CVE-2023-22486_76068010843d6148e49e7156f57c447e15aede33_inlines.c_1.1_subject_from_buf_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2023-22486_CWE-XXXX-XXXX_76068010843d6148e49e7156f57c447e15aede33_CVE-2023-22486_76068010843d6148e49e7156f57c447e15aede33_inlines.c_1.1_subject_from_buf_NEW.vul,"[True, 'no del line', False]",False
./processed/commonmark@@cmark-0.31.0/add_child@@@src@#@blocks.c,./cache/old_new_funcs/vul/sample/CVE-2023-24824_CWE-XXXX-XXXX_2300c1bd2c8226108885bf019655c4159cf26b59_CVE-2023-24824_2300c1bd2c8226108885bf019655c4159cf26b59_blocks.c_1.1_add_child_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2023-24824_CWE-XXXX-XXXX_2300c1bd2c8226108885bf019655c4159cf26b59_CVE-2023-24824_2300c1bd2c8226108885bf019655c4159cf26b59_blocks.c_1.1_add_child_NEW.vul,"[True, 'no del line', True, True, 0.8717948717948718, 0.7798165137614679]",True
./processed/commonmark@@cmark-0.31.0/finalize@@@src@#@blocks.c,./cache/old_new_funcs/vul/sample/CVE-2023-24824_CWE-XXXX-XXXX_2300c1bd2c8226108885bf019655c4159cf26b59_CVE-2023-24824_2300c1bd2c8226108885bf019655c4159cf26b59_blocks.c_1.1_finalize_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2023-24824_CWE-XXXX-XXXX_2300c1bd2c8226108885bf019655c4159cf26b59_CVE-2023-24824_2300c1bd2c8226108885bf019655c4159cf26b59_blocks.c_1.1_finalize_NEW.vul,"[True, 'no del line', True, True, 0.8393378773125608, 0.8253521126760563]",True
./processed/commonmark@@cmark-0.31.0/finalize@@@src@#@blocks.c,./cache/old_new_funcs/vul/sample/CVE-2023-28626_CWE-XXXX-XXXX_6c9b4d75cb9e98a7f225e9873045326dffd8b6c6_CVE-2023-28626_6c9b4d75cb9e98a7f225e9873045326dffd8b6c6_blocks.c_1.1_finalize_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2023-28626_CWE-XXXX-XXXX_6c9b4d75cb9e98a7f225e9873045326dffd8b6c6_CVE-2023-28626_6c9b4d75cb9e98a7f225e9873045326dffd8b6c6_blocks.c_1.1_finalize_NEW.vul,[False],False
./processed/commonmark@@cmark-0.31.0/main@@@api_test@#@main.c,./cache/old_new_funcs/vul/sample/CVE-2023-24824_CWE-XXXX-XXXX_2300c1bd2c8226108885bf019655c4159cf26b59_CVE-2023-24824_2300c1bd2c8226108885bf019655c4159cf26b59_main.c_1.1_main_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2023-24824_CWE-XXXX-XXXX_2300c1bd2c8226108885bf019655c4159cf26b59_CVE-2023-24824_2300c1bd2c8226108885bf019655c4159cf26b59_main.c_1.1_main_NEW.vul,['no vuln_file emb'],True
./processed/commonmark@@cmark-0.31.0/add_child@@@src@#@blocks.c,./cache/old_new_funcs/vul/sample/CVE-2023-24824_CWE-XXXX-XXXX_2300c1bd2c8226108885bf019655c4159cf26b59_CVE-2023-24824_2300c1bd2c8226108885bf019655c4159cf26b59_blocks.c_1.1_add_child_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2023-24824_CWE-XXXX-XXXX_2300c1bd2c8226108885bf019655c4159cf26b59_CVE-2023-24824_2300c1bd2c8226108885bf019655c4159cf26b59_blocks.c_1.1_add_child_NEW.vul,['no vuln_file emb'],True
./processed/commonmark@@cmark-0.31.0/S_ends_with_blank_line@@@src@#@blocks.c,./cache/old_new_funcs/vul/sample/CVE-2023-24824_CWE-XXXX-XXXX_2300c1bd2c8226108885bf019655c4159cf26b59_CVE-2023-24824_2300c1bd2c8226108885bf019655c4159cf26b59_blocks.c_1.1_S_ends_with_blank_line_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2023-24824_CWE-XXXX-XXXX_2300c1bd2c8226108885bf019655c4159cf26b59_CVE-2023-24824_2300c1bd2c8226108885bf019655c4159cf26b59_blocks.c_1.1_S_ends_with_blank_line_NEW.vul,"[True, True, True, 0.9548872180451128, 0.75]",True
./processed/commonmark@@cmark-0.31.0/handle_pointy_brace@@@src@#@inlines.c,./cache/old_new_funcs/vul/sample/CVE-2023-22484_CWE-XXXX-XXXX_6a5126a8d65ad8615ed1f8efb025bebc06e9483d_CVE-2023-22484_6a5126a8d65ad8615ed1f8efb025bebc06e9483d_inlines.c_1.1_handle_pointy_brace_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2023-22484_CWE-XXXX-XXXX_6a5126a8d65ad8615ed1f8efb025bebc06e9483d_CVE-2023-22484_6a5126a8d65ad8615ed1f8efb025bebc06e9483d_inlines.c_1.1_handle_pointy_brace_NEW.vul,[False],False
