target_file,vuln_file,patch_file,datail,predict
./processed/eclipse@@mosquitto-v1.6.10/log__init@@@src@#@logging.c,./cache/old_new_funcs/vul/sample/CVE-2017-9868_CWE-XXXX-XXXX_6e7d02ba160c15d087c1741a61c3f9f222834d74_CVE-2017-9868_6e7d02ba160c15d087c1741a61c3f9f222834d74_logging.c_1.1_mqtt3_log_init_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2017-9868_CWE-XXXX-XXXX_6e7d02ba160c15d087c1741a61c3f9f222834d74_CVE-2017-9868_6e7d02ba160c15d087c1741a61c3f9f222834d74_logging.c_1.1_mqtt3_log_init_NEW.vul,[False],False
./processed/eclipse@@mosquitto-v1.6.10/mosquitto_reason_string@@@lib@#@mosquitto.c,./cache/old_new_funcs/vul/sample/CVE-2020-11080_CWE-XXXX-XXXX_336a98feb0d56b9ac54e12736b18785c27f75090_CVE-2020-11080_336a98feb0d56b9ac54e12736b18785c27f75090_nghttp2_helper.c_1.1_nghttp2_strerror_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2020-11080_CWE-XXXX-XXXX_336a98feb0d56b9ac54e12736b18785c27f75090_CVE-2020-11080_336a98feb0d56b9ac54e12736b18785c27f75090_nghttp2_helper.c_1.1_nghttp2_strerror_NEW.vul,"[True, 'no del line', True, False, 0.36575342465753424, 0.37142857142857144]",False
./processed/eclipse@@mosquitto-v1.6.10/mosquitto_reason_string@@@lib@#@mosquitto.c,./cache/old_new_funcs/vul/sample/CVE-2024-28182_CWE-XXXX-XXXX_00201ecd8f982da3b67d4f6868af72a1b03b14e0_CVE-2024-28182_00201ecd8f982da3b67d4f6868af72a1b03b14e0_nghttp2_helper.c_1.1_nghttp2_strerror_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2024-28182_CWE-XXXX-XXXX_00201ecd8f982da3b67d4f6868af72a1b03b14e0_CVE-2024-28182_00201ecd8f982da3b67d4f6868af72a1b03b14e0_nghttp2_helper.c_1.1_nghttp2_strerror_NEW.vul,"[True, 'no del line', True, False, 0.37142857142857144, 0.37331536388140163]",False
./processed/eclipse@@mosquitto-v1.6.10/main@@@src@#@mosquitto.c,./cache/old_new_funcs/vul/sample/CVE-2017-9868_CWE-XXXX-XXXX_6e7d02ba160c15d087c1741a61c3f9f222834d74_CVE-2017-9868_6e7d02ba160c15d087c1741a61c3f9f222834d74_mosquitto.c_1.1_main_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2017-9868_CWE-XXXX-XXXX_6e7d02ba160c15d087c1741a61c3f9f222834d74_CVE-2017-9868_6e7d02ba160c15d087c1741a61c3f9f222834d74_mosquitto.c_1.1_main_NEW.vul,[False],False
./processed/eclipse@@mosquitto-v1.6.10/db__msg_store_remove@@@src@#@database.c,./cache/old_new_funcs/vul/sample/CVE-2018-12546_CWE-XXXX-XXXX_c40957a7d8f2d866cd919f2d53f4927c785fcef1_CVE-2018-12546_c40957a7d8f2d866cd919f2d53f4927c785fcef1_database.c_1.1_db__msg_store_remove_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2018-12546_CWE-XXXX-XXXX_c40957a7d8f2d866cd919f2d53f4927c785fcef1_CVE-2018-12546_c40957a7d8f2d866cd919f2d53f4927c785fcef1_database.c_1.1_db__msg_store_remove_NEW.vul,"[True, 'no del line', False]",False
./processed/eclipse@@mosquitto-v1.6.10/persist__backup@@@src@#@persist_write.c,./cache/old_new_funcs/vul/sample/CVE-2017-9868_CWE-XXXX-XXXX_6e7d02ba160c15d087c1741a61c3f9f222834d74_CVE-2017-9868_6e7d02ba160c15d087c1741a61c3f9f222834d74_persist.c_1.1_mqtt3_db_backup_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2017-9868_CWE-XXXX-XXXX_6e7d02ba160c15d087c1741a61c3f9f222834d74_CVE-2017-9868_6e7d02ba160c15d087c1741a61c3f9f222834d74_persist.c_1.1_mqtt3_db_backup_NEW.vul,[False],False
./processed/eclipse@@mosquitto-v1.6.10/packet__write@@@lib@#@packet_mosq.c,./cache/old_new_funcs/vul/sample/CVE-2023-5632_CWE-XXXX-XXXX_18bad1ff32435e523d7507e9b2ce0010124a8f2d_CVE-2023-5632_18bad1ff32435e523d7507e9b2ce0010124a8f2d_packet_mosq.c_1.1_packet__write_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2023-5632_CWE-XXXX-XXXX_18bad1ff32435e523d7507e9b2ce0010124a8f2d_CVE-2023-5632_18bad1ff32435e523d7507e9b2ce0010124a8f2d_packet_mosq.c_1.1_packet__write_NEW.vul,"[True, 'no del line', True, True, 0.8338493292053664, 0.8236493374108053]",True
./processed/eclipse@@mosquitto-v1.6.10/config__read_file_core@@@src@#@conf.c,./cache/old_new_funcs/vul/sample/CVE-2018-12546_CWE-XXXX-XXXX_c40957a7d8f2d866cd919f2d53f4927c785fcef1_CVE-2018-12546_c40957a7d8f2d866cd919f2d53f4927c785fcef1_conf.c_1.1_config__read_file_core_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2018-12546_CWE-XXXX-XXXX_c40957a7d8f2d866cd919f2d53f4927c785fcef1_CVE-2018-12546_c40957a7d8f2d866cd919f2d53f4927c785fcef1_conf.c_1.1_config__read_file_core_NEW.vul,"[True, 'no del line', False]",False
./processed/eclipse@@mosquitto-v1.6.10/db__messages_easy_queue@@@src@#@database.c,./cache/old_new_funcs/vul/sample/CVE-2018-12546_CWE-XXXX-XXXX_c40957a7d8f2d866cd919f2d53f4927c785fcef1_CVE-2018-12546_c40957a7d8f2d866cd919f2d53f4927c785fcef1_database.c_1.1_db__messages_easy_queue_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2018-12546_CWE-XXXX-XXXX_c40957a7d8f2d866cd919f2d53f4927c785fcef1_CVE-2018-12546_c40957a7d8f2d866cd919f2d53f4927c785fcef1_database.c_1.1_db__messages_easy_queue_NEW.vul,[False],False
./processed/eclipse@@mosquitto-v1.6.10/mosquitto_tls_set@@@lib@#@options.c,./cache/old_new_funcs/vul/sample/CVE-2017-9868_CWE-XXXX-XXXX_6e7d02ba160c15d087c1741a61c3f9f222834d74_CVE-2017-9868_6e7d02ba160c15d087c1741a61c3f9f222834d74_mosquitto.c_1.1_mosquitto_tls_set_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2017-9868_CWE-XXXX-XXXX_6e7d02ba160c15d087c1741a61c3f9f222834d74_CVE-2017-9868_6e7d02ba160c15d087c1741a61c3f9f222834d74_mosquitto.c_1.1_mosquitto_tls_set_NEW.vul,[False],False
