target_file,vuln_file,patch_file,datail,predict
./processed/envoyproxy@@envoy-v1.15.4/TEST_F@@@test@#@extensions@#@filters@#@http@#@jwt_authn@#@all_verifier_test.cc,./cache/old_new_funcs/vul/sample/CVE-2021-21378_CWE-XXXX-XXXX_ea39e3cba652bcc4b11bb0d5c62b017e584d2e5a_CVE-2021-21378_ea39e3cba652bcc4b11bb0d5c62b017e584d2e5a_all_verifier_test.cc_1.1_TEST_F_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2021-21378_CWE-XXXX-XXXX_ea39e3cba652bcc4b11bb0d5c62b017e584d2e5a_CVE-2021-21378_ea39e3cba652bcc4b11bb0d5c62b017e584d2e5a_all_verifier_test.cc_1.1_TEST_F_NEW.vul,[False],False
./processed/envoyproxy@@envoy-v1.15.4/closeIdleConnections@@@source@#@common@#@conn_pool@#@conn_pool_base.cc,./cache/old_new_funcs/vul/sample/CVE-2022-23606_CWE-XXXX-XXXX_4b6dd3b53cd5c6d4d4df378a2fc62c1707522b31_CVE-2022-23606_4b6dd3b53cd5c6d4d4df378a2fc62c1707522b31_conn_pool_base.cc_1.1_ConnPoolImplBase :: closeIdleConnectionsForDrainingPool_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2022-23606_CWE-XXXX-XXXX_4b6dd3b53cd5c6d4d4df378a2fc62c1707522b31_CVE-2022-23606_4b6dd3b53cd5c6d4d4df378a2fc62c1707522b31_conn_pool_base.cc_1.1_ConnPoolImplBase :: closeIdleConnectionsForDrainingPool_NEW.vul,"[True, 'no del line', True, True, 0.6, 0.5657894736842105]",True
./processed/envoyproxy@@envoy-v1.15.4/decompress@@@source@#@extensions@#@compression@#@gzip@#@decompressor@#@zlib_decompressor_impl.cc,./cache/old_new_funcs/vul/sample/CVE-2022-29225_CWE-XXXX-XXXX_cb4ef0b09200c720dfdb07e097092dd105450343_CVE-2022-29225_cb4ef0b09200c720dfdb07e097092dd105450343_zlib_decompressor_impl.cc_1.1_ZlibDecompressorImpl :: decompress_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2022-29225_CWE-XXXX-XXXX_cb4ef0b09200c720dfdb07e097092dd105450343_CVE-2022-29225_cb4ef0b09200c720dfdb07e097092dd105450343_zlib_decompressor_impl.cc_1.1_ZlibDecompressorImpl :: decompress_NEW.vul,"[True, 'no del line', True, True, 0.9366197183098591, 0.5079365079365079]",True
./processed/envoyproxy@@envoy-v1.15.4/closeIdleConnections@@@source@#@common@#@conn_pool@#@conn_pool_base.cc,./cache/old_new_funcs/vul/sample/CVE-2022-23606_CWE-XXXX-XXXX_4b6dd3b53cd5c6d4d4df378a2fc62c1707522b31_CVE-2022-23606_4b6dd3b53cd5c6d4d4df378a2fc62c1707522b31_conn_pool_base.cc_1.1_ConnPoolImplBase :: closeIdleConnectionsForDrainingPool_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2022-23606_CWE-XXXX-XXXX_4b6dd3b53cd5c6d4d4df378a2fc62c1707522b31_CVE-2022-23606_4b6dd3b53cd5c6d4d4df378a2fc62c1707522b31_conn_pool_base.cc_1.1_ConnPoolImplBase :: closeIdleConnectionsForDrainingPool_NEW.vul,['no vuln_file emb'],True
./processed/envoyproxy@@envoy-v1.15.4/decompress@@@source@#@extensions@#@compression@#@gzip@#@decompressor@#@zlib_decompressor_impl.cc,./cache/old_new_funcs/vul/sample/CVE-2022-29225_CWE-XXXX-XXXX_cb4ef0b09200c720dfdb07e097092dd105450343_CVE-2022-29225_cb4ef0b09200c720dfdb07e097092dd105450343_zlib_decompressor_impl.cc_1.1_ZlibDecompressorImpl :: decompress_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2022-29225_CWE-XXXX-XXXX_cb4ef0b09200c720dfdb07e097092dd105450343_CVE-2022-29225_cb4ef0b09200c720dfdb07e097092dd105450343_zlib_decompressor_impl.cc_1.1_ZlibDecompressorImpl :: decompress_NEW.vul,['no vuln_file emb'],True
./processed/envoyproxy@@envoy-v1.15.4/encodeHeadersInternal@@@source@#@common@#@http@#@conn_manager_impl.cc,./cache/old_new_funcs/vul/sample/CVE-2021-43825_CWE-XXXX-XXXX_148de954ed3585d8b4298b424aa24916d0de6136_CVE-2021-43825_148de954ed3585d8b4298b424aa24916d0de6136_conn_manager_impl.cc_1.1_ConnectionManagerImpl :: ActiveStream :: encodeHeaders_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2021-43825_CWE-XXXX-XXXX_148de954ed3585d8b4298b424aa24916d0de6136_CVE-2021-43825_148de954ed3585d8b4298b424aa24916d0de6136_conn_manager_impl.cc_1.1_ConnectionManagerImpl :: ActiveStream :: encodeHeaders_NEW.vul,[False],False
./processed/envoyproxy@@envoy-v1.15.4/maybeEndDecode@@@source@#@common@#@http@#@conn_manager_impl.cc,./cache/old_new_funcs/vul/sample/CVE-2021-43825_CWE-XXXX-XXXX_148de954ed3585d8b4298b424aa24916d0de6136_CVE-2021-43825_148de954ed3585d8b4298b424aa24916d0de6136_filter_manager.cc_1.1_FilterManager :: maybeEndDecode_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2021-43825_CWE-XXXX-XXXX_148de954ed3585d8b4298b424aa24916d0de6136_CVE-2021-43825_148de954ed3585d8b4298b424aa24916d0de6136_filter_manager.cc_1.1_FilterManager :: maybeEndDecode_NEW.vul,"[True, True, True, 0.6116504854368932, 0.4690265486725664]",True
./processed/envoyproxy@@envoy-v1.15.4/maybeEndDecode@@@source@#@common@#@http@#@conn_manager_impl.cc,./cache/old_new_funcs/vul/sample/CVE-2021-43825_CWE-XXXX-XXXX_148de954ed3585d8b4298b424aa24916d0de6136_CVE-2021-43825_148de954ed3585d8b4298b424aa24916d0de6136_filter_manager.cc_1.1_FilterManager :: maybeEndDecode_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2021-43825_CWE-XXXX-XXXX_148de954ed3585d8b4298b424aa24916d0de6136_CVE-2021-43825_148de954ed3585d8b4298b424aa24916d0de6136_filter_manager.cc_1.1_FilterManager :: maybeEndDecode_NEW.vul,['no vuln_file emb'],True
./processed/envoyproxy@@envoy-v1.15.4/DEFINE_FUZZER@@@test@#@extensions@#@compression@#@gzip@#@compressor_fuzz_test.cc,./cache/old_new_funcs/vul/sample/CVE-2022-29225_CWE-XXXX-XXXX_cb4ef0b09200c720dfdb07e097092dd105450343_CVE-2022-29225_cb4ef0b09200c720dfdb07e097092dd105450343_compressor_fuzz_test.cc_1.1_DEFINE_FUZZER_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2022-29225_CWE-XXXX-XXXX_cb4ef0b09200c720dfdb07e097092dd105450343_CVE-2022-29225_cb4ef0b09200c720dfdb07e097092dd105450343_compressor_fuzz_test.cc_1.1_DEFINE_FUZZER_NEW.vul,"[True, 'no del line', True, True, 0.9520153550863724, 0.9001814882032668]",True
./processed/envoyproxy@@envoy-v1.15.4/DEFINE_FUZZER@@@test@#@extensions@#@compression@#@gzip@#@compressor_fuzz_test.cc,./cache/old_new_funcs/vul/sample/CVE-2022-29225_CWE-XXXX-XXXX_cb4ef0b09200c720dfdb07e097092dd105450343_CVE-2022-29225_cb4ef0b09200c720dfdb07e097092dd105450343_compressor_fuzz_test.cc_1.1_DEFINE_FUZZER_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2022-29225_CWE-XXXX-XXXX_cb4ef0b09200c720dfdb07e097092dd105450343_CVE-2022-29225_cb4ef0b09200c720dfdb07e097092dd105450343_compressor_fuzz_test.cc_1.1_DEFINE_FUZZER_NEW.vul,['no vuln_file emb'],True
