target_file,vuln_file,patch_file,datail,predict
./processed/enzo1982@@mp4v2-v2.1.3/Read@@@src@#@atom_sdp.cpp,./cache/old_new_funcs/vul/sample/CVE-2023-33718_CWE-XXXX-XXXX_c724815a541b763455ff38922af96f652627bce6_CVE-2023-33718_c724815a541b763455ff38922af96f652627bce6_atom_sdp.cpp_1.1_MP4SdpAtom :: Read_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2023-33718_CWE-XXXX-XXXX_c724815a541b763455ff38922af96f652627bce6_CVE-2023-33718_c724815a541b763455ff38922af96f652627bce6_atom_sdp.cpp_1.1_MP4SdpAtom :: Read_NEW.vul,"[True, True, True, 0.9366197183098591, 0.6557377049180327]",True
./processed/enzo1982@@mp4v2-v2.1.3/Read@@@src@#@atom_sdp.cpp,./cache/old_new_funcs/vul/sample/CVE-2023-33719_CWE-XXXX-XXXX_c724815a541b763455ff38922af96f652627bce6_CVE-2023-33719_c724815a541b763455ff38922af96f652627bce6_atom_sdp.cpp_1.1_MP4SdpAtom :: Read_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2023-33719_CWE-XXXX-XXXX_c724815a541b763455ff38922af96f652627bce6_CVE-2023-33719_c724815a541b763455ff38922af96f652627bce6_atom_sdp.cpp_1.1_MP4SdpAtom :: Read_NEW.vul,"[True, True, True, 0.9366197183098591, 0.6557377049180327]",True
./processed/enzo1982@@mp4v2-v2.1.3/Read@@@src@#@atom_sdp.cpp,./cache/old_new_funcs/vul/sample/CVE-2023-33717_CWE-XXXX-XXXX_c724815a541b763455ff38922af96f652627bce6_CVE-2023-33717_c724815a541b763455ff38922af96f652627bce6_atom_sdp.cpp_1.1_MP4SdpAtom :: Read_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2023-33717_CWE-XXXX-XXXX_c724815a541b763455ff38922af96f652627bce6_CVE-2023-33717_c724815a541b763455ff38922af96f652627bce6_atom_sdp.cpp_1.1_MP4SdpAtom :: Read_NEW.vul,"[True, True, True, 0.9366197183098591, 0.6557377049180327]",True
./processed/enzo1982@@mp4v2-v2.1.3/Read@@@src@#@atom_sdp.cpp,./cache/old_new_funcs/vul/sample/CVE-2023-33717_CWE-XXXX-XXXX_c724815a541b763455ff38922af96f652627bce6_CVE-2023-33717_c724815a541b763455ff38922af96f652627bce6_atom_rtp.cpp_1.1_MP4RtpAtom :: ReadHntiType_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2023-33717_CWE-XXXX-XXXX_c724815a541b763455ff38922af96f652627bce6_CVE-2023-33717_c724815a541b763455ff38922af96f652627bce6_atom_rtp.cpp_1.1_MP4RtpAtom :: ReadHntiType_NEW.vul,[False],False
./processed/enzo1982@@mp4v2-v2.1.3/Read@@@src@#@atom_sdp.cpp,./cache/old_new_funcs/vul/sample/CVE-2023-33719_CWE-XXXX-XXXX_c724815a541b763455ff38922af96f652627bce6_CVE-2023-33719_c724815a541b763455ff38922af96f652627bce6_atom_rtp.cpp_1.1_MP4RtpAtom :: ReadHntiType_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2023-33719_CWE-XXXX-XXXX_c724815a541b763455ff38922af96f652627bce6_CVE-2023-33719_c724815a541b763455ff38922af96f652627bce6_atom_rtp.cpp_1.1_MP4RtpAtom :: ReadHntiType_NEW.vul,[False],False
./processed/enzo1982@@mp4v2-v2.1.3/Read@@@src@#@atom_sdp.cpp,./cache/old_new_funcs/vul/sample/CVE-2023-33718_CWE-XXXX-XXXX_c724815a541b763455ff38922af96f652627bce6_CVE-2023-33718_c724815a541b763455ff38922af96f652627bce6_atom_rtp.cpp_1.1_MP4RtpAtom :: ReadHntiType_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2023-33718_CWE-XXXX-XXXX_c724815a541b763455ff38922af96f652627bce6_CVE-2023-33718_c724815a541b763455ff38922af96f652627bce6_atom_rtp.cpp_1.1_MP4RtpAtom :: ReadHntiType_NEW.vul,[False],False
./processed/enzo1982@@mp4v2-v2.1.3/ReadHntiType@@@src@#@atom_rtp.cpp,./cache/old_new_funcs/vul/sample/CVE-2023-33718_CWE-XXXX-XXXX_c724815a541b763455ff38922af96f652627bce6_CVE-2023-33718_c724815a541b763455ff38922af96f652627bce6_atom_sdp.cpp_1.1_MP4SdpAtom :: Read_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2023-33718_CWE-XXXX-XXXX_c724815a541b763455ff38922af96f652627bce6_CVE-2023-33718_c724815a541b763455ff38922af96f652627bce6_atom_sdp.cpp_1.1_MP4SdpAtom :: Read_NEW.vul,[False],False
./processed/enzo1982@@mp4v2-v2.1.3/ReadHntiType@@@src@#@atom_rtp.cpp,./cache/old_new_funcs/vul/sample/CVE-2023-33719_CWE-XXXX-XXXX_c724815a541b763455ff38922af96f652627bce6_CVE-2023-33719_c724815a541b763455ff38922af96f652627bce6_atom_sdp.cpp_1.1_MP4SdpAtom :: Read_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2023-33719_CWE-XXXX-XXXX_c724815a541b763455ff38922af96f652627bce6_CVE-2023-33719_c724815a541b763455ff38922af96f652627bce6_atom_sdp.cpp_1.1_MP4SdpAtom :: Read_NEW.vul,[False],False
./processed/enzo1982@@mp4v2-v2.1.3/ReadHntiType@@@src@#@atom_rtp.cpp,./cache/old_new_funcs/vul/sample/CVE-2023-33717_CWE-XXXX-XXXX_c724815a541b763455ff38922af96f652627bce6_CVE-2023-33717_c724815a541b763455ff38922af96f652627bce6_atom_sdp.cpp_1.1_MP4SdpAtom :: Read_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2023-33717_CWE-XXXX-XXXX_c724815a541b763455ff38922af96f652627bce6_CVE-2023-33717_c724815a541b763455ff38922af96f652627bce6_atom_sdp.cpp_1.1_MP4SdpAtom :: Read_NEW.vul,[False],False
./processed/enzo1982@@mp4v2-v2.1.3/ReadHntiType@@@src@#@atom_rtp.cpp,./cache/old_new_funcs/vul/sample/CVE-2023-33717_CWE-XXXX-XXXX_c724815a541b763455ff38922af96f652627bce6_CVE-2023-33717_c724815a541b763455ff38922af96f652627bce6_atom_rtp.cpp_1.1_MP4RtpAtom :: ReadHntiType_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2023-33717_CWE-XXXX-XXXX_c724815a541b763455ff38922af96f652627bce6_CVE-2023-33717_c724815a541b763455ff38922af96f652627bce6_atom_rtp.cpp_1.1_MP4RtpAtom :: ReadHntiType_NEW.vul,"[True, True, True, 0.9407894736842105, 0.6735751295336787]",True
./processed/enzo1982@@mp4v2-v2.1.3/ReadHntiType@@@src@#@atom_rtp.cpp,./cache/old_new_funcs/vul/sample/CVE-2023-33719_CWE-XXXX-XXXX_c724815a541b763455ff38922af96f652627bce6_CVE-2023-33719_c724815a541b763455ff38922af96f652627bce6_atom_rtp.cpp_1.1_MP4RtpAtom :: ReadHntiType_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2023-33719_CWE-XXXX-XXXX_c724815a541b763455ff38922af96f652627bce6_CVE-2023-33719_c724815a541b763455ff38922af96f652627bce6_atom_rtp.cpp_1.1_MP4RtpAtom :: ReadHntiType_NEW.vul,"[True, True, True, 0.9407894736842105, 0.6735751295336787]",True
./processed/enzo1982@@mp4v2-v2.1.3/ReadHntiType@@@src@#@atom_rtp.cpp,./cache/old_new_funcs/vul/sample/CVE-2023-33718_CWE-XXXX-XXXX_c724815a541b763455ff38922af96f652627bce6_CVE-2023-33718_c724815a541b763455ff38922af96f652627bce6_atom_rtp.cpp_1.1_MP4RtpAtom :: ReadHntiType_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2023-33718_CWE-XXXX-XXXX_c724815a541b763455ff38922af96f652627bce6_CVE-2023-33718_c724815a541b763455ff38922af96f652627bce6_atom_rtp.cpp_1.1_MP4RtpAtom :: ReadHntiType_NEW.vul,"[True, True, True, 0.9407894736842105, 0.6735751295336787]",True
./processed/enzo1982@@mp4v2-v2.1.3/Read@@@src@#@atom_sdp.cpp,./cache/old_new_funcs/vul/sample/CVE-2023-33718_CWE-XXXX-XXXX_c724815a541b763455ff38922af96f652627bce6_CVE-2023-33718_c724815a541b763455ff38922af96f652627bce6_atom_sdp.cpp_1.1_MP4SdpAtom :: Read_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2023-33718_CWE-XXXX-XXXX_c724815a541b763455ff38922af96f652627bce6_CVE-2023-33718_c724815a541b763455ff38922af96f652627bce6_atom_sdp.cpp_1.1_MP4SdpAtom :: Read_NEW.vul,['no vuln_file emb'],True
