target_file,vuln_file,patch_file,datail,predict
./processed/espruino@@Espruino-RELEASE_2V07/jspGetNamedFieldInParents@@@src@#@jsparse.c,./cache/old_new_funcs/vul/sample/CVE-2022-25044_CWE-XXXX-XXXX_e069be2ecc5060ef47391716e4de94999595b260_CVE-2022-25044_e069be2ecc5060ef47391716e4de94999595b260_jsparse.c_1.1_jspGetNamedFieldInParents_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2022-25044_CWE-XXXX-XXXX_e069be2ecc5060ef47391716e4de94999595b260_CVE-2022-25044_e069be2ecc5060ef47391716e4de94999595b260_jsparse.c_1.1_jspGetNamedFieldInParents_NEW.vul,"[True, True, True, 0.982089552238806, 0.801007556675063]",True
./processed/espruino@@Espruino-RELEASE_2V07/mbedtls_x509_set_extension@@@libs@#@crypto@#@mbedtls@#@library@#@x509_create.c,./cache/old_new_funcs/vul/sample/CVE-2024-23775_CWE-XXXX-XXXX_e90cbc3d1260901efc879178a15f2d90a5e17612_CVE-2024-23775_e90cbc3d1260901efc879178a15f2d90a5e17612_x509_create.c_1.1_mbedtls_x509_set_extension_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2024-23775_CWE-XXXX-XXXX_e90cbc3d1260901efc879178a15f2d90a5e17612_CVE-2024-23775_e90cbc3d1260901efc879178a15f2d90a5e17612_x509_create.c_1.1_mbedtls_x509_set_extension_NEW.vul,"[True, 'no del line', True, True, 0.7484276729559748, 0.6949152542372882]",True
./processed/espruino@@Espruino-RELEASE_2V07/jspGetNamedFieldInParents@@@src@#@jsparse.c,./cache/old_new_funcs/vul/sample/CVE-2022-25044_CWE-XXXX-XXXX_e069be2ecc5060ef47391716e4de94999595b260_CVE-2022-25044_e069be2ecc5060ef47391716e4de94999595b260_jsparse.c_1.1_jspGetNamedFieldInParents_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2022-25044_CWE-XXXX-XXXX_e069be2ecc5060ef47391716e4de94999595b260_CVE-2022-25044_e069be2ecc5060ef47391716e4de94999595b260_jsparse.c_1.1_jspGetNamedFieldInParents_NEW.vul,['no vuln_file emb'],True
./processed/espruino@@Espruino-RELEASE_2V07/mbedtls_x509_set_extension@@@libs@#@crypto@#@mbedtls@#@library@#@x509_create.c,./cache/old_new_funcs/vul/sample/CVE-2024-23775_CWE-XXXX-XXXX_e90cbc3d1260901efc879178a15f2d90a5e17612_CVE-2024-23775_e90cbc3d1260901efc879178a15f2d90a5e17612_x509_create.c_1.1_mbedtls_x509_set_extension_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2024-23775_CWE-XXXX-XXXX_e90cbc3d1260901efc879178a15f2d90a5e17612_CVE-2024-23775_e90cbc3d1260901efc879178a15f2d90a5e17612_x509_create.c_1.1_mbedtls_x509_set_extension_NEW.vul,['no vuln_file emb'],True
./processed/espruino@@Espruino-RELEASE_2V07/uECC_sign_with_k@@@targetlibs@#@nrf5x_15@#@external@#@micro-ecc@#@uECC.c,./cache/old_new_funcs/vul/sample/CVE-2020-27209_CWE-XXXX-XXXX_1b5f5cea5145c96dd8791b9b2c41424fc74c2172_CVE-2020-27209_1b5f5cea5145c96dd8791b9b2c41424fc74c2172_uECC.c_1.1_uECC_sign_with_k_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2020-27209_CWE-XXXX-XXXX_1b5f5cea5145c96dd8791b9b2c41424fc74c2172_CVE-2020-27209_1b5f5cea5145c96dd8791b9b2c41424fc74c2172_uECC.c_1.1_uECC_sign_with_k_NEW.vul,"[True, True, True, 0.9904153354632588, 0.8914616497829233]",True
./processed/espruino@@Espruino-RELEASE_2V07/decode_static_field@@@targetlibs@#@nrf5x_12@#@external@#@nano-pb@#@pb_decode.c,./cache/old_new_funcs/vul/sample/CVE-2020-26243_CWE-XXXX-XXXX_4fe23595732b6f1254cfc11a9b8d6da900b55b0c_CVE-2020-26243_4fe23595732b6f1254cfc11a9b8d6da900b55b0c_pb_decode.c_1.1_decode_static_field_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2020-26243_CWE-XXXX-XXXX_4fe23595732b6f1254cfc11a9b8d6da900b55b0c_CVE-2020-26243_4fe23595732b6f1254cfc11a9b8d6da900b55b0c_pb_decode.c_1.1_decode_static_field_NEW.vul,"[True, True, True, 0.9013657056145675, 0.8642335766423358]",True
./processed/espruino@@Espruino-RELEASE_2V07/decode_static_field@@@targetlibs@#@nrf5x_12@#@external@#@nano-pb@#@pb_decode.c,./cache/old_new_funcs/vul/sample/CVE-2020-26243_CWE-XXXX-XXXX_4fe23595732b6f1254cfc11a9b8d6da900b55b0c_CVE-2020-26243_4fe23595732b6f1254cfc11a9b8d6da900b55b0c_pb_decode.c_1.1_decode_static_field_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2020-26243_CWE-XXXX-XXXX_4fe23595732b6f1254cfc11a9b8d6da900b55b0c_CVE-2020-26243_4fe23595732b6f1254cfc11a9b8d6da900b55b0c_pb_decode.c_1.1_decode_static_field_NEW.vul,['no vuln_file emb'],True
./processed/espruino@@Espruino-RELEASE_2V07/jsvRemoveChild@@@src@#@jsvar.c,./cache/old_new_funcs/vul/sample/CVE-2022-25044_CWE-XXXX-XXXX_e069be2ecc5060ef47391716e4de94999595b260_CVE-2022-25044_e069be2ecc5060ef47391716e4de94999595b260_jsvar.c_1.1_jsvRemoveChild_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2022-25044_CWE-XXXX-XXXX_e069be2ecc5060ef47391716e4de94999595b260_CVE-2022-25044_e069be2ecc5060ef47391716e4de94999595b260_jsvar.c_1.1_jsvRemoveChild_NEW.vul,"[True, 'no del line', True, True, 1.0, 0.951048951048951]",True
./processed/espruino@@Espruino-RELEASE_2V07/jsvAddName@@@src@#@jsvar.c,./cache/old_new_funcs/vul/sample/CVE-2022-25044_CWE-XXXX-XXXX_e069be2ecc5060ef47391716e4de94999595b260_CVE-2022-25044_e069be2ecc5060ef47391716e4de94999595b260_jsvar.c_1.1_jsvAddName_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2022-25044_CWE-XXXX-XXXX_e069be2ecc5060ef47391716e4de94999595b260_CVE-2022-25044_e069be2ecc5060ef47391716e4de94999595b260_jsvar.c_1.1_jsvAddName_NEW.vul,"[True, 'no del line', True, True, 1.0, 0.9443298969072165]",True
./processed/espruino@@Espruino-RELEASE_2V07/decode_pointer_field@@@targetlibs@#@nrf5x_12@#@external@#@nano-pb@#@pb_decode.c,./cache/old_new_funcs/vul/sample/CVE-2020-5235_CWE-XXXX-XXXX_aa9d0d1ca78d6adec3adfeecf3a706c7f9df81f2_CVE-2020-5235_aa9d0d1ca78d6adec3adfeecf3a706c7f9df81f2_pb_decode.c_1.1_decode_pointer_field_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2020-5235_CWE-XXXX-XXXX_aa9d0d1ca78d6adec3adfeecf3a706c7f9df81f2_CVE-2020-5235_aa9d0d1ca78d6adec3adfeecf3a706c7f9df81f2_pb_decode.c_1.1_decode_pointer_field_NEW.vul,"[True, True, True, 0.9671574178935447, 0.9281767955801105]",True
