target_file,vuln_file,patch_file,datail,predict
./processed/facebook@@hermes-v0.6.0/generate@@@lib@#@BCGen@#@HBC@#@BytecodeGenerator.cpp,./cache/old_new_funcs/vul/sample/CVE-2020-1912_CWE-XXXX-XXXX_091835377369c8fd5917d9b87acffa721ad2a168_CVE-2020-1912_091835377369c8fd5917d9b87acffa721ad2a168_BytecodeGenerator.cpp_1.1_BytecodeModuleGenerator :: generate_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2020-1912_CWE-XXXX-XXXX_091835377369c8fd5917d9b87acffa721ad2a168_CVE-2020-1912_091835377369c8fd5917d9b87acffa721ad2a168_BytecodeGenerator.cpp_1.1_BytecodeModuleGenerator :: generate_NEW.vul,"[True, 'no del line', True, True, 0.9911417322834646, 0.9634615384615385]",True
./processed/facebook@@hermes-v0.6.0/getArchTypeName@@@external@#@llvh@#@lib@#@Support@#@Triple.cpp,./cache/old_new_funcs/vul/sample/CVE-2023-27103_CWE-XXXX-XXXX_d6bf73e765b7a23627bfd7a8645c143fd9097995_CVE-2023-27103_d6bf73e765b7a23627bfd7a8645c143fd9097995_de265.cc_1.1_de265_get_error_text_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2023-27103_CWE-XXXX-XXXX_d6bf73e765b7a23627bfd7a8645c143fd9097995_CVE-2023-27103_d6bf73e765b7a23627bfd7a8645c143fd9097995_de265.cc_1.1_de265_get_error_text_NEW.vul,"[True, 'no del line', True, False, 0.36259977194982895, 0.3581081081081081]",False
./processed/facebook@@hermes-v0.6.0/generate@@@lib@#@BCGen@#@HBC@#@BytecodeGenerator.cpp,./cache/old_new_funcs/vul/sample/CVE-2020-1912_CWE-XXXX-XXXX_091835377369c8fd5917d9b87acffa721ad2a168_CVE-2020-1912_091835377369c8fd5917d9b87acffa721ad2a168_BytecodeGenerator.cpp_1.1_BytecodeModuleGenerator :: generate_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2020-1912_CWE-XXXX-XXXX_091835377369c8fd5917d9b87acffa721ad2a168_CVE-2020-1912_091835377369c8fd5917d9b87acffa721ad2a168_BytecodeGenerator.cpp_1.1_BytecodeModuleGenerator :: generate_NEW.vul,['no vuln_file emb'],True
./processed/facebook@@hermes-v0.6.0/resolveBreakpointLocation@@@lib@#@VM@#@Debugger@#@Debugger.cpp,./cache/old_new_funcs/vul/sample/CVE-2022-40138_CWE-XXXX-XXXX_6aa825e480d48127b480b08d13adf70033237097_CVE-2022-40138_6aa825e480d48127b480b08d13adf70033237097_Debugger.cpp_1.1_Debugger :: resolveBreakpointLocation_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2022-40138_CWE-XXXX-XXXX_6aa825e480d48127b480b08d13adf70033237097_CVE-2022-40138_6aa825e480d48127b480b08d13adf70033237097_Debugger.cpp_1.1_Debugger :: resolveBreakpointLocation_NEW.vul,"[True, True, True, 0.9346774193548387, 0.9057344854673999]",True
./processed/facebook@@hermes-v0.6.0/resolveBreakpointLocation@@@lib@#@VM@#@Debugger@#@Debugger.cpp,./cache/old_new_funcs/vul/sample/CVE-2022-40138_CWE-XXXX-XXXX_6aa825e480d48127b480b08d13adf70033237097_CVE-2022-40138_6aa825e480d48127b480b08d13adf70033237097_Debugger.cpp_1.1_Debugger :: resolveBreakpointLocation_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2022-40138_CWE-XXXX-XXXX_6aa825e480d48127b480b08d13adf70033237097_CVE-2022-40138_6aa825e480d48127b480b08d13adf70033237097_Debugger.cpp_1.1_Debugger :: resolveBreakpointLocation_NEW.vul,['no vuln_file emb'],True
./processed/facebook@@hermes-v0.6.0/genGeneratorFunction@@@lib@#@IRGen@#@ESTreeIRGen-func.cpp,./cache/old_new_funcs/vul/sample/CVE-2020-1912_CWE-XXXX-XXXX_091835377369c8fd5917d9b87acffa721ad2a168_CVE-2020-1912_091835377369c8fd5917d9b87acffa721ad2a168_ESTreeIRGen-func.cpp_1.1_ESTreeIRGen :: genGeneratorFunction_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2020-1912_CWE-XXXX-XXXX_091835377369c8fd5917d9b87acffa721ad2a168_CVE-2020-1912_091835377369c8fd5917d9b87acffa721ad2a168_ESTreeIRGen-func.cpp_1.1_ESTreeIRGen :: genGeneratorFunction_NEW.vul,"[True, True, True, 0.9602888086642599, 0.946236559139785]",True
./processed/facebook@@hermes-v0.6.0/genGeneratorFunction@@@lib@#@IRGen@#@ESTreeIRGen-func.cpp,./cache/old_new_funcs/vul/sample/CVE-2020-1912_CWE-XXXX-XXXX_091835377369c8fd5917d9b87acffa721ad2a168_CVE-2020-1912_091835377369c8fd5917d9b87acffa721ad2a168_ESTreeIRGen-func.cpp_1.1_ESTreeIRGen :: genGeneratorFunction_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2020-1912_CWE-XXXX-XXXX_091835377369c8fd5917d9b87acffa721ad2a168_CVE-2020-1912_091835377369c8fd5917d9b87acffa721ad2a168_ESTreeIRGen-func.cpp_1.1_ESTreeIRGen :: genGeneratorFunction_NEW.vul,['no vuln_file emb'],True
./processed/facebook@@hermes-v0.6.0/interpretFunction@@@lib@#@VM@#@Interpreter.cpp,./cache/old_new_funcs/vul/sample/CVE-2020-1913_CWE-XXXX-XXXX_2c7af7ec481ceffd0d14ce2d7c045e475fd71dc6_CVE-2020-1913_2c7af7ec481ceffd0d14ce2d7c045e475fd71dc6_Interpreter.cpp_1.1_Interpreter :: interpretFunction_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2020-1913_CWE-XXXX-XXXX_2c7af7ec481ceffd0d14ce2d7c045e475fd71dc6_CVE-2020-1913_2c7af7ec481ceffd0d14ce2d7c045e475fd71dc6_Interpreter.cpp_1.1_Interpreter :: interpretFunction_NEW.vul,"[True, True, True, 0.9992388563817135, 0.9972436080220511]",True
./processed/facebook@@hermes-v0.6.0/getCodeBlockFileName@@@lib@#@VM@#@JSLib@#@HermesInternal.cpp,./cache/old_new_funcs/vul/sample/CVE-2023-24832_CWE-XXXX-XXXX_5cae9f72975cf0e5a62b27fdd8b01f103e198708_CVE-2023-24832_5cae9f72975cf0e5a62b27fdd8b01f103e198708_HermesInternal.cpp_1.1_getCodeBlockFileName_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2023-24832_CWE-XXXX-XXXX_5cae9f72975cf0e5a62b27fdd8b01f103e198708_CVE-2023-24832_5cae9f72975cf0e5a62b27fdd8b01f103e198708_HermesInternal.cpp_1.1_getCodeBlockFileName_NEW.vul,"[True, 'no del line', True, True, 0.9153439153439153, 0.8]",True
./processed/facebook@@hermes-v0.6.0/generateBytecodeForSerialization@@@lib@#@CompilerDriver@#@CompilerDriver.cpp,./cache/old_new_funcs/vul/sample/CVE-2022-40138_CWE-XXXX-XXXX_6aa825e480d48127b480b08d13adf70033237097_CVE-2022-40138_6aa825e480d48127b480b08d13adf70033237097_CompilerDriver.cpp_1.1_generateBytecodeForSerialization_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2022-40138_CWE-XXXX-XXXX_6aa825e480d48127b480b08d13adf70033237097_CVE-2022-40138_6aa825e480d48127b480b08d13adf70033237097_CompilerDriver.cpp_1.1_generateBytecodeForSerialization_NEW.vul,"[True, 'no del line', True, True, 0.8118811881188119, 0.6684782608695652]",True
