target_file,vuln_file,patch_file,datail,predict
./processed/facebook@@hhvm-HHVM-4.167.0/create@@@third-party@#@folly@#@src@#@folly@#@io@#@IOBuf.cpp,./cache/old_new_funcs/vul/sample/CVE-2021-24036_CWE-XXXX-XXXX_4f304af1411e68851bdd00ef6140e9de4616f7d3_CVE-2021-24036_4f304af1411e68851bdd00ef6140e9de4616f7d3_IOBuf.cpp_1.1_IOBuf :: create_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2021-24036_CWE-XXXX-XXXX_4f304af1411e68851bdd00ef6140e9de4616f7d3_CVE-2021-24036_4f304af1411e68851bdd00ef6140e9de4616f7d3_IOBuf.cpp_1.1_IOBuf :: create_NEW.vul,"[True, 'no del line', False]",False
./processed/facebook@@hhvm-HHVM-4.167.0/evbuffer_add_vprintf@@@third-party@#@fb-mysql@#@8.0.20@#@extra@#@libevent@#@buffer.c,./cache/old_new_funcs/vul/sample/CVE-2014-6272_CWE-XXXX-XXXX_841ecbd96105c84ac2e7c9594aeadbcc6fb38bc4_CVE-2014-6272_841ecbd96105c84ac2e7c9594aeadbcc6fb38bc4_buffer.c_1.1_evbuffer_add_vprintf_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2014-6272_CWE-XXXX-XXXX_841ecbd96105c84ac2e7c9594aeadbcc6fb38bc4_CVE-2014-6272_841ecbd96105c84ac2e7c9594aeadbcc6fb38bc4_buffer.c_1.1_evbuffer_add_vprintf_NEW.vul,"[True, 'no del line', False]",False
./processed/facebook@@hhvm-HHVM-4.167.0/serialize_impl@@@hphp@#@runtime@#@ext@#@std@#@ext_std_variable.cpp,./cache/old_new_funcs/vul/sample/CVE-2021-24025_CWE-XXXX-XXXX_08193b7f0cd3910256e00d599f0f3eb2519c44ca_CVE-2021-24025_08193b7f0cd3910256e00d599f0f3eb2519c44ca_ext_std_variable.cpp_1.1_serialize_impl_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2021-24025_CWE-XXXX-XXXX_08193b7f0cd3910256e00d599f0f3eb2519c44ca_CVE-2021-24025_08193b7f0cd3910256e00d599f0f3eb2519c44ca_ext_std_variable.cpp_1.1_serialize_impl_NEW.vul,[False],False
./processed/facebook@@hhvm-HHVM-4.167.0/reserveSlow@@@third-party@#@folly@#@src@#@folly@#@io@#@IOBuf.cpp,./cache/old_new_funcs/vul/sample/CVE-2021-24036_CWE-XXXX-XXXX_4f304af1411e68851bdd00ef6140e9de4616f7d3_CVE-2021-24036_4f304af1411e68851bdd00ef6140e9de4616f7d3_IOBuf.cpp_1.1_IOBuf :: reserveSlow_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2021-24036_CWE-XXXX-XXXX_4f304af1411e68851bdd00ef6140e9de4616f7d3_CVE-2021-24036_4f304af1411e68851bdd00ef6140e9de4616f7d3_IOBuf.cpp_1.1_IOBuf :: reserveSlow_NEW.vul,[False],False
./processed/facebook@@hhvm-HHVM-4.167.0/evbuffer_copyout_from@@@third-party@#@fb-mysql@#@8.0.20@#@extra@#@libevent@#@buffer.c,./cache/old_new_funcs/vul/sample/CVE-2014-6272_CWE-XXXX-XXXX_841ecbd96105c84ac2e7c9594aeadbcc6fb38bc4_CVE-2014-6272_841ecbd96105c84ac2e7c9594aeadbcc6fb38bc4_buffer.c_1.1_evbuffer_copyout_from_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2014-6272_CWE-XXXX-XXXX_841ecbd96105c84ac2e7c9594aeadbcc6fb38bc4_CVE-2014-6272_841ecbd96105c84ac2e7c9594aeadbcc6fb38bc4_buffer.c_1.1_evbuffer_copyout_from_NEW.vul,"[True, 'no del line', False]",False
./processed/facebook@@hhvm-HHVM-4.167.0/fb_compact_unserialize_from_buffer@@@hphp@#@runtime@#@ext@#@fb@#@ext_fb.cpp,./cache/old_new_funcs/vul/sample/CVE-2020-1898_CWE-XXXX-XXXX_1746dfb11fc0048366f34669e74318b8278a684c_CVE-2020-1898_1746dfb11fc0048366f34669e74318b8278a684c_ext_fb.cpp_1.1_fb_compact_unserialize_from_buffer_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2020-1898_CWE-XXXX-XXXX_1746dfb11fc0048366f34669e74318b8278a684c_CVE-2020-1898_1746dfb11fc0048366f34669e74318b8278a684c_ext_fb.cpp_1.1_fb_compact_unserialize_from_buffer_NEW.vul,[False],False
./processed/facebook@@hhvm-HHVM-4.167.0/xbuf_format_converter@@@hphp@#@zend@#@zend-printf.cpp,./cache/old_new_funcs/vul/sample/CVE-2021-24025_CWE-XXXX-XXXX_08193b7f0cd3910256e00d599f0f3eb2519c44ca_CVE-2021-24025_08193b7f0cd3910256e00d599f0f3eb2519c44ca_zend-printf.cpp_1.1_xbuf_format_converter_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2021-24025_CWE-XXXX-XXXX_08193b7f0cd3910256e00d599f0f3eb2519c44ca_CVE-2021-24025_08193b7f0cd3910256e00d599f0f3eb2519c44ca_zend-printf.cpp_1.1_xbuf_format_converter_NEW.vul,[False],False
./processed/facebook@@hhvm-HHVM-4.167.0/evbuffer_prepend@@@third-party@#@fb-mysql@#@8.0.20@#@extra@#@libevent@#@buffer.c,./cache/old_new_funcs/vul/sample/CVE-2014-6272_CWE-XXXX-XXXX_841ecbd96105c84ac2e7c9594aeadbcc6fb38bc4_CVE-2014-6272_841ecbd96105c84ac2e7c9594aeadbcc6fb38bc4_buffer.c_1.1_evbuffer_prepend_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2014-6272_CWE-XXXX-XXXX_841ecbd96105c84ac2e7c9594aeadbcc6fb38bc4_CVE-2014-6272_841ecbd96105c84ac2e7c9594aeadbcc6fb38bc4_buffer.c_1.1_evbuffer_prepend_NEW.vul,"[True, 'no del line', False]",False
./processed/facebook@@hhvm-HHVM-4.167.0/evbuffer_expand_fast_@@@third-party@#@fb-mysql@#@8.0.20@#@extra@#@libevent@#@buffer.c,./cache/old_new_funcs/vul/sample/CVE-2014-6272_CWE-XXXX-XXXX_841ecbd96105c84ac2e7c9594aeadbcc6fb38bc4_CVE-2014-6272_841ecbd96105c84ac2e7c9594aeadbcc6fb38bc4_buffer.c_1.1_evbuffer_expand_fast__OLD.vul,./cache/old_new_funcs/no_vul/CVE-2014-6272_CWE-XXXX-XXXX_841ecbd96105c84ac2e7c9594aeadbcc6fb38bc4_CVE-2014-6272_841ecbd96105c84ac2e7c9594aeadbcc6fb38bc4_buffer.c_1.1_evbuffer_expand_fast__NEW.vul,"[True, 'no del line', False]",False
./processed/facebook@@hhvm-HHVM-4.167.0/evbuffer_ptr_memcmp@@@third-party@#@fb-mysql@#@8.0.20@#@extra@#@libevent@#@buffer.c,./cache/old_new_funcs/vul/sample/CVE-2014-6272_CWE-XXXX-XXXX_841ecbd96105c84ac2e7c9594aeadbcc6fb38bc4_CVE-2014-6272_841ecbd96105c84ac2e7c9594aeadbcc6fb38bc4_buffer.c_1.1_evbuffer_ptr_memcmp_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2014-6272_CWE-XXXX-XXXX_841ecbd96105c84ac2e7c9594aeadbcc6fb38bc4_CVE-2014-6272_841ecbd96105c84ac2e7c9594aeadbcc6fb38bc4_buffer.c_1.1_evbuffer_ptr_memcmp_NEW.vul,[False],False
./processed/facebook@@hhvm-HHVM-4.167.0/set_sockaddr@@@hphp@#@runtime@#@ext@#@sockets@#@ext_sockets.cpp,./cache/old_new_funcs/vul/sample/CVE-2021-24025_CWE-XXXX-XXXX_08193b7f0cd3910256e00d599f0f3eb2519c44ca_CVE-2021-24025_08193b7f0cd3910256e00d599f0f3eb2519c44ca_ext_sockets.cpp_1.1_set_sockaddr_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2021-24025_CWE-XXXX-XXXX_08193b7f0cd3910256e00d599f0f3eb2519c44ca_CVE-2021-24025_08193b7f0cd3910256e00d599f0f3eb2519c44ca_ext_sockets.cpp_1.1_set_sockaddr_NEW.vul,[False],False
./processed/facebook@@hhvm-HHVM-4.167.0/gdImageCreateTrueColor@@@hphp@#@runtime@#@ext@#@gd@#@libgd@#@gd.cpp,./cache/old_new_funcs/vul/sample/CVE-2020-1916_CWE-XXXX-XXXX_abe0b29e4d3a610f9bc920b8be4ad8403364c2d4_CVE-2020-1916_abe0b29e4d3a610f9bc920b8be4ad8403364c2d4_gd.cpp_1.1_gdImageCreateTrueColor_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2020-1916_CWE-XXXX-XXXX_abe0b29e4d3a610f9bc920b8be4ad8403364c2d4_CVE-2020-1916_abe0b29e4d3a610f9bc920b8be4ad8403364c2d4_gd.cpp_1.1_gdImageCreateTrueColor_NEW.vul,[False],False
./processed/facebook@@hhvm-HHVM-4.167.0/HHVM_METHOD@@@hphp@#@runtime@#@ext@#@xmlreader@#@ext_xmlreader.cpp,./cache/old_new_funcs/vul/sample/CVE-2020-1916_CWE-XXXX-XXXX_abe0b29e4d3a610f9bc920b8be4ad8403364c2d4_CVE-2020-1916_abe0b29e4d3a610f9bc920b8be4ad8403364c2d4_ext_xmlreader.cpp_1.1_HHVM_METHOD_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2020-1916_CWE-XXXX-XXXX_abe0b29e4d3a610f9bc920b8be4ad8403364c2d4_CVE-2020-1916_abe0b29e4d3a610f9bc920b8be4ad8403364c2d4_ext_xmlreader.cpp_1.1_HHVM_METHOD_NEW.vul,[False],False
./processed/facebook@@hhvm-HHVM-4.167.0/evbuffer_ptr_subtract@@@third-party@#@fb-mysql@#@8.0.20@#@extra@#@libevent@#@buffer.c,./cache/old_new_funcs/vul/sample/CVE-2014-6272_CWE-XXXX-XXXX_841ecbd96105c84ac2e7c9594aeadbcc6fb38bc4_CVE-2014-6272_841ecbd96105c84ac2e7c9594aeadbcc6fb38bc4_buffer.c_1.1_evbuffer_ptr_subtract_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2014-6272_CWE-XXXX-XXXX_841ecbd96105c84ac2e7c9594aeadbcc6fb38bc4_CVE-2014-6272_841ecbd96105c84ac2e7c9594aeadbcc6fb38bc4_buffer.c_1.1_evbuffer_ptr_subtract_NEW.vul,"[True, 'no del line', False]",False
./processed/facebook@@hhvm-HHVM-4.167.0/evbuffer_ptr_set@@@third-party@#@fb-mysql@#@8.0.20@#@extra@#@libevent@#@buffer.c,./cache/old_new_funcs/vul/sample/CVE-2014-6272_CWE-XXXX-XXXX_841ecbd96105c84ac2e7c9594aeadbcc6fb38bc4_CVE-2014-6272_841ecbd96105c84ac2e7c9594aeadbcc6fb38bc4_buffer.c_1.1_evbuffer_ptr_set_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2014-6272_CWE-XXXX-XXXX_841ecbd96105c84ac2e7c9594aeadbcc6fb38bc4_CVE-2014-6272_841ecbd96105c84ac2e7c9594aeadbcc6fb38bc4_buffer.c_1.1_evbuffer_ptr_set_NEW.vul,"[True, 'no del line', False]",False
./processed/facebook@@hhvm-HHVM-4.167.0/setupCrypto@@@hphp@#@runtime@#@base@#@ssl-socket.cpp,./cache/old_new_funcs/vul/sample/CVE-2022-36937_CWE-XXXX-XXXX_083f5ffdee661f61512909d16f9a5b98cff3cf0b_CVE-2022-36937_083f5ffdee661f61512909d16f9a5b98cff3cf0b_ssl-socket.cpp_1.1_SSLSocket :: setupCrypto_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2022-36937_CWE-XXXX-XXXX_083f5ffdee661f61512909d16f9a5b98cff3cf0b_CVE-2022-36937_083f5ffdee661f61512909d16f9a5b98cff3cf0b_ssl-socket.cpp_1.1_SSLSocket :: setupCrypto_NEW.vul,"[True, True, True, 0.9846938775510204, 0.9417637271214643]",True
./processed/facebook@@hhvm-HHVM-4.167.0/operator new@@@third-party@#@folly@#@src@#@folly@#@io@#@IOBuf.cpp,./cache/old_new_funcs/vul/sample/CVE-2021-24036_CWE-XXXX-XXXX_4f304af1411e68851bdd00ef6140e9de4616f7d3_CVE-2021-24036_4f304af1411e68851bdd00ef6140e9de4616f7d3_IOBuf.cpp_1.1_operator new_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2021-24036_CWE-XXXX-XXXX_4f304af1411e68851bdd00ef6140e9de4616f7d3_CVE-2021-24036_4f304af1411e68851bdd00ef6140e9de4616f7d3_IOBuf.cpp_1.1_operator new_NEW.vul,"[True, 'no del line', False]",False
./processed/facebook@@hhvm-HHVM-4.167.0/setupCrypto@@@hphp@#@runtime@#@base@#@ssl-socket.cpp,./cache/old_new_funcs/vul/sample/CVE-2022-36937_CWE-XXXX-XXXX_083f5ffdee661f61512909d16f9a5b98cff3cf0b_CVE-2022-36937_083f5ffdee661f61512909d16f9a5b98cff3cf0b_ssl-socket.cpp_1.1_SSLSocket :: setupCrypto_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2022-36937_CWE-XXXX-XXXX_083f5ffdee661f61512909d16f9a5b98cff3cf0b_CVE-2022-36937_083f5ffdee661f61512909d16f9a5b98cff3cf0b_ssl-socket.cpp_1.1_SSLSocket :: setupCrypto_NEW.vul,['no vuln_file emb'],True
./processed/facebook@@hhvm-HHVM-4.167.0/string_crypt@@@hphp@#@zend@#@zend-string.cpp,./cache/old_new_funcs/vul/sample/CVE-2020-1916_CWE-XXXX-XXXX_abe0b29e4d3a610f9bc920b8be4ad8403364c2d4_CVE-2020-1916_abe0b29e4d3a610f9bc920b8be4ad8403364c2d4_zend-string.cpp_1.1_string_crypt_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2020-1916_CWE-XXXX-XXXX_abe0b29e4d3a610f9bc920b8be4ad8403364c2d4_CVE-2020-1916_abe0b29e4d3a610f9bc920b8be4ad8403364c2d4_zend-string.cpp_1.1_string_crypt_NEW.vul,[False],False
./processed/facebook@@hhvm-HHVM-4.167.0/string_crypt@@@hphp@#@zend@#@zend-string.cpp,./cache/old_new_funcs/vul/sample/CVE-2021-24025_CWE-XXXX-XXXX_08193b7f0cd3910256e00d599f0f3eb2519c44ca_CVE-2021-24025_08193b7f0cd3910256e00d599f0f3eb2519c44ca_zend-string.cpp_1.1_string_crypt_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2021-24025_CWE-XXXX-XXXX_08193b7f0cd3910256e00d599f0f3eb2519c44ca_CVE-2021-24025_08193b7f0cd3910256e00d599f0f3eb2519c44ca_zend-string.cpp_1.1_string_crypt_NEW.vul,[False],False
