target_file,vuln_file,patch_file,datail,predict
./processed/gcc-mirror@@gcc-releases_gcc-8.4.0/_cpp_skip_block_comment@@@libcpp@#@lex.c,./cache/old_new_funcs/vul/sample/CVE-2021-42574_CWE-XXXX-XXXX_51c500269bf53749b107807d84271385fad35628_CVE-2021-42574_51c500269bf53749b107807d84271385fad35628_lex.c_1.1__cpp_skip_block_comment_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2021-42574_CWE-XXXX-XXXX_51c500269bf53749b107807d84271385fad35628_CVE-2021-42574_51c500269bf53749b107807d84271385fad35628_lex.c_1.1__cpp_skip_block_comment_NEW.vul,"[True, True, True, 0.9882697947214076, 0.599009900990099]",True
./processed/gcc-mirror@@gcc-releases_gcc-8.4.0/lex_string@@@libcpp@#@lex.c,./cache/old_new_funcs/vul/sample/CVE-2021-42574_CWE-XXXX-XXXX_51c500269bf53749b107807d84271385fad35628_CVE-2021-42574_51c500269bf53749b107807d84271385fad35628_lex.c_1.1_lex_string_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2021-42574_CWE-XXXX-XXXX_51c500269bf53749b107807d84271385fad35628_CVE-2021-42574_51c500269bf53749b107807d84271385fad35628_lex.c_1.1_lex_string_NEW.vul,"[True, 'no del line', True, True, 0.97610513739546, 0.7848837209302325]",True
./processed/gcc-mirror@@gcc-releases_gcc-8.4.0/_cpp_skip_block_comment@@@libcpp@#@lex.c,./cache/old_new_funcs/vul/sample/CVE-2021-42574_CWE-XXXX-XXXX_51c500269bf53749b107807d84271385fad35628_CVE-2021-42574_51c500269bf53749b107807d84271385fad35628_lex.c_1.1__cpp_skip_block_comment_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2021-42574_CWE-XXXX-XXXX_51c500269bf53749b107807d84271385fad35628_CVE-2021-42574_51c500269bf53749b107807d84271385fad35628_lex.c_1.1__cpp_skip_block_comment_NEW.vul,['no vuln_file emb'],True
./processed/gcc-mirror@@gcc-releases_gcc-8.4.0/skip_line_comment@@@libcpp@#@lex.c,./cache/old_new_funcs/vul/sample/CVE-2021-42574_CWE-XXXX-XXXX_51c500269bf53749b107807d84271385fad35628_CVE-2021-42574_51c500269bf53749b107807d84271385fad35628_lex.c_1.1_skip_line_comment_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2021-42574_CWE-XXXX-XXXX_51c500269bf53749b107807d84271385fad35628_CVE-2021-42574_51c500269bf53749b107807d84271385fad35628_lex.c_1.1_skip_line_comment_NEW.vul,"[True, 'no del line', True, True, 0.875, 0.2857142857142857]",True
./processed/gcc-mirror@@gcc-releases_gcc-8.4.0/lex_string@@@libcpp@#@lex.c,./cache/old_new_funcs/vul/sample/CVE-2021-42574_CWE-XXXX-XXXX_51c500269bf53749b107807d84271385fad35628_CVE-2021-42574_51c500269bf53749b107807d84271385fad35628_lex.c_1.1_lex_string_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2021-42574_CWE-XXXX-XXXX_51c500269bf53749b107807d84271385fad35628_CVE-2021-42574_51c500269bf53749b107807d84271385fad35628_lex.c_1.1_lex_string_NEW.vul,"[True, 0.999865561556383, 0.9966953665389403]",True
./processed/gcc-mirror@@gcc-releases_gcc-8.4.0/lex_identifier@@@libcpp@#@lex.c,./cache/old_new_funcs/vul/sample/CVE-2021-42574_CWE-XXXX-XXXX_51c500269bf53749b107807d84271385fad35628_CVE-2021-42574_51c500269bf53749b107807d84271385fad35628_lex.c_1.1_lex_identifier_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2021-42574_CWE-XXXX-XXXX_51c500269bf53749b107807d84271385fad35628_CVE-2021-42574_51c500269bf53749b107807d84271385fad35628_lex.c_1.1_lex_identifier_NEW.vul,"[True, 'no del line', True, True, 0.9870550161812298, 0.921092564491654]",True
./processed/gcc-mirror@@gcc-releases_gcc-8.4.0/skip_line_comment@@@libcpp@#@lex.c,./cache/old_new_funcs/vul/sample/CVE-2021-42574_CWE-XXXX-XXXX_51c500269bf53749b107807d84271385fad35628_CVE-2021-42574_51c500269bf53749b107807d84271385fad35628_lex.c_1.1_skip_line_comment_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2021-42574_CWE-XXXX-XXXX_51c500269bf53749b107807d84271385fad35628_CVE-2021-42574_51c500269bf53749b107807d84271385fad35628_lex.c_1.1_skip_line_comment_NEW.vul,['no vuln_file emb'],True
./processed/gcc-mirror@@gcc-releases_gcc-8.4.0/hsa_type_name@@@gcc@#@hsa-dump.c,./cache/old_new_funcs/vul/sample/CVE-2023-27103_CWE-XXXX-XXXX_d6bf73e765b7a23627bfd7a8645c143fd9097995_CVE-2023-27103_d6bf73e765b7a23627bfd7a8645c143fd9097995_de265.cc_1.1_de265_get_error_text_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2023-27103_CWE-XXXX-XXXX_d6bf73e765b7a23627bfd7a8645c143fd9097995_CVE-2023-27103_d6bf73e765b7a23627bfd7a8645c143fd9097995_de265.cc_1.1_de265_get_error_text_NEW.vul,"[True, 'no del line', True, False, 0.3578088578088578, 0.3532796317606444]",False
./processed/gcc-mirror@@gcc-releases_gcc-8.4.0/lex_identifier@@@libcpp@#@lex.c,./cache/old_new_funcs/vul/sample/CVE-2021-42574_CWE-XXXX-XXXX_51c500269bf53749b107807d84271385fad35628_CVE-2021-42574_51c500269bf53749b107807d84271385fad35628_lex.c_1.1_lex_identifier_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2021-42574_CWE-XXXX-XXXX_51c500269bf53749b107807d84271385fad35628_CVE-2021-42574_51c500269bf53749b107807d84271385fad35628_lex.c_1.1_lex_identifier_NEW.vul,"[True, 0.9999999975416793, 0.9993190212927089]",True
./processed/gcc-mirror@@gcc-releases_gcc-8.4.0/forms_identifier_p@@@libcpp@#@lex.c,./cache/old_new_funcs/vul/sample/CVE-2021-42574_CWE-XXXX-XXXX_51c500269bf53749b107807d84271385fad35628_CVE-2021-42574_51c500269bf53749b107807d84271385fad35628_lex.c_1.1_forms_identifier_p_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2021-42574_CWE-XXXX-XXXX_51c500269bf53749b107807d84271385fad35628_CVE-2021-42574_51c500269bf53749b107807d84271385fad35628_lex.c_1.1_forms_identifier_p_NEW.vul,"[True, 'no del line', True, True, 0.7645429362880887, 0.5528942115768463]",True
./processed/gcc-mirror@@gcc-releases_gcc-8.4.0/cpp_create_reader@@@libcpp@#@init.c,./cache/old_new_funcs/vul/sample/CVE-2021-42574_CWE-XXXX-XXXX_51c500269bf53749b107807d84271385fad35628_CVE-2021-42574_51c500269bf53749b107807d84271385fad35628_init.c_1.1_cpp_create_reader_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2021-42574_CWE-XXXX-XXXX_51c500269bf53749b107807d84271385fad35628_CVE-2021-42574_51c500269bf53749b107807d84271385fad35628_init.c_1.1_cpp_create_reader_NEW.vul,"[True, 'no del line', True, True, 0.8697972251867663, 0.8578947368421053]",True
./processed/gcc-mirror@@gcc-releases_gcc-8.4.0/forms_identifier_p@@@libcpp@#@lex.c,./cache/old_new_funcs/vul/sample/CVE-2021-42574_CWE-XXXX-XXXX_51c500269bf53749b107807d84271385fad35628_CVE-2021-42574_51c500269bf53749b107807d84271385fad35628_lex.c_1.1_forms_identifier_p_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2021-42574_CWE-XXXX-XXXX_51c500269bf53749b107807d84271385fad35628_CVE-2021-42574_51c500269bf53749b107807d84271385fad35628_lex.c_1.1_forms_identifier_p_NEW.vul,"[True, 0.9971234391059745, 0.9907459280922742]",True
