target_file,vuln_file,patch_file,datail,predict
./processed/git@@git-v2.13.0-rc2/module_clone@@@builtin@#@submodule--helper.c,./cache/old_new_funcs/vul/sample/CVE-2019-1349_CWE-XXXX-XXXX_0060fd1511b94c918928fa3708f69a3f33895a4a_CVE-2019-1349_0060fd1511b94c918928fa3708f69a3f33895a4a_submodule--helper.c_1.1_module_clone_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2019-1349_CWE-XXXX-XXXX_0060fd1511b94c918928fa3708f69a3f33895a4a_CVE-2019-1349_0060fd1511b94c918928fa3708f69a3f33895a4a_submodule--helper.c_1.1_module_clone_NEW.vul,"[True, 'no del line', True, True, 0.9938335046248715, 0.9065155807365439]",True
./processed/git@@git-v2.13.0-rc2/module_clone@@@builtin@#@submodule--helper.c,./cache/old_new_funcs/vul/sample/CVE-2019-1387_CWE-XXXX-XXXX_a8dee3ca610f5a1d403634492136c887f83b59d2_CVE-2019-1387_a8dee3ca610f5a1d403634492136c887f83b59d2_submodule--helper.c_1.1_module_clone_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2019-1387_CWE-XXXX-XXXX_a8dee3ca610f5a1d403634492136c887f83b59d2_CVE-2019-1387_a8dee3ca610f5a1d403634492136c887f83b59d2_submodule--helper.c_1.1_module_clone_NEW.vul,"[True, 'no del line', True, True, 0.9065155807365439, 0.8743169398907104]",True
./processed/git@@git-v2.13.0-rc2/quote_arg@@@compat@#@mingw.c,./cache/old_new_funcs/vul/sample/CVE-2019-1350_CWE-XXXX-XXXX_6d8684161ee9c03bed5cb69ae76dfdddb85a0003_CVE-2019-1350_6d8684161ee9c03bed5cb69ae76dfdddb85a0003_mingw.c_1.1_quote_arg_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2019-1350_CWE-XXXX-XXXX_6d8684161ee9c03bed5cb69ae76dfdddb85a0003_CVE-2019-1350_6d8684161ee9c03bed5cb69ae76dfdddb85a0003_mingw.c_1.1_quote_arg_NEW.vul,"[True, True, True, 0.988527724665392, 0.8576388888888888]",True
./processed/git@@git-v2.13.0-rc2/decode_tree_entry@@@tree-walk.c,./cache/old_new_funcs/vul/sample/CVE-2019-1354_CWE-XXXX-XXXX_e1d911dd4c7b76a5a8cec0f5c8de15981e34da83_CVE-2019-1354_e1d911dd4c7b76a5a8cec0f5c8de15981e34da83_tree-walk.c_1.1_decode_tree_entry_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2019-1354_CWE-XXXX-XXXX_e1d911dd4c7b76a5a8cec0f5c8de15981e34da83_CVE-2019-1354_e1d911dd4c7b76a5a8cec0f5c8de15981e34da83_tree-walk.c_1.1_decode_tree_entry_NEW.vul,"[True, 'no del line', True, True, 0.9772727272727273, 0.8263665594855305]",True
./processed/git@@git-v2.13.0-rc2/prepare_to_clone_next_submodule@@@builtin@#@submodule--helper.c,./cache/old_new_funcs/vul/sample/CVE-2019-1349_CWE-XXXX-XXXX_0060fd1511b94c918928fa3708f69a3f33895a4a_CVE-2019-1349_0060fd1511b94c918928fa3708f69a3f33895a4a_submodule--helper.c_1.1_prepare_to_clone_next_submodule_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2019-1349_CWE-XXXX-XXXX_0060fd1511b94c918928fa3708f69a3f33895a4a_CVE-2019-1349_0060fd1511b94c918928fa3708f69a3f33895a4a_submodule--helper.c_1.1_prepare_to_clone_next_submodule_NEW.vul,"[True, 'no del line', True, True, 0.9766949152542372, 0.9495365602471678]",True
./processed/git@@git-v2.13.0-rc2/mingw_unlink@@@compat@#@mingw.c,./cache/old_new_funcs/vul/sample/CVE-2021-21300_CWE-XXXX-XXXX_684dd4c2b414bcf648505e74498a608f28de4592_CVE-2021-21300_684dd4c2b414bcf648505e74498a608f28de4592_mingw.c_1.1_mingw_rmdir_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2021-21300_CWE-XXXX-XXXX_684dd4c2b414bcf648505e74498a608f28de4592_CVE-2021-21300_684dd4c2b414bcf648505e74498a608f28de4592_mingw.c_1.1_mingw_rmdir_NEW.vul,"[True, 'no del line', True, False, 0.587360594795539, 0.5563380281690141]",False
./processed/git@@git-v2.13.0-rc2/is_ntfs_dotgit@@@path.c,./cache/old_new_funcs/vul/sample/CVE-2019-1352_CWE-XXXX-XXXX_7c3745fc6185495d5765628b4dfe1bd2c25a2981_CVE-2019-1352_7c3745fc6185495d5765628b4dfe1bd2c25a2981_path.c_1.1_is_ntfs_dotgit_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2019-1352_CWE-XXXX-XXXX_7c3745fc6185495d5765628b4dfe1bd2c25a2981_CVE-2019-1352_7c3745fc6185495d5765628b4dfe1bd2c25a2981_path.c_1.1_is_ntfs_dotgit_NEW.vul,"[True, True, False, 0.7525773195876289, 0.7611940298507462]",False
./processed/git@@git-v2.13.0-rc2/mingw_rmdir@@@compat@#@mingw.c,./cache/old_new_funcs/vul/sample/CVE-2021-21300_CWE-XXXX-XXXX_684dd4c2b414bcf648505e74498a608f28de4592_CVE-2021-21300_684dd4c2b414bcf648505e74498a608f28de4592_mingw.c_1.1_mingw_rmdir_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2021-21300_CWE-XXXX-XXXX_684dd4c2b414bcf648505e74498a608f28de4592_CVE-2021-21300_684dd4c2b414bcf648505e74498a608f28de4592_mingw.c_1.1_mingw_rmdir_NEW.vul,"[True, 'no del line', True, True, 1.0, 0.9173228346456693]",True
./processed/git@@git-v2.13.0-rc2/mingw_rmdir@@@compat@#@mingw.c,./cache/old_new_funcs/vul/sample/CVE-2021-21300_CWE-XXXX-XXXX_684dd4c2b414bcf648505e74498a608f28de4592_CVE-2021-21300_684dd4c2b414bcf648505e74498a608f28de4592_mingw.c_1.1_mingw_rmdir_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2021-21300_CWE-XXXX-XXXX_684dd4c2b414bcf648505e74498a608f28de4592_CVE-2021-21300_684dd4c2b414bcf648505e74498a608f28de4592_mingw.c_1.1_mingw_rmdir_NEW.vul,['no vuln_file emb'],True
./processed/git@@git-v2.13.0-rc2/checkout@@@builtin@#@clone.c,./cache/old_new_funcs/vul/sample/CVE-2019-1349_CWE-XXXX-XXXX_0060fd1511b94c918928fa3708f69a3f33895a4a_CVE-2019-1349_0060fd1511b94c918928fa3708f69a3f33895a4a_clone.c_1.1_checkout_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2019-1349_CWE-XXXX-XXXX_0060fd1511b94c918928fa3708f69a3f33895a4a_CVE-2019-1349_0060fd1511b94c918928fa3708f69a3f33895a4a_clone.c_1.1_checkout_NEW.vul,"[True, True, True, 0.9294964028776979, 0.9157142857142857]",True
