target_file,vuln_file,patch_file,datail,predict
./processed/github@@cmark-gfm-0.29.0.gfm.7/cmark_syntax_extension_add_node@@@src@#@syntax_extension.c,./cache/old_new_funcs/vul/sample/CVE-2023-24824_CWE-XXXX-XXXX_2300c1bd2c8226108885bf019655c4159cf26b59_CVE-2023-24824_2300c1bd2c8226108885bf019655c4159cf26b59_syntax_extension.c_1.1_cmark_syntax_extension_add_node_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2023-24824_CWE-XXXX-XXXX_2300c1bd2c8226108885bf019655c4159cf26b59_CVE-2023-24824_2300c1bd2c8226108885bf019655c4159cf26b59_syntax_extension.c_1.1_cmark_syntax_extension_add_node_NEW.vul,"[True, True, True, 1.0, 0.8490566037735849]",True
./processed/github@@cmark-gfm-0.29.0.gfm.7/subject_from_buf@@@src@#@inlines.c,./cache/old_new_funcs/vul/sample/CVE-2023-22486_CWE-XXXX-XXXX_76068010843d6148e49e7156f57c447e15aede33_CVE-2023-22486_76068010843d6148e49e7156f57c447e15aede33_inlines.c_1.1_subject_from_buf_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2023-22486_CWE-XXXX-XXXX_76068010843d6148e49e7156f57c447e15aede33_CVE-2023-22486_76068010843d6148e49e7156f57c447e15aede33_inlines.c_1.1_subject_from_buf_NEW.vul,"[True, 'no del line', False]",False
./processed/github@@cmark-gfm-0.29.0.gfm.7/xml_attr@@@extensions@#@table.c,./cache/old_new_funcs/vul/sample/CVE-2023-37463_CWE-XXXX-XXXX_38d1cfeba3ce457da53e77f9712dfbce95d8558c_CVE-2023-37463_38d1cfeba3ce457da53e77f9712dfbce95d8558c_table.c_1.1_xml_attr_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2023-37463_CWE-XXXX-XXXX_38d1cfeba3ce457da53e77f9712dfbce95d8558c_CVE-2023-37463_38d1cfeba3ce457da53e77f9712dfbce95d8558c_table.c_1.1_xml_attr_NEW.vul,"[True, True, True, 0.970873786407767, 0.5370370370370371]",True
./processed/github@@cmark-gfm-0.29.0.gfm.7/add_child@@@src@#@blocks.c,./cache/old_new_funcs/vul/sample/CVE-2023-24824_CWE-XXXX-XXXX_2300c1bd2c8226108885bf019655c4159cf26b59_CVE-2023-24824_2300c1bd2c8226108885bf019655c4159cf26b59_blocks.c_1.1_add_child_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2023-24824_CWE-XXXX-XXXX_2300c1bd2c8226108885bf019655c4159cf26b59_CVE-2023-24824_2300c1bd2c8226108885bf019655c4159cf26b59_blocks.c_1.1_add_child_NEW.vul,"[True, 'no del line', True, True, 0.9672131147540983, 0.8325358851674641]",True
./processed/github@@cmark-gfm-0.29.0.gfm.7/check_open_blocks@@@src@#@blocks.c,./cache/old_new_funcs/vul/sample/CVE-2023-24824_CWE-XXXX-XXXX_2300c1bd2c8226108885bf019655c4159cf26b59_CVE-2023-24824_2300c1bd2c8226108885bf019655c4159cf26b59_blocks.c_1.1_check_open_blocks_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2023-24824_CWE-XXXX-XXXX_2300c1bd2c8226108885bf019655c4159cf26b59_CVE-2023-24824_2300c1bd2c8226108885bf019655c4159cf26b59_blocks.c_1.1_check_open_blocks_NEW.vul,"[True, 'no del line', True, True, 0.9843342036553525, 0.551622418879056]",True
./processed/github@@cmark-gfm-0.29.0.gfm.7/cmark_parser_reset@@@src@#@blocks.c,./cache/old_new_funcs/vul/sample/CVE-2023-24824_CWE-XXXX-XXXX_2300c1bd2c8226108885bf019655c4159cf26b59_CVE-2023-24824_2300c1bd2c8226108885bf019655c4159cf26b59_blocks.c_1.1_cmark_parser_reset_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2023-24824_CWE-XXXX-XXXX_2300c1bd2c8226108885bf019655c4159cf26b59_CVE-2023-24824_2300c1bd2c8226108885bf019655c4159cf26b59_blocks.c_1.1_cmark_parser_reset_NEW.vul,"[True, 'no del line', True, True, 0.9726027397260274, 0.9217391304347826]",True
./processed/github@@cmark-gfm-0.29.0.gfm.7/add_child@@@src@#@blocks.c,./cache/old_new_funcs/vul/sample/CVE-2023-24824_CWE-XXXX-XXXX_2300c1bd2c8226108885bf019655c4159cf26b59_CVE-2023-24824_2300c1bd2c8226108885bf019655c4159cf26b59_blocks.c_1.1_add_child_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2023-24824_CWE-XXXX-XXXX_2300c1bd2c8226108885bf019655c4159cf26b59_CVE-2023-24824_2300c1bd2c8226108885bf019655c4159cf26b59_blocks.c_1.1_add_child_NEW.vul,['no vuln_file emb'],True
./processed/github@@cmark-gfm-0.29.0.gfm.7/S_ends_with_blank_line@@@src@#@blocks.c,./cache/old_new_funcs/vul/sample/CVE-2023-24824_CWE-XXXX-XXXX_2300c1bd2c8226108885bf019655c4159cf26b59_CVE-2023-24824_2300c1bd2c8226108885bf019655c4159cf26b59_blocks.c_1.1_S_ends_with_blank_line_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2023-24824_CWE-XXXX-XXXX_2300c1bd2c8226108885bf019655c4159cf26b59_CVE-2023-24824_2300c1bd2c8226108885bf019655c4159cf26b59_blocks.c_1.1_S_ends_with_blank_line_NEW.vul,"[True, True, True, 0.9548872180451128, 0.75]",True
./processed/github@@cmark-gfm-0.29.0.gfm.7/S_ends_with_blank_line@@@src@#@blocks.c,./cache/old_new_funcs/vul/sample/CVE-2023-24824_CWE-XXXX-XXXX_2300c1bd2c8226108885bf019655c4159cf26b59_CVE-2023-24824_2300c1bd2c8226108885bf019655c4159cf26b59_blocks.c_1.1_S_ends_with_blank_line_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2023-24824_CWE-XXXX-XXXX_2300c1bd2c8226108885bf019655c4159cf26b59_CVE-2023-24824_2300c1bd2c8226108885bf019655c4159cf26b59_blocks.c_1.1_S_ends_with_blank_line_NEW.vul,['no vuln_file emb'],True
./processed/github@@cmark-gfm-0.29.0.gfm.7/S_can_contain@@@src@#@node.c,./cache/old_new_funcs/vul/sample/CVE-2023-24824_CWE-XXXX-XXXX_2300c1bd2c8226108885bf019655c4159cf26b59_CVE-2023-24824_2300c1bd2c8226108885bf019655c4159cf26b59_node.c_1.1_S_can_contain_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2023-24824_CWE-XXXX-XXXX_2300c1bd2c8226108885bf019655c4159cf26b59_CVE-2023-24824_2300c1bd2c8226108885bf019655c4159cf26b59_node.c_1.1_S_can_contain_NEW.vul,"[True, True, True, 0.9591836734693877, 0.8490566037735849]",True
./processed/github@@cmark-gfm-0.29.0.gfm.7/finalize@@@src@#@blocks.c,./cache/old_new_funcs/vul/sample/CVE-2023-24824_CWE-XXXX-XXXX_2300c1bd2c8226108885bf019655c4159cf26b59_CVE-2023-24824_2300c1bd2c8226108885bf019655c4159cf26b59_blocks.c_1.1_finalize_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2023-24824_CWE-XXXX-XXXX_2300c1bd2c8226108885bf019655c4159cf26b59_CVE-2023-24824_2300c1bd2c8226108885bf019655c4159cf26b59_blocks.c_1.1_finalize_NEW.vul,"[True, 'no del line', True, True, 0.9933847850055126, 0.9226006191950464]",True
./processed/github@@cmark-gfm-0.29.0.gfm.7/finalize@@@src@#@blocks.c,./cache/old_new_funcs/vul/sample/CVE-2023-28626_CWE-XXXX-XXXX_6c9b4d75cb9e98a7f225e9873045326dffd8b6c6_CVE-2023-28626_6c9b4d75cb9e98a7f225e9873045326dffd8b6c6_blocks.c_1.1_finalize_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2023-28626_CWE-XXXX-XXXX_6c9b4d75cb9e98a7f225e9873045326dffd8b6c6_CVE-2023-28626_6c9b4d75cb9e98a7f225e9873045326dffd8b6c6_blocks.c_1.1_finalize_NEW.vul,[False],False
./processed/github@@cmark-gfm-0.29.0.gfm.7/main@@@api_test@#@main.c,./cache/old_new_funcs/vul/sample/CVE-2023-24824_CWE-XXXX-XXXX_2300c1bd2c8226108885bf019655c4159cf26b59_CVE-2023-24824_2300c1bd2c8226108885bf019655c4159cf26b59_main.c_1.1_main_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2023-24824_CWE-XXXX-XXXX_2300c1bd2c8226108885bf019655c4159cf26b59_CVE-2023-24824_2300c1bd2c8226108885bf019655c4159cf26b59_main.c_1.1_main_NEW.vul,"[True, 'no del line', True, True, 0.9539007092198581, 0.9477351916376306]",True
