target_file,vuln_file,patch_file,datail,predict
./processed/google@@asylo-newest/enc_untrusted_inet_pton@@@asylo@#@platform@#@host_call@#@trusted@#@host_calls.cc,./cache/old_new_funcs/vul/sample/CVE-2020-8941_CWE-XXXX-XXXX_8fed5e334131abaf9c5e17307642fbf6ce4a57ec_CVE-2020-8941_8fed5e334131abaf9c5e17307642fbf6ce4a57ec_host_calls.cc_1.1_enc_untrusted_inet_pton_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2020-8941_CWE-XXXX-XXXX_8fed5e334131abaf9c5e17307642fbf6ce4a57ec_CVE-2020-8941_8fed5e334131abaf9c5e17307642fbf6ce4a57ec_host_calls.cc_1.1_enc_untrusted_inet_pton_NEW.vul,"[True, 'no del line', False]",False
./processed/google@@asylo-newest/enc_untrusted_recvfrom@@@asylo@#@platform@#@host_call@#@trusted@#@host_calls.cc,./cache/old_new_funcs/vul/sample/CVE-2020-8905_CWE-XXXX-XXXX_299f804acbb95a612ab7c504d25ab908aa59ae93_CVE-2020-8905_299f804acbb95a612ab7c504d25ab908aa59ae93_host_calls.cc_1.1_enc_untrusted_recvfrom_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2020-8905_CWE-XXXX-XXXX_299f804acbb95a612ab7c504d25ab908aa59ae93_CVE-2020-8905_299f804acbb95a612ab7c504d25ab908aa59ae93_host_calls.cc_1.1_enc_untrusted_recvfrom_NEW.vul,[False],False
./processed/google@@asylo-newest/enc_untrusted_recvfrom@@@asylo@#@platform@#@host_call@#@trusted@#@host_calls.cc,./cache/old_new_funcs/vul/sample/CVE-2020-8943_CWE-XXXX-XXXX_6e158d558abd3c29a0208e30c97c9a8c5bd4230f_CVE-2020-8943_6e158d558abd3c29a0208e30c97c9a8c5bd4230f_host_calls.cc_1.1_enc_untrusted_recvfrom_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2020-8943_CWE-XXXX-XXXX_6e158d558abd3c29a0208e30c97c9a8c5bd4230f_CVE-2020-8943_6e158d558abd3c29a0208e30c97c9a8c5bd4230f_host_calls.cc_1.1_enc_untrusted_recvfrom_NEW.vul,"[True, 'no del line', False]",False
./processed/google@@asylo-newest/ecall_restore@@@asylo@#@platform@#@primitives@#@sgx@#@ecalls.cc,./cache/old_new_funcs/vul/sample/CVE-2020-8904_CWE-XXXX-XXXX_e582f36ac49ee11a21d23ad6a30c333092e0a94e_CVE-2020-8904_e582f36ac49ee11a21d23ad6a30c333092e0a94e_ecalls.cc_1.1_ecall_restore_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2020-8904_CWE-XXXX-XXXX_e582f36ac49ee11a21d23ad6a30c333092e0a94e_CVE-2020-8904_e582f36ac49ee11a21d23ad6a30c333092e0a94e_ecalls.cc_1.1_ecall_restore_NEW.vul,[False],False
./processed/google@@asylo-newest/GetBuffer@@@asylo@#@platform@#@primitives@#@sgx@#@untrusted_cache_malloc.cc,./cache/old_new_funcs/vul/sample/CVE-2021-22550_CWE-XXXX-XXXX_a47ef55db2337d29de19c50cd29b0deb2871d31c_CVE-2021-22550_a47ef55db2337d29de19c50cd29b0deb2871d31c_untrusted_cache_malloc.cc_1.1_UntrustedCacheMalloc :: GetBuffer_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2021-22550_CWE-XXXX-XXXX_a47ef55db2337d29de19c50cd29b0deb2871d31c_CVE-2021-22550_a47ef55db2337d29de19c50cd29b0deb2871d31c_untrusted_cache_malloc.cc_1.1_UntrustedCacheMalloc :: GetBuffer_NEW.vul,"[True, True, True, 0.9521739130434783, 0.6914498141263941]",True
./processed/google@@asylo-newest/enc_untrusted_inet_ntop@@@asylo@#@platform@#@host_call@#@trusted@#@host_calls.cc,./cache/old_new_funcs/vul/sample/CVE-2020-8941_CWE-XXXX-XXXX_8fed5e334131abaf9c5e17307642fbf6ce4a57ec_CVE-2020-8941_8fed5e334131abaf9c5e17307642fbf6ce4a57ec_host_calls.cc_1.1_enc_untrusted_inet_pton_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2020-8941_CWE-XXXX-XXXX_8fed5e334131abaf9c5e17307642fbf6ce4a57ec_CVE-2020-8941_8fed5e334131abaf9c5e17307642fbf6ce4a57ec_host_calls.cc_1.1_enc_untrusted_inet_pton_NEW.vul,"[True, 'no del line', True, False, 0.5240963855421686, 0.4748700173310225]",False
./processed/google@@asylo-newest/enc_untrusted_inet_ntop@@@asylo@#@platform@#@host_call@#@trusted@#@host_calls.cc,./cache/old_new_funcs/vul/sample/CVE-2020-8939_CWE-XXXX-XXXX_6ff3b77ffe110a33a2f93848a6333f33616f02c4_CVE-2020-8939_6ff3b77ffe110a33a2f93848a6333f33616f02c4_host_calls.cc_1.1_enc_untrusted_inet_ntop_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2020-8939_CWE-XXXX-XXXX_6ff3b77ffe110a33a2f93848a6333f33616f02c4_CVE-2020-8939_6ff3b77ffe110a33a2f93848a6333f33616f02c4_host_calls.cc_1.1_enc_untrusted_inet_ntop_NEW.vul,[False],False
./processed/google@@asylo-newest/enc_untrusted_realloc@@@asylo@#@platform@#@host_call@#@trusted@#@host_calls.cc,./cache/old_new_funcs/vul/sample/CVE-2020-8935_CWE-XXXX-XXXX_ed0926bff0e423cd122a18b3d2fc772817f66825_CVE-2020-8935_ed0926bff0e423cd122a18b3d2fc772817f66825_host_calls.cc_1.1_enc_untrusted_realloc_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2020-8935_CWE-XXXX-XXXX_ed0926bff0e423cd122a18b3d2fc772817f66825_CVE-2020-8935_ed0926bff0e423cd122a18b3d2fc772817f66825_host_calls.cc_1.1_enc_untrusted_realloc_NEW.vul,"[True, 'no del line', False]",False
./processed/google@@asylo-newest/UntrustedCall@@@asylo@#@platform@#@primitives@#@sgx@#@trusted_sgx.cc,./cache/old_new_funcs/vul/sample/CVE-2020-8936_CWE-XXXX-XXXX_83036fd841d33baa7e039f842d131aa7881fdcc2_CVE-2020-8936_83036fd841d33baa7e039f842d131aa7881fdcc2_trusted_sgx.cc_1.1_TrustedPrimitives :: UntrustedCall_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2020-8936_CWE-XXXX-XXXX_83036fd841d33baa7e039f842d131aa7881fdcc2_CVE-2020-8936_83036fd841d33baa7e039f842d131aa7881fdcc2_trusted_sgx.cc_1.1_TrustedPrimitives :: UntrustedCall_NEW.vul,"[True, 'no del line', False]",False
./processed/google@@asylo-newest/UntrustedCall@@@asylo@#@platform@#@primitives@#@sgx@#@trusted_sgx.cc,./cache/old_new_funcs/vul/sample/CVE-2021-22549_CWE-XXXX-XXXX_ecfcd0008b6f8f63c6fa3cc1b62fcd4a52f2c0ad_CVE-2021-22549_ecfcd0008b6f8f63c6fa3cc1b62fcd4a52f2c0ad_trusted_sgx.cc_1.1_TrustedPrimitives :: UntrustedCall_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2021-22549_CWE-XXXX-XXXX_ecfcd0008b6f8f63c6fa3cc1b62fcd4a52f2c0ad_CVE-2021-22549_ecfcd0008b6f8f63c6fa3cc1b62fcd4a52f2c0ad_trusted_sgx.cc_1.1_TrustedPrimitives :: UntrustedCall_NEW.vul,[False],False
