target_file,vuln_file,patch_file,datail,predict
./processed/hanwckf@@rt-n56u-v2020-11-27/rxrpc_krb5_decode_tagged_data@@@trunk@#@linux-3.4.x@#@net@#@rxrpc@#@ar-key.c,./cache/old_new_funcs/vul/sample/CVE-2017-7482_CWE-XXXX-XXXX_5f2f97656ada8d811d3c1bef503ced266fcd53a0_CVE-2017-7482_5f2f97656ada8d811d3c1bef503ced266fcd53a0_key.c_1.1_rxrpc_krb5_decode_ticket_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2017-7482_CWE-XXXX-XXXX_5f2f97656ada8d811d3c1bef503ced266fcd53a0_CVE-2017-7482_5f2f97656ada8d811d3c1bef503ced266fcd53a0_key.c_1.1_rxrpc_krb5_decode_ticket_NEW.vul,"[True, True, False, 0.5855614973262032, 0.5365239294710328]",False
./processed/hanwckf@@rt-n56u-v2020-11-27/rxrpc_krb5_decode_tagged_data@@@trunk@#@linux-3.4.x@#@net@#@rxrpc@#@ar-key.c,./cache/old_new_funcs/vul/sample/CVE-2017-7482_CWE-XXXX-XXXX_5f2f97656ada8d811d3c1bef503ced266fcd53a0_CVE-2017-7482_5f2f97656ada8d811d3c1bef503ced266fcd53a0_key.c_1.1_rxrpc_krb5_decode_tagged_data_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2017-7482_CWE-XXXX-XXXX_5f2f97656ada8d811d3c1bef503ced266fcd53a0_CVE-2017-7482_5f2f97656ada8d811d3c1bef503ced266fcd53a0_key.c_1.1_rxrpc_krb5_decode_tagged_data_NEW.vul,"[True, True, True, 0.98125, 0.8547008547008547]",True
./processed/hanwckf@@rt-n56u-v2020-11-27/chap_server_compute_md5@@@trunk@#@linux-3.4.x@#@drivers@#@target@#@iscsi@#@iscsi_target_auth.c,./cache/old_new_funcs/vul/sample/CVE-2018-14633_CWE-XXXX-XXXX_1816494330a83f2a064499d8ed2797045641f92c_CVE-2018-14633_1816494330a83f2a064499d8ed2797045641f92c_iscsi_target_auth.c_1.1_chap_server_compute_md5_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2018-14633_CWE-XXXX-XXXX_1816494330a83f2a064499d8ed2797045641f92c_CVE-2018-14633_1816494330a83f2a064499d8ed2797045641f92c_iscsi_target_auth.c_1.1_chap_server_compute_md5_NEW.vul,"[True, False]",False
./processed/hanwckf@@rt-n56u-v2020-11-27/preinit_state@@@trunk@#@user@#@xupnpd@#@src@#@lua-5.1.4@#@lstate.c,./cache/old_new_funcs/vul/sample/CVE-2020-15945_CWE-XXXX-XXXX_a2195644d89812e5b157ce7bac35543e06db05e3_CVE-2020-15945_a2195644d89812e5b157ce7bac35543e06db05e3_lstate.c_1.1_preinit_thread_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2020-15945_CWE-XXXX-XXXX_a2195644d89812e5b157ce7bac35543e06db05e3_CVE-2020-15945_a2195644d89812e5b157ce7bac35543e06db05e3_lstate.c_1.1_preinit_thread_NEW.vul,"[True, 'no del line', True, False, 0.6728110599078341, 0.6832579185520362]",False
./processed/hanwckf@@rt-n56u-v2020-11-27/econet_sendmsg@@@trunk@#@linux-3.4.x@#@net@#@econet@#@af_econet.c,./cache/old_new_funcs/vul/sample/CVE-2010-3848_CWE-XXXX-XXXX_a27e13d370415add3487949c60810e36069a23a6_CVE-2010-3848_a27e13d370415add3487949c60810e36069a23a6_af_econet.c_1.1_econet_sendmsg_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2010-3848_CWE-XXXX-XXXX_a27e13d370415add3487949c60810e36069a23a6_CVE-2010-3848_a27e13d370415add3487949c60810e36069a23a6_af_econet.c_1.1_econet_sendmsg_NEW.vul,[False],False
./processed/hanwckf@@rt-n56u-v2020-11-27/econet_sendmsg@@@trunk@#@linux-3.4.x@#@net@#@econet@#@af_econet.c,./cache/old_new_funcs/vul/sample/CVE-2010-3849_CWE-XXXX-XXXX_fa0e846494792e722d817b9d3d625a4ef4896c96_CVE-2010-3849_fa0e846494792e722d817b9d3d625a4ef4896c96_af_econet.c_1.1_econet_sendmsg_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2010-3849_CWE-XXXX-XXXX_fa0e846494792e722d817b9d3d625a4ef4896c96_CVE-2010-3849_fa0e846494792e722d817b9d3d625a4ef4896c96_af_econet.c_1.1_econet_sendmsg_NEW.vul,[False],False
./processed/hanwckf@@rt-n56u-v2020-11-27/rds_sendmsg@@@trunk@#@linux-3.4.x@#@net@#@rds@#@send.c,./cache/old_new_funcs/vul/sample/CVE-2015-6937_CWE-XXXX-XXXX_8c7188b23474cca017b3ef354c4a58456f68303a_CVE-2015-6937_8c7188b23474cca017b3ef354c4a58456f68303a_send.c_1.1_rds_sendmsg_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2015-6937_CWE-XXXX-XXXX_8c7188b23474cca017b3ef354c4a58456f68303a_CVE-2015-6937_8c7188b23474cca017b3ef354c4a58456f68303a_send.c_1.1_rds_sendmsg_NEW.vul,"[True, 'no del line', False]",False
./processed/hanwckf@@rt-n56u-v2020-11-27/unuse_pud_range@@@trunk@#@linux-3.4.x@#@mm@#@swapfile.c,./cache/old_new_funcs/vul/sample/CVE-2012-1179_CWE-XXXX-XXXX_1a5a9906d4e8d1976b701f889d8f35d54b928f25_CVE-2012-1179_1a5a9906d4e8d1976b701f889d8f35d54b928f25_swapfile.c_1.1_unuse_pmd_range_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2012-1179_CWE-XXXX-XXXX_1a5a9906d4e8d1976b701f889d8f35d54b928f25_CVE-2012-1179_1a5a9906d4e8d1976b701f889d8f35d54b928f25_swapfile.c_1.1_unuse_pmd_range_NEW.vul,[False],False
./processed/hanwckf@@rt-n56u-v2020-11-27/zpff_init@@@trunk@#@linux-3.4.x@#@drivers@#@hid@#@hid-zpff.c,./cache/old_new_funcs/vul/sample/CVE-2013-2889_CWE-XXXX-XXXX_78214e81a1bf43740ce89bb5efda78eac2f8ef83_CVE-2013-2889_78214e81a1bf43740ce89bb5efda78eac2f8ef83_hid-zpff.c_1.1_zpff_init_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2013-2889_CWE-XXXX-XXXX_78214e81a1bf43740ce89bb5efda78eac2f8ef83_CVE-2013-2889_78214e81a1bf43740ce89bb5efda78eac2f8ef83_hid-zpff.c_1.1_zpff_init_NEW.vul,[False],False
./processed/hanwckf@@rt-n56u-v2020-11-27/rxrpc_krb5_decode_tagged_data@@@trunk@#@linux-3.4.x@#@net@#@rxrpc@#@ar-key.c,./cache/old_new_funcs/vul/sample/CVE-2017-7482_CWE-XXXX-XXXX_5f2f97656ada8d811d3c1bef503ced266fcd53a0_CVE-2017-7482_5f2f97656ada8d811d3c1bef503ced266fcd53a0_key.c_1.1_rxrpc_krb5_decode_tagged_data_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2017-7482_CWE-XXXX-XXXX_5f2f97656ada8d811d3c1bef503ced266fcd53a0_CVE-2017-7482_5f2f97656ada8d811d3c1bef503ced266fcd53a0_key.c_1.1_rxrpc_krb5_decode_tagged_data_NEW.vul,"[True, 1.0000000023885403, 0.9984168696558363]",True
