target_file,vuln_file,patch_file,datail,predict
./processed/heimdal@@heimdal-heimdal-7.7.1/mp_2expt@@@lib@#@hcrypto@#@libtommath@#@bn_mp_2expt.c,./cache/old_new_funcs/vul/sample/CVE-2023-36328_CWE-XXXX-XXXX_7bbc1f8e4fe6dce75055957645117180768efb15_CVE-2023-36328_7bbc1f8e4fe6dce75055957645117180768efb15_bn_mp_2expt.c_1.1_mp_2expt_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2023-36328_CWE-XXXX-XXXX_7bbc1f8e4fe6dce75055957645117180768efb15_CVE-2023-36328_7bbc1f8e4fe6dce75055957645117180768efb15_bn_mp_2expt.c_1.1_mp_2expt_NEW.vul,"[True, 'no del line', True, False, 0.4502923976608187, 0.4117647058823529]",False
./processed/heimdal@@heimdal-heimdal-7.7.1/_kdc_pk_rd_padata@@@kdc@#@pkinit.c,./cache/old_new_funcs/vul/sample/CVE-2023-5568_CWE-XXXX-XXXX_f0da8219262ba7c3e066d4f519063edf26f36b88_CVE-2023-5568_f0da8219262ba7c3e066d4f519063edf26f36b88_pkinit.c_1.1__kdc_pk_rd_padata_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2023-5568_CWE-XXXX-XXXX_f0da8219262ba7c3e066d4f519063edf26f36b88_CVE-2023-5568_f0da8219262ba7c3e066d4f519063edf26f36b88_pkinit.c_1.1__kdc_pk_rd_padata_NEW.vul,[False],False
./processed/heimdal@@heimdal-heimdal-7.7.1/find_composition@@@lib@#@wind@#@normalize.c,./cache/old_new_funcs/vul/sample/CVE-2022-41916_CWE-XXXX-XXXX_eb87af0c2d189c25294c7daf483a47b03af80c2c_CVE-2022-41916_eb87af0c2d189c25294c7daf483a47b03af80c2c_normalize.c_1.1_find_composition_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2022-41916_CWE-XXXX-XXXX_eb87af0c2d189c25294c7daf483a47b03af80c2c_CVE-2022-41916_eb87af0c2d189c25294c7daf483a47b03af80c2c_normalize.c_1.1_find_composition_NEW.vul,"[True, True, False, 0.9372549019607843, 0.976]",False
./processed/heimdal@@heimdal-heimdal-7.7.1/_krb5_extract_ticket@@@lib@#@krb5@#@ticket.c,./cache/old_new_funcs/vul/sample/CVE-2017-11103_CWE-XXXX-XXXX_49426905b3bac5a046480f3810891954581c7eca_CVE-2017-11103_49426905b3bac5a046480f3810891954581c7eca_ticket.c_1.1__krb5_extract_ticket_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2017-11103_CWE-XXXX-XXXX_49426905b3bac5a046480f3810891954581c7eca_CVE-2017-11103_49426905b3bac5a046480f3810891954581c7eca_ticket.c_1.1__krb5_extract_ticket_NEW.vul,[False],False
./processed/heimdal@@heimdal-heimdal-7.7.1/fast_s_mp_mul_digs@@@lib@#@hcrypto@#@libtommath@#@bn_fast_s_mp_mul_digs.c,./cache/old_new_funcs/vul/sample/CVE-2023-36328_CWE-XXXX-XXXX_7bbc1f8e4fe6dce75055957645117180768efb15_CVE-2023-36328_7bbc1f8e4fe6dce75055957645117180768efb15_bn_s_mp_mul_digs_fast.c_1.1_s_mp_mul_digs_fast_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2023-36328_CWE-XXXX-XXXX_7bbc1f8e4fe6dce75055957645117180768efb15_CVE-2023-36328_7bbc1f8e4fe6dce75055957645117180768efb15_bn_s_mp_mul_digs_fast.c_1.1_s_mp_mul_digs_fast_NEW.vul,"[True, 'no del line', True, False, 0.6666666666666666, 0.6685499058380414]",False
./processed/heimdal@@heimdal-heimdal-7.7.1/fast_s_mp_mul_digs@@@lib@#@hcrypto@#@libtommath@#@bn_fast_s_mp_mul_digs.c,./cache/old_new_funcs/vul/sample/CVE-2023-36328_CWE-XXXX-XXXX_7bbc1f8e4fe6dce75055957645117180768efb15_CVE-2023-36328_7bbc1f8e4fe6dce75055957645117180768efb15_bn_s_mp_mul_high_digs_fast.c_1.1_s_mp_mul_high_digs_fast_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2023-36328_CWE-XXXX-XXXX_7bbc1f8e4fe6dce75055957645117180768efb15_CVE-2023-36328_7bbc1f8e4fe6dce75055957645117180768efb15_bn_s_mp_mul_high_digs_fast.c_1.1_s_mp_mul_high_digs_fast_NEW.vul,"[True, 'no del line', True, False, 0.6128440366972477, 0.6155234657039711]",False
./processed/heimdal@@heimdal-heimdal-7.7.1/globexp1@@@lib@#@roken@#@glob.c,./cache/old_new_funcs/vul/sample/CVE-2010-2632_CWE-XXXX-XXXX_daab0b01edd8f0175b355f02e5f1481b2f7898f9_CVE-2010-2632_daab0b01edd8f0175b355f02e5f1481b2f7898f9_glob.c_1.1_globexp1_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2010-2632_CWE-XXXX-XXXX_daab0b01edd8f0175b355f02e5f1481b2f7898f9_CVE-2010-2632_daab0b01edd8f0175b355f02e5f1481b2f7898f9_glob.c_1.1_globexp1_NEW.vul,[False],False
./processed/heimdal@@heimdal-heimdal-7.7.1/mp_mul_2d@@@lib@#@hcrypto@#@libtommath@#@bn_mp_mul_2d.c,./cache/old_new_funcs/vul/sample/CVE-2023-36328_CWE-XXXX-XXXX_7bbc1f8e4fe6dce75055957645117180768efb15_CVE-2023-36328_7bbc1f8e4fe6dce75055957645117180768efb15_bn_mp_mul_2d.c_1.1_mp_mul_2d_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2023-36328_CWE-XXXX-XXXX_7bbc1f8e4fe6dce75055957645117180768efb15_CVE-2023-36328_7bbc1f8e4fe6dce75055957645117180768efb15_bn_mp_mul_2d.c_1.1_mp_mul_2d_NEW.vul,"[True, 'no del line', True, False, 0.5958254269449715, 0.5811808118081181]",False
./processed/heimdal@@heimdal-heimdal-7.7.1/fast_s_mp_mul_high_digs@@@lib@#@hcrypto@#@libtommath@#@bn_fast_s_mp_mul_high_digs.c,./cache/old_new_funcs/vul/sample/CVE-2023-36328_CWE-XXXX-XXXX_7bbc1f8e4fe6dce75055957645117180768efb15_CVE-2023-36328_7bbc1f8e4fe6dce75055957645117180768efb15_bn_s_mp_mul_digs_fast.c_1.1_s_mp_mul_digs_fast_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2023-36328_CWE-XXXX-XXXX_7bbc1f8e4fe6dce75055957645117180768efb15_CVE-2023-36328_7bbc1f8e4fe6dce75055957645117180768efb15_bn_s_mp_mul_digs_fast.c_1.1_s_mp_mul_digs_fast_NEW.vul,"[True, 'no del line', True, True, 0.6305970149253731, 0.63003663003663]",True
./processed/heimdal@@heimdal-heimdal-7.7.1/fast_s_mp_mul_high_digs@@@lib@#@hcrypto@#@libtommath@#@bn_fast_s_mp_mul_high_digs.c,./cache/old_new_funcs/vul/sample/CVE-2023-36328_CWE-XXXX-XXXX_7bbc1f8e4fe6dce75055957645117180768efb15_CVE-2023-36328_7bbc1f8e4fe6dce75055957645117180768efb15_bn_s_mp_mul_high_digs_fast.c_1.1_s_mp_mul_high_digs_fast_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2023-36328_CWE-XXXX-XXXX_7bbc1f8e4fe6dce75055957645117180768efb15_CVE-2023-36328_7bbc1f8e4fe6dce75055957645117180768efb15_bn_s_mp_mul_high_digs_fast.c_1.1_s_mp_mul_high_digs_fast_NEW.vul,"[True, 'no del line', True, False, 0.7013487475915221, 0.7026515151515151]",False
