target_file,vuln_file,patch_file,datail,predict
./processed/libretro@@RetroArch-v1.15.0/DecorationString@@@deps@#@glslang@#@glslang@#@SPIRV@#@doc.cpp,./cache/old_new_funcs/vul/sample/CVE-2023-27103_CWE-XXXX-XXXX_d6bf73e765b7a23627bfd7a8645c143fd9097995_CVE-2023-27103_d6bf73e765b7a23627bfd7a8645c143fd9097995_de265.cc_1.1_de265_get_error_text_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2023-27103_CWE-XXXX-XXXX_d6bf73e765b7a23627bfd7a8645c143fd9097995_CVE-2023-27103_d6bf73e765b7a23627bfd7a8645c143fd9097995_de265.cc_1.1_de265_get_error_text_NEW.vul,"[True, 'no del line', True, False, 0.3615127919911012, 0.3661504424778761]",False
./processed/libretro@@RetroArch-v1.15.0/mbedtls_x509_set_extension@@@deps@#@mbedtls@#@x509_create.c,./cache/old_new_funcs/vul/sample/CVE-2024-23775_CWE-XXXX-XXXX_e90cbc3d1260901efc879178a15f2d90a5e17612_CVE-2024-23775_e90cbc3d1260901efc879178a15f2d90a5e17612_x509_create.c_1.1_mbedtls_x509_set_extension_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2024-23775_CWE-XXXX-XXXX_e90cbc3d1260901efc879178a15f2d90a5e17612_CVE-2024-23775_e90cbc3d1260901efc879178a15f2d90a5e17612_x509_create.c_1.1_mbedtls_x509_set_extension_NEW.vul,"[True, 'no del line', True, True, 0.7484276729559748, 0.6949152542372882]",True
./processed/libretro@@RetroArch-v1.15.0/getLayoutFormatString@@@deps@#@glslang@#@glslang@#@glslang@#@Include@#@Types.h,./cache/old_new_funcs/vul/sample/CVE-2020-11080_CWE-XXXX-XXXX_336a98feb0d56b9ac54e12736b18785c27f75090_CVE-2020-11080_336a98feb0d56b9ac54e12736b18785c27f75090_nghttp2_helper.c_1.1_nghttp2_strerror_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2020-11080_CWE-XXXX-XXXX_336a98feb0d56b9ac54e12736b18785c27f75090_CVE-2020-11080_336a98feb0d56b9ac54e12736b18785c27f75090_nghttp2_helper.c_1.1_nghttp2_strerror_NEW.vul,"[True, 'no del line', True, False, 0.36142857142857143, 0.3558368495077356]",False
./processed/libretro@@RetroArch-v1.15.0/getLayoutFormatString@@@deps@#@glslang@#@glslang@#@glslang@#@Include@#@Types.h,./cache/old_new_funcs/vul/sample/CVE-2024-28182_CWE-XXXX-XXXX_00201ecd8f982da3b67d4f6868af72a1b03b14e0_CVE-2024-28182_00201ecd8f982da3b67d4f6868af72a1b03b14e0_nghttp2_helper.c_1.1_nghttp2_strerror_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2024-28182_CWE-XXXX-XXXX_00201ecd8f982da3b67d4f6868af72a1b03b14e0_CVE-2024-28182_00201ecd8f982da3b67d4f6868af72a1b03b14e0_nghttp2_helper.c_1.1_nghttp2_strerror_NEW.vul,"[True, 'no del line', True, False, 0.3558368495077356, 0.35041551246537395]",False
./processed/libretro@@RetroArch-v1.15.0/mbedtls_x509_set_extension@@@deps@#@mbedtls@#@x509_create.c,./cache/old_new_funcs/vul/sample/CVE-2024-23775_CWE-XXXX-XXXX_e90cbc3d1260901efc879178a15f2d90a5e17612_CVE-2024-23775_e90cbc3d1260901efc879178a15f2d90a5e17612_x509_create.c_1.1_mbedtls_x509_set_extension_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2024-23775_CWE-XXXX-XXXX_e90cbc3d1260901efc879178a15f2d90a5e17612_CVE-2024-23775_e90cbc3d1260901efc879178a15f2d90a5e17612_x509_create.c_1.1_mbedtls_x509_set_extension_NEW.vul,['no vuln_file emb'],True
./processed/libretro@@RetroArch-v1.15.0/luaG_runerror@@@deps@#@lua@#@src@#@ldebug.c,./cache/old_new_funcs/vul/sample/CVE-2022-33099_CWE-XXXX-XXXX_42d40581dd919fb134c07027ca1ce0844c670daf_CVE-2022-33099_42d40581dd919fb134c07027ca1ce0844c670daf_ldebug.c_1.1_luaG_runerror_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2022-33099_CWE-XXXX-XXXX_42d40581dd919fb134c07027ca1ce0844c670daf_CVE-2022-33099_42d40581dd919fb134c07027ca1ce0844c670daf_ldebug.c_1.1_luaG_runerror_NEW.vul,"[True, True, True, 0.8791946308724832, 0.7119565217391305]",True
./processed/libretro@@RetroArch-v1.15.0/lua_sethook@@@deps@#@lua@#@src@#@ldebug.c,./cache/old_new_funcs/vul/sample/CVE-2020-15945_CWE-XXXX-XXXX_a2195644d89812e5b157ce7bac35543e06db05e3_CVE-2020-15945_a2195644d89812e5b157ce7bac35543e06db05e3_ldebug.c_1.1_lua_sethook_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2020-15945_CWE-XXXX-XXXX_a2195644d89812e5b157ce7bac35543e06db05e3_CVE-2020-15945_a2195644d89812e5b157ce7bac35543e06db05e3_ldebug.c_1.1_lua_sethook_NEW.vul,"[True, True, 'no add line', True, 0.8535031847133758, 0.7534246575342466]",True
./processed/libretro@@RetroArch-v1.15.0/lua_sethook@@@deps@#@lua@#@src@#@ldebug.c,./cache/old_new_funcs/vul/sample/CVE-2020-15945_CWE-XXXX-XXXX_a2195644d89812e5b157ce7bac35543e06db05e3_CVE-2020-15945_a2195644d89812e5b157ce7bac35543e06db05e3_ldebug.c_1.1_lua_sethook_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2020-15945_CWE-XXXX-XXXX_a2195644d89812e5b157ce7bac35543e06db05e3_CVE-2020-15945_a2195644d89812e5b157ce7bac35543e06db05e3_ldebug.c_1.1_lua_sethook_NEW.vul,['no vuln_file emb'],True
./processed/libretro@@RetroArch-v1.15.0/findlocal@@@deps@#@lua@#@src@#@ldebug.c,./cache/old_new_funcs/vul/sample/CVE-2020-24370_CWE-XXXX-XXXX_a585eae6e7ada1ca9271607a4f48dfb17868ab7b_CVE-2020-24370_a585eae6e7ada1ca9271607a4f48dfb17868ab7b_ldebug.c_1.1_luaG_findlocal_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2020-24370_CWE-XXXX-XXXX_a585eae6e7ada1ca9271607a4f48dfb17868ab7b_CVE-2020-24370_a585eae6e7ada1ca9271607a4f48dfb17868ab7b_ldebug.c_1.1_luaG_findlocal_NEW.vul,"[True, True, True, 0.7326388888888888, 0.7079037800687286]",True
./processed/libretro@@RetroArch-v1.15.0/luaV_concat@@@deps@#@lua@#@src@#@lvm.c,./cache/old_new_funcs/vul/sample/CVE-2022-33099_CWE-XXXX-XXXX_42d40581dd919fb134c07027ca1ce0844c670daf_CVE-2022-33099_42d40581dd919fb134c07027ca1ce0844c670daf_lvm.c_1.1_luaV_concat_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2022-33099_CWE-XXXX-XXXX_42d40581dd919fb134c07027ca1ce0844c670daf_CVE-2022-33099_42d40581dd919fb134c07027ca1ce0844c670daf_lvm.c_1.1_luaV_concat_NEW.vul,[False],False
