target_file,vuln_file,patch_file,datail,predict
./processed/libtom@@libtommath-v1.2.1/mp_init_size@@@bn_mp_init_size.c,.//3.FIRE/cache/old_new_funcs/vul/sample/CVE-2023-36328_CWE-XXXX-XXXX_7bbc1f8e4fe6dce75055957645117180768efb15_CVE-2023-36328_7bbc1f8e4fe6dce75055957645117180768efb15_bn_mp_init_size.c_1.1_mp_init_size_OLD.vul,.//3.FIRE/cache/old_new_funcs/no_vul/CVE-2023-36328_CWE-XXXX-XXXX_7bbc1f8e4fe6dce75055957645117180768efb15_CVE-2023-36328_7bbc1f8e4fe6dce75055957645117180768efb15_bn_mp_init_size.c_1.1_mp_init_size_NEW.vul,"[True, 'no del line', False]",False
./processed/libtom@@libtommath-v1.2.1/mp_mul_2d@@@bn_mp_mul_2d.c,.//3.FIRE/cache/old_new_funcs/vul/sample/CVE-2023-36328_CWE-XXXX-XXXX_7bbc1f8e4fe6dce75055957645117180768efb15_CVE-2023-36328_7bbc1f8e4fe6dce75055957645117180768efb15_bn_mp_mul_2d.c_1.1_mp_mul_2d_OLD.vul,.//3.FIRE/cache/old_new_funcs/no_vul/CVE-2023-36328_CWE-XXXX-XXXX_7bbc1f8e4fe6dce75055957645117180768efb15_CVE-2023-36328_7bbc1f8e4fe6dce75055957645117180768efb15_bn_mp_mul_2d.c_1.1_mp_mul_2d_NEW.vul,"[True, 'no del line', False]",False
./processed/libtom@@libtommath-v1.2.1/s_mp_mul_high_digs_fast@@@bn_s_mp_mul_high_digs_fast.c,.//3.FIRE/cache/old_new_funcs/vul/sample/CVE-2023-36328_CWE-XXXX-XXXX_7bbc1f8e4fe6dce75055957645117180768efb15_CVE-2023-36328_7bbc1f8e4fe6dce75055957645117180768efb15_bn_s_mp_mul_digs_fast.c_1.1_s_mp_mul_digs_fast_OLD.vul,.//3.FIRE/cache/old_new_funcs/no_vul/CVE-2023-36328_CWE-XXXX-XXXX_7bbc1f8e4fe6dce75055957645117180768efb15_CVE-2023-36328_7bbc1f8e4fe6dce75055957645117180768efb15_bn_s_mp_mul_digs_fast.c_1.1_s_mp_mul_digs_fast_NEW.vul,"[True, 'no del line', False]",False
./processed/libtom@@libtommath-v1.2.1/s_mp_mul_high_digs_fast@@@bn_s_mp_mul_high_digs_fast.c,.//3.FIRE/cache/old_new_funcs/vul/sample/CVE-2023-36328_CWE-XXXX-XXXX_7bbc1f8e4fe6dce75055957645117180768efb15_CVE-2023-36328_7bbc1f8e4fe6dce75055957645117180768efb15_bn_s_mp_mul_high_digs_fast.c_1.1_s_mp_mul_high_digs_fast_OLD.vul,.//3.FIRE/cache/old_new_funcs/no_vul/CVE-2023-36328_CWE-XXXX-XXXX_7bbc1f8e4fe6dce75055957645117180768efb15_CVE-2023-36328_7bbc1f8e4fe6dce75055957645117180768efb15_bn_s_mp_mul_high_digs_fast.c_1.1_s_mp_mul_high_digs_fast_NEW.vul,"[True, 'no del line', False]",False
./processed/libtom@@libtommath-v1.2.1/mp_init@@@bn_mp_init.c,.//3.FIRE/cache/old_new_funcs/vul/sample/CVE-2023-36328_CWE-XXXX-XXXX_7bbc1f8e4fe6dce75055957645117180768efb15_CVE-2023-36328_7bbc1f8e4fe6dce75055957645117180768efb15_bn_mp_init_size.c_1.1_mp_init_size_OLD.vul,.//3.FIRE/cache/old_new_funcs/no_vul/CVE-2023-36328_CWE-XXXX-XXXX_7bbc1f8e4fe6dce75055957645117180768efb15_CVE-2023-36328_7bbc1f8e4fe6dce75055957645117180768efb15_bn_mp_init_size.c_1.1_mp_init_size_NEW.vul,"[True, 'no del line', True, True, 0.631578947368421, 0.5637583892617449]",True
./processed/libtom@@libtommath-v1.2.1/s_mp_mul_digs_fast@@@bn_s_mp_mul_digs_fast.c,.//3.FIRE/cache/old_new_funcs/vul/sample/CVE-2023-36328_CWE-XXXX-XXXX_7bbc1f8e4fe6dce75055957645117180768efb15_CVE-2023-36328_7bbc1f8e4fe6dce75055957645117180768efb15_bn_s_mp_mul_digs_fast.c_1.1_s_mp_mul_digs_fast_OLD.vul,.//3.FIRE/cache/old_new_funcs/no_vul/CVE-2023-36328_CWE-XXXX-XXXX_7bbc1f8e4fe6dce75055957645117180768efb15_CVE-2023-36328_7bbc1f8e4fe6dce75055957645117180768efb15_bn_s_mp_mul_digs_fast.c_1.1_s_mp_mul_digs_fast_NEW.vul,"[True, 'no del line', False]",False
./processed/libtom@@libtommath-v1.2.1/s_mp_mul_digs_fast@@@bn_s_mp_mul_digs_fast.c,.//3.FIRE/cache/old_new_funcs/vul/sample/CVE-2023-36328_CWE-XXXX-XXXX_7bbc1f8e4fe6dce75055957645117180768efb15_CVE-2023-36328_7bbc1f8e4fe6dce75055957645117180768efb15_bn_s_mp_mul_high_digs_fast.c_1.1_s_mp_mul_high_digs_fast_OLD.vul,.//3.FIRE/cache/old_new_funcs/no_vul/CVE-2023-36328_CWE-XXXX-XXXX_7bbc1f8e4fe6dce75055957645117180768efb15_CVE-2023-36328_7bbc1f8e4fe6dce75055957645117180768efb15_bn_s_mp_mul_high_digs_fast.c_1.1_s_mp_mul_high_digs_fast_NEW.vul,"[True, 'no del line', False]",False
./processed/libtom@@libtommath-v1.2.1/s_mp_mul_digs@@@bn_s_mp_mul_digs.c,.//3.FIRE/cache/old_new_funcs/vul/sample/CVE-2023-36328_CWE-XXXX-XXXX_7bbc1f8e4fe6dce75055957645117180768efb15_CVE-2023-36328_7bbc1f8e4fe6dce75055957645117180768efb15_bn_s_mp_mul_digs.c_1.1_s_mp_mul_digs_OLD.vul,.//3.FIRE/cache/old_new_funcs/no_vul/CVE-2023-36328_CWE-XXXX-XXXX_7bbc1f8e4fe6dce75055957645117180768efb15_CVE-2023-36328_7bbc1f8e4fe6dce75055957645117180768efb15_bn_s_mp_mul_digs.c_1.1_s_mp_mul_digs_NEW.vul,"[True, 'no del line', False]",False
./processed/libtom@@libtommath-v1.2.1/s_mp_mul_digs@@@bn_s_mp_mul_digs.c,.//3.FIRE/cache/old_new_funcs/vul/sample/CVE-2023-36328_CWE-XXXX-XXXX_7bbc1f8e4fe6dce75055957645117180768efb15_CVE-2023-36328_7bbc1f8e4fe6dce75055957645117180768efb15_bn_s_mp_mul_high_digs.c_1.1_s_mp_mul_high_digs_OLD.vul,.//3.FIRE/cache/old_new_funcs/no_vul/CVE-2023-36328_CWE-XXXX-XXXX_7bbc1f8e4fe6dce75055957645117180768efb15_CVE-2023-36328_7bbc1f8e4fe6dce75055957645117180768efb15_bn_s_mp_mul_high_digs.c_1.1_s_mp_mul_high_digs_NEW.vul,"[True, 'no del line', False]",False
./processed/libtom@@libtommath-v1.2.1/s_mp_sqr_fast@@@bn_s_mp_sqr_fast.c,.//3.FIRE/cache/old_new_funcs/vul/sample/CVE-2023-36328_CWE-XXXX-XXXX_7bbc1f8e4fe6dce75055957645117180768efb15_CVE-2023-36328_7bbc1f8e4fe6dce75055957645117180768efb15_bn_s_mp_mul_digs_fast.c_1.1_s_mp_mul_digs_fast_OLD.vul,.//3.FIRE/cache/old_new_funcs/no_vul/CVE-2023-36328_CWE-XXXX-XXXX_7bbc1f8e4fe6dce75055957645117180768efb15_CVE-2023-36328_7bbc1f8e4fe6dce75055957645117180768efb15_bn_s_mp_mul_digs_fast.c_1.1_s_mp_mul_digs_fast_NEW.vul,"[True, 'no del line', True, False, 0.5347334410339257, 0.5382165605095541]",False
