target_file,vuln_file,patch_file,datail,predict
./processed/michaelrsweet@@htmldoc-v1.9.8/image_load_png@@@htmldoc@#@image.cxx,./cache/old_new_funcs/vul/sample/CVE-2022-27114_CWE-XXXX-XXXX_31f780487e5ddc426888638786cdc47631687275_CVE-2022-27114_31f780487e5ddc426888638786cdc47631687275_image.cxx_1.1_image_load_png_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2022-27114_CWE-XXXX-XXXX_31f780487e5ddc426888638786cdc47631687275_CVE-2022-27114_31f780487e5ddc426888638786cdc47631687275_image.cxx_1.1_image_load_png_NEW.vul,"[True, 'no del line', True, True, 0.9645301804604853, 0.9276315789473685]",True
./processed/michaelrsweet@@htmldoc-v1.9.8/gif_read_image@@@htmldoc@#@image.cxx,./cache/old_new_funcs/vul/sample/CVE-2022-0534_CWE-XXXX-XXXX_312f0f9c12f26fbe015cd0e6cefa40e4b99017d9_CVE-2022-0534_312f0f9c12f26fbe015cd0e6cefa40e4b99017d9_image.cxx_1.1_gif_read_image_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2022-0534_CWE-XXXX-XXXX_312f0f9c12f26fbe015cd0e6cefa40e4b99017d9_CVE-2022-0534_312f0f9c12f26fbe015cd0e6cefa40e4b99017d9_image.cxx_1.1_gif_read_image_NEW.vul,"[True, 'no del line', True, True, 0.9617834394904459, 0.8813229571984436]",True
./processed/michaelrsweet@@htmldoc-v1.9.8/image_load_jpeg@@@htmldoc@#@image.cxx,./cache/old_new_funcs/vul/sample/CVE-2021-23191_CWE-XXXX-XXXX_369b2ea1fd0d0537ba707f20a2f047b6afd2fbdc_CVE-2021-23191_369b2ea1fd0d0537ba707f20a2f047b6afd2fbdc_image.cxx_1.1_image_load_jpeg_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2021-23191_CWE-XXXX-XXXX_369b2ea1fd0d0537ba707f20a2f047b6afd2fbdc_CVE-2021-23191_369b2ea1fd0d0537ba707f20a2f047b6afd2fbdc_image.cxx_1.1_image_load_jpeg_NEW.vul,"[True, True, True, 0.9891696750902527, 0.8390625]",True
./processed/michaelrsweet@@htmldoc-v1.9.8/image_load_jpeg@@@htmldoc@#@image.cxx,./cache/old_new_funcs/vul/sample/CVE-2022-27114_CWE-XXXX-XXXX_31f780487e5ddc426888638786cdc47631687275_CVE-2022-27114_31f780487e5ddc426888638786cdc47631687275_image.cxx_1.1_image_load_jpeg_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2022-27114_CWE-XXXX-XXXX_31f780487e5ddc426888638786cdc47631687275_CVE-2022-27114_31f780487e5ddc426888638786cdc47631687275_image.cxx_1.1_image_load_jpeg_NEW.vul,"[True, 'no del line', False]",False
./processed/michaelrsweet@@htmldoc-v1.9.8/pspdf_prepare_page@@@htmldoc@#@ps-pdf.cxx,./cache/old_new_funcs/vul/sample/CVE-2021-23191_CWE-XXXX-XXXX_369b2ea1fd0d0537ba707f20a2f047b6afd2fbdc_CVE-2021-23191_369b2ea1fd0d0537ba707f20a2f047b6afd2fbdc_ps-pdf.cxx_1.1_pspdf_prepare_page_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2021-23191_CWE-XXXX-XXXX_369b2ea1fd0d0537ba707f20a2f047b6afd2fbdc_CVE-2021-23191_369b2ea1fd0d0537ba707f20a2f047b6afd2fbdc_ps-pdf.cxx_1.1_pspdf_prepare_page_NEW.vul,"[True, 'no del line', True, True, 0.9925650557620818, 0.9685230024213075]",True
./processed/michaelrsweet@@htmldoc-v1.9.8/gif_read_image@@@htmldoc@#@image.cxx,./cache/old_new_funcs/vul/sample/CVE-2022-0534_CWE-XXXX-XXXX_312f0f9c12f26fbe015cd0e6cefa40e4b99017d9_CVE-2022-0534_312f0f9c12f26fbe015cd0e6cefa40e4b99017d9_image.cxx_1.1_gif_read_image_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2022-0534_CWE-XXXX-XXXX_312f0f9c12f26fbe015cd0e6cefa40e4b99017d9_CVE-2022-0534_312f0f9c12f26fbe015cd0e6cefa40e4b99017d9_image.cxx_1.1_gif_read_image_NEW.vul,['no vuln_file emb'],True
./processed/michaelrsweet@@htmldoc-v1.9.8/render_table_row@@@htmldoc@#@ps-pdf.cxx,./cache/old_new_funcs/vul/sample/CVE-2021-23206_CWE-XXXX-XXXX_ba61a3ece382389ae4482c7027af8b32e8ab4cc8_CVE-2021-23206_ba61a3ece382389ae4482c7027af8b32e8ab4cc8_ps-pdf.cxx_1.1_render_table_row_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2021-23206_CWE-XXXX-XXXX_ba61a3ece382389ae4482c7027af8b32e8ab4cc8_CVE-2021-23206_ba61a3ece382389ae4482c7027af8b32e8ab4cc8_ps-pdf.cxx_1.1_render_table_row_NEW.vul,"[True, True, True, 0.9990220048899755, 0.99609375]",True
./processed/michaelrsweet@@htmldoc-v1.9.8/file_extension@@@htmldoc@#@file.c,./cache/old_new_funcs/vul/sample/CVE-2021-23180_CWE-XXXX-XXXX_19c582fb32eac74b57e155cffbb529377a9e751a_CVE-2021-23180_19c582fb32eac74b57e155cffbb529377a9e751a_file.c_1.1_file_extension_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2021-23180_CWE-XXXX-XXXX_19c582fb32eac74b57e155cffbb529377a9e751a_CVE-2021-23180_19c582fb32eac74b57e155cffbb529377a9e751a_file.c_1.1_file_extension_NEW.vul,"[True, True, True, 0.984375, 0.9137931034482759]",True
./processed/michaelrsweet@@htmldoc-v1.9.8/image_load_bmp@@@htmldoc@#@image.cxx,./cache/old_new_funcs/vul/sample/CVE-2022-27114_CWE-XXXX-XXXX_31f780487e5ddc426888638786cdc47631687275_CVE-2022-27114_31f780487e5ddc426888638786cdc47631687275_image.cxx_1.1_image_load_bmp_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2022-27114_CWE-XXXX-XXXX_31f780487e5ddc426888638786cdc47631687275_CVE-2022-27114_31f780487e5ddc426888638786cdc47631687275_image.cxx_1.1_image_load_bmp_NEW.vul,[False],False
./processed/michaelrsweet@@htmldoc-v1.9.8/file_rlookup@@@htmldoc@#@file.c,./cache/old_new_funcs/vul/sample/CVE-2021-23191_CWE-XXXX-XXXX_369b2ea1fd0d0537ba707f20a2f047b6afd2fbdc_CVE-2021-23191_369b2ea1fd0d0537ba707f20a2f047b6afd2fbdc_file.c_1.1_file_rlookup_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2021-23191_CWE-XXXX-XXXX_369b2ea1fd0d0537ba707f20a2f047b6afd2fbdc_CVE-2021-23191_369b2ea1fd0d0537ba707f20a2f047b6afd2fbdc_file.c_1.1_file_rlookup_NEW.vul,"[True, 'no del line', True, True, 0.9387755102040817, 0.6267605633802817]",True
