CVE,commit_file_location,git_repo_location,work_dir
CVE-2020-35518,/path/to/commit_info/389ds@@389-ds-base/CVE-2020-35518_b6aae4d8e7c8a6ddd21646f94fef1bf7f22c3f32.diff,/path/to/signature/repo/389ds@@389-ds-base,/path/to/work
CVE-2020-15173,/path/to/commit_info/accel-ppp@@accel-ppp/CVE-2020-15173_2324bcd5ba12cf28f47357a8f03cd41b7c04c52b.diff,/path/to/signature/repo/accel-ppp@@accel-ppp,/path/to/work
CVE-2020-14147,/path/to/commit_info/antirez@@redis/CVE-2020-14147_ef764dde1cca2f25d00686673d1bc89448819571.diff,/path/to/signature/repo/antirez@@redis,/path/to/work
CVE-2020-12607,/path/to/commit_info/AntonKueltz@@fastecdsa/CVE-2020-12607_e592f106edd5acf6dacedfab2ad16fe6c735c9d1.diff,/path/to/signature/repo/AntonKueltz@@fastecdsa,/path/to/work
CVE-2021-25939,/path/to/commit_info/arangodb@@arangodb/CVE-2021-25939_d7b35a6884c6b2802d34d79fb2a79fb2c9ec2175.diff,/path/to/signature/repo/arangodb@@arangodb,/path/to/work
CVE-2021-25940,/path/to/commit_info/arangodb@@arangodb/CVE-2021-25940_e9c6ee9dcca7b9b4fbcd02a0b323d205bee838d3.diff,/path/to/signature/repo/arangodb@@arangodb,/path/to/work
CVE-2021-3889,/path/to/commit_info/bfabiszewski@@libmobi/CVE-2021-3889_bec783e6212439a335ba6e8df7ab8ed610ca9a21.diff,/path/to/signature/repo/bfabiszewski@@libmobi,/path/to/work
CVE-2020-27153,/path/to/commit_info/bluez@@bluez/CVE-2020-27153_1cd644db8c23a2f530ddb93cebed7dacc5f5721a.diff,/path/to/signature/repo/bluez@@bluez,/path/to/work
CVE-2021-3658,/path/to/commit_info/bluez@@bluez/CVE-2021-3658_b497b5942a8beb8f89ca1c359c54ad67ec843055.diff,/path/to/signature/repo/bluez@@bluez,/path/to/work
CVE-2021-45005,/path/to/commit_info/ccxvii@@mujs/CVE-2021-45005_df8559e7bdbc6065276e786217eeee70f28fce66.diff,/path/to/signature/repo/ccxvii@@mujs,/path/to/work
CVE-2021-3660,/path/to/commit_info/cockpit-project@@cockpit/CVE-2021-3660_8d9bc10d8128aae03dfde62fd00075fe492ead10.diff,/path/to/signature/repo/cockpit-project@@cockpit,/path/to/work
CVE-2020-11722,/path/to/commit_info/crawl@@crawl/CVE-2020-11722_768f60da87a3fa0b5561da5ade9309577c176d04.diff,/path/to/signature/repo/crawl@@crawl,/path/to/work
CVE-2021-22901,/path/to/commit_info/curl@@curl/CVE-2021-22901_7f4a9a9b2a49547eae24d2e19bc5c346e9026479.diff,/path/to/signature/repo/curl@@curl,/path/to/work
CVE-2020-36279,/path/to/commit_info/DanBloomberg@@leptonica/CVE-2020-36279_3c18c43b6a3f753f0dfff99610d46ad46b8bfac4.diff,/path/to/signature/repo/DanBloomberg@@leptonica,/path/to/work
CVE-2020-26272,/path/to/commit_info/electron@@electron/CVE-2020-26272_07a1c2a3e5845901f7e2eda9506695be58edc73c.diff,/path/to/signature/repo/electron@@electron,/path/to/work
CVE-2020-15174,/path/to/commit_info/electron@@electron/CVE-2020-15174_18613925610ba319da7f497b6deed85ad712c59b.diff,/path/to/signature/repo/electron@@electron,/path/to/work
CVE-2020-20740,/path/to/commit_info/enferex@@pdfresurrect/CVE-2020-20740_1b422459f07353adce2878806d5247d9e91fb397.diff,/path/to/signature/repo/enferex@@pdfresurrect,/path/to/work
CVE-2021-43825,/path/to/commit_info/envoyproxy@@envoy/CVE-2021-43825_148de954ed3585d8b4298b424aa24916d0de6136.diff,/path/to/signature/repo/envoyproxy@@envoy,/path/to/work
CVE-2021-43826,/path/to/commit_info/envoyproxy@@envoy/CVE-2021-43826_ce0ae309057a216aba031aff81c445c90c6ef145.diff,/path/to/signature/repo/envoyproxy@@envoy,/path/to/work
CVE-2021-24028,/path/to/commit_info/facebook@@fbthrift/CVE-2021-24028_bfda1efa547dce11a38592820916db01b05b9339.diff,/path/to/signature/repo/facebook@@fbthrift,/path/to/work
CVE-2021-24036,/path/to/commit_info/facebook@@folly/CVE-2021-24036_4f304af1411e68851bdd00ef6140e9de4616f7d3.diff,/path/to/signature/repo/facebook@@folly,/path/to/work
