CVE,target_repo,target_tag,TOOL,TP/FP
CVE-2020-10672,FasterXML@@jackson-databind,jackson-databind-2.6.7.4,AntMan,FP
CVE-2020-10672,FasterXML@@jackson-databind,jackson-databind-2.17.2,MVP,FP
CVE-2020-10672,FasterXML@@jackson-databind,jackson-databind-2.9.10.2,AntMan,TP
CVE-2020-10672,FasterXML@@jackson-databind,jackson-databind-2.13.4,MVP,FP
CVE-2020-10672,FasterXML@@jackson-databind,jackson-databind-2.13.2,MVP,FP
CVE-2020-10672,FasterXML@@jackson-databind,jackson-databind-2.10.5,"MVP, AntMan",TP
CVE-2020-10672,FasterXML@@jackson-databind,jackson-databind-2.9.10.4,"MVP, AntMan",TP
CVE-2020-10672,FasterXML@@jackson-databind,jackson-databind-2.6.7.5,MVP,FP
CVE-2020-10672,FasterXML@@jackson-databind,jackson-databind-2.15.0,MVP,FP
CVE-2020-10968,FasterXML@@jackson-databind,jackson-databind-2.13.2,AntMan,FP
CVE-2020-10968,FasterXML@@jackson-databind,jackson-databind-2.15.0,AntMan,FP
CVE-2020-10968,FasterXML@@jackson-databind,jackson-databind-2.17.2,MVP,FP
CVE-2020-10968,FasterXML@@jackson-databind,jackson-databind-2.9.10.2,AntMan,TP
CVE-2020-10968,FasterXML@@jackson-databind,jackson-databind-2.13.5,MVP,FP
CVE-2020-11007,shopizer-ecommerce@@shopizer,v2.14.0,AntMan,FP
CVE-2020-11007,shopizer-ecommerce@@shopizer,v3.2.5,AntMan,FP
CVE-2020-11007,shopizer-ecommerce@@shopizer,3.1.0,MVP,FP
CVE-2020-11007,shopizer-ecommerce@@shopizer,3.0.0,MVP,FP
CVE-2020-11111,FasterXML@@jackson-databind,jackson-databind-2.18.1,"MVP, AntMan",FP
CVE-2020-11111,FasterXML@@jackson-databind,jackson-databind-2.13.5,MVP,FP
CVE-2020-11111,FasterXML@@jackson-databind,jackson-databind-2.9.10.2,AntMan,TP
CVE-2020-11111,FasterXML@@jackson-databind,jackson-databind-2.15.3,MVP,FP
CVE-2020-11111,FasterXML@@jackson-databind,jackson-databind-2.15.4,MVP,FP
CVE-2020-11113,FasterXML@@jackson-databind,jackson-databind-2.9.10.2,"MVP, AntMan",TP
CVE-2020-11113,FasterXML@@jackson-databind,jackson-databind-2.12.2,MVP,FP
CVE-2020-11113,FasterXML@@jackson-databind,jackson-databind-2.13.2,MVP,FP
CVE-2020-11612,netty@@netty,netty-4.1.94.Final,AntMan,FP
CVE-2020-11612,netty@@netty,netty-4.1.45.Final,AntMan,TP
CVE-2020-11612,netty@@netty,netty-5.0.0.Alpha2,"MVP, AntMan",FP
CVE-2020-11612,netty@@netty,netty-4.1.90.Final,AntMan,FP
CVE-2020-11612,netty@@netty,netty-4.1.105.Final,MVP,FP
CVE-2020-11612,netty@@netty,netty-4.1.60.Final,MVP,FP
CVE-2020-11612,netty@@netty,netty-4.2.0.RC1,MVP,FP
CVE-2020-11612,netty@@netty,netty-4.1.49.Final,MVP,FP
CVE-2020-11612,netty@@netty,netty-4.1.66.Final,MVP,FP
CVE-2020-11612,netty@@netty,netty-4.1.74.Final,MVP,FP
CVE-2020-11620,FasterXML@@jackson-databind,jackson-databind-2.15.4,AntMan,FP
CVE-2020-11620,FasterXML@@jackson-databind,jackson-databind-2.9.10.2,AntMan,TP
CVE-2020-11620,FasterXML@@jackson-databind,jackson-databind-2.17.2,MVP,FP
CVE-2020-11620,FasterXML@@jackson-databind,jackson-databind-2.9.10.4,AntMan,TP
CVE-2020-11620,FasterXML@@jackson-databind,jackson-databind-2.10.5,"MVP, AntMan",TP
CVE-2020-11620,FasterXML@@jackson-databind,jackson-databind-2.6.7.4,MVP,FP
CVE-2020-11620,FasterXML@@jackson-databind,jackson-databind-2.18.1,MVP,FP
CVE-2020-13921,apache@@skywalking,v10.1.0,AntMan,FP
CVE-2020-13921,apache@@skywalking,v8.7.0,AntMan,FP
CVE-2020-13921,apache@@skywalking,v7.0.0,"MVP, AntMan",FP
CVE-2020-13921,apache@@skywalking,v9.3.0,AntMan,FP
CVE-2020-13921,apache@@skywalking,v7.0.0,"VUDDY, AntMan",TP
CVE-2020-13921,apache@@skywalking,v8.3.0,MVP,FP
CVE-2020-13921,apache@@skywalking,v9.4.0,MVP,FP
CVE-2020-13925,apache@@kylin,kylin-4.0.0-beta,MVP,FP
CVE-2020-13925,apache@@kylin,kylin-5.0.0-alpha,MVP,FP
CVE-2020-13925,apache@@kylin,kylin-4.0.0-beta,AntMan,TP
CVE-2020-13925,apache@@kylin,kylin-3.1.3,MVP,FP
CVE-2020-13925,apache@@kylin,kylin-3.0.1,AntMan,TP
CVE-2020-13925,apache@@kylin,kylin-5.0.0-beta,MVP,FP
CVE-2020-13925,apache@@kylin,kylin-3.1.1,MVP,FP
CVE-2020-13929,apache@@zeppelin,v0.10.0,"VUDDY, MVP, AntMan",TP
CVE-2020-13929,apache@@zeppelin,v0.11.2-rc1,AntMan,FP
CVE-2020-13929,apache@@zeppelin,v0.9.0-preview1,"VUDDY, AntMan",TP
CVE-2020-13929,apache@@zeppelin,v0.9.0-docker,AntMan,TP
