File,Line,Column,DefaultLevel,Level,Category,Name,Warning,Suggestion,Note,CWEs,Context,Fingerprint,ToolVersion,RuleId,HelpUri
vul_files/Matthias-Wandel@@jhead-3.06.0.1-CVE-2022-41751-TP.c,170,13,4,4,shell,system,This causes a new program to execute and is difficult to use safely (CWE-78).,try using a library call that implements the same functionality if available.,,CWE-78,        a = system(QuotedPath);,4001c86b35fdc7b2b0e175018d244e88f873883c58ae9fa15e87d9ed75bc1c3f,2.0.19,FF1044,https://cwe.mitre.org/data/definitions/78.html
vul_files/Matthias-Wandel@@jhead-3.06.0.1-CVE-2022-41751-TP.c,412,9,4,4,shell,system,This causes a new program to execute and is difficult to use safely (CWE-78).,try using a library call that implements the same functionality if available.,,CWE-78,    a = system(ExecString);,d88e5c49816a6dd0c2fc2818b9460f5658f802a60a25e8ff635f6cb6e01bb19a,2.0.19,FF1044,https://cwe.mitre.org/data/definitions/78.html
vul_files/Matthias-Wandel@@jhead-3.06.0.1-CVE-2022-41751-TP.c,760,21,4,4,shell,system,This causes a new program to execute and is difficult to use safely (CWE-78).,try using a library call that implements the same functionality if available.,,CWE-78,                if (system(RotateCommand) == 0){,78ce62a123af6bf1f1d219bdfedf1cbb8c0c17848d34ed5118c926de477e45c5,2.0.19,FF1044,https://cwe.mitre.org/data/definitions/78.html
vul_files/Matthias-Wandel@@jhead-3.06.0.1-CVE-2022-41751-TP.c,788,9,4,4,shell,system,This causes a new program to execute and is difficult to use safely (CWE-78).,try using a library call that implements the same functionality if available.,,CWE-78,    if (system(ThumbnailGenCommand) == 0){,45f1c39371ac02869f105bda3b7599935df6b8171896681e0f23986bf5930a2e,2.0.19,FF1044,https://cwe.mitre.org/data/definitions/78.html
vul_files/MisterTea@@EternalTerminal-et-v6.0.12-CVE-2022-24950-TP.c,12,16,5,5,race,chown,"This accepts filename arguments; if an attacker can move those files, a race condition results. (CWE-362).",Use fchown( ) instead.,,CWE-362,"  FATAL_FAIL(::chown(_routerEndpoint.name().c_str(), getuid(), getgid()));",fa9065683f0a9cba7610b72f43f65d96a8c009e91cbdabf6fd0ed5bdf312e939,2.0.19,FF1031,https://cwe.mitre.org/data/definitions/362.html
vul_files/MisterTea@@EternalTerminal-et-v6.0.12-CVE-2022-24950-TP.c,13,16,5,5,race,chmod,"This accepts filename arguments; if an attacker can move those files, a race condition results. (CWE-362).",Use fchmod( ) instead.,,CWE-362,"  FATAL_FAIL(::chmod(_routerEndpoint.name().c_str(),",10698a281c835cae6daec3291f3dd40b9deb0e49449e1d24d10ec75843d4cb30,2.0.19,FF1033,https://cwe.mitre.org/data/definitions/362.html
vul_files/MisterTea@@EternalTerminal-et-v6.0.8-CVE-2022-24950-TP.c,12,16,5,5,race,chown,"This accepts filename arguments; if an attacker can move those files, a race condition results. (CWE-362).",Use fchown( ) instead.,,CWE-362,"  FATAL_FAIL(::chown(_routerEndpoint.name().c_str(), getuid(), getgid()));",fa9065683f0a9cba7610b72f43f65d96a8c009e91cbdabf6fd0ed5bdf312e939,2.0.19,FF1031,https://cwe.mitre.org/data/definitions/362.html
vul_files/MisterTea@@EternalTerminal-et-v6.0.8-CVE-2022-24950-TP.c,13,16,5,5,race,chmod,"This accepts filename arguments; if an attacker can move those files, a race condition results. (CWE-362).",Use fchmod( ) instead.,,CWE-362,"  FATAL_FAIL(::chmod(_routerEndpoint.name().c_str(),",10698a281c835cae6daec3291f3dd40b9deb0e49449e1d24d10ec75843d4cb30,2.0.19,FF1033,https://cwe.mitre.org/data/definitions/362.html
vul_files/OpenPrinting@@cups-filters-2.0.0-CVE-2023-24805-TP.c,326,14,4,4,shell,execv,This causes a new program to execute and is difficult to use safely (CWE-78).,try using a library call that implements the same functionality if available.,,CWE-78,"    retval = execv(backend_path, backend_argv);",55bc301826d0c00d42c57dcfdb7583a73c1b382ed455ba2ea48c7da4d38e53f6,2.0.19,FF1043,https://cwe.mitre.org/data/definitions/78.html
vul_files/sysstat@@sysstat-v12.6.1-CVE-2023-33204-TP.c,1574,9,2,2,integer,atoi,"Unless checked, the resulting number can exceed the expected range (CWE-190).","If source untrusted, check both minimum and maximum, even if the input had no minus sign (large numbers can roll over into negative number; consider saving to an unsigned value if that is intended).",,CWE-190,	*val = atoi(s);,d61856722414aebc9b632de276b6a5634fd9adcb9e66a3eb6880adc377211575,2.0.19,FF1047,https://cwe.mitre.org/data/definitions/190.html
vul_files/COVESA@@dlt-daemon-v2.18.5-CVE-2023-36321-TP.c,400,13,4,4,buffer,fscanf,"The scanf() family's %s operation, without a limit specification, permits buffer overflows (CWE-120, CWE-20).","Specify a limit to %s, or use a different input function.",,"CWE-120, CWE-20","        if (fscanf(handle, ""%s"", str1) != 1)",9b059844fa1160ed19a57bfffb7e9334930aea9ea4a164b4f549ba88b24b4fb8,2.0.19,FF1021,https://cwe.mitre.org/data/definitions/120.html
vul_files/COVESA@@dlt-daemon-v2.18.5-CVE-2023-36321-TP.c,415,13,4,4,buffer,fscanf,"The scanf() family's %s operation, without a limit specification, permits buffer overflows (CWE-120, CWE-20).","Specify a limit to %s, or use a different input function.",,"CWE-120, CWE-20","        if (fscanf(handle, ""%s"", str1) != 1)",9b059844fa1160ed19a57bfffb7e9334930aea9ea4a164b4f549ba88b24b4fb8,2.0.19,FF1021,https://cwe.mitre.org/data/definitions/120.html
vul_files/COVESA@@dlt-daemon-v2.18.5-CVE-2023-36321-TP.c,3316,17,4,4,buffer,strcat,Does not check for buffer overflows when concatenating to destination [MS-banned] (CWE-120).,"Consider using strcat_s, strncat, strlcat, or snprintf (warning: strncat is easily misused).",,CWE-120,"                strcat(binary, (i == (value8u & i)) ? ""1"" : ""0"");",8e5330d5f2214dd68148ce48b1b2967e2a6ba092b7c6e987c780446201fe28af,2.0.19,FF1005,https://cwe.mitre.org/data/definitions/120.html
vul_files/COVESA@@dlt-daemon-v2.18.5-CVE-2023-36321-TP.c,3335,17,4,4,buffer,strcat,Does not check for buffer overflows when concatenating to destination [MS-banned] (CWE-120).,"Consider using strcat_s, strncat, strlcat, or snprintf (warning: strncat is easily misused).",,CWE-120,"                strcat(binary, (i == (value16u & i)) ? ""1"" : ""0"");",de0ed8a92e1fb68a5c04a3a1e1e8c89ca788fa7f20d629e34c1a9f9354ab9333,2.0.19,FF1005,https://cwe.mitre.org/data/definitions/120.html
vul_files/COVESA@@dlt-daemon-v2.18.5-CVE-2023-36321-TP.c,66,7,2,2,buffer,char,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length.",,CWE-119!/CWE-120,"const char dltSerialHeader[DLT_ID_SIZE] = { 'D', 'L', 'S', 1 };",fe8aa6696d787a052a330d14be909a9d9cf118fe1996c07826b596da3085cc6f,2.0.19,FF1013,https://cwe.mitre.org/data/definitions/119.html
vul_files/COVESA@@dlt-daemon-v2.18.5-CVE-2023-36321-TP.c,67,1,2,2,buffer,char,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length.",,CWE-119!/CWE-120,"char dltSerialHeaderChar[DLT_ID_SIZE] = { 'D', 'L', 'S', 1 };",b41f84dfc842d7d368cdb2fde606e58ef920d3ff960d168707bdd63a46c284e8,2.0.19,FF1013,https://cwe.mitre.org/data/definitions/119.html
vul_files/COVESA@@dlt-daemon-v2.18.5-CVE-2023-36321-TP.c,70,1,2,2,buffer,char,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length.",,CWE-119!/CWE-120,"char dltFifoBaseDir[DLT_PATH_MAX] = ""/tmp"";",b2f655d850ae480fdab50a20827d4169ccb55c5118b9a93c25a88bce000ac421,2.0.19,FF1013,https://cwe.mitre.org/data/definitions/119.html
vul_files/COVESA@@dlt-daemon-v2.18.5-CVE-2023-36321-TP.c,74,1,2,2,buffer,char,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length.",,CWE-119!/CWE-120,"char dltShmName[NAME_MAX + 1] = ""/dlt-shm"";",c8bc79316c1ca57b4f39e695ef27112da4a3946c7ae3cc0df071871ae5d15e5b,2.0.19,FF1013,https://cwe.mitre.org/data/definitions/119.html
vul_files/COVESA@@dlt-daemon-v2.18.5-CVE-2023-36321-TP.c,80,8,2,2,buffer,char,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length.",,CWE-119!/CWE-120,"static char logging_filename[NAME_MAX + 1] = """";",e1559a8d9961bc2e9181da958001d5a011dd594258c48da4c7b91b78fb58f35e,2.0.19,FF1013,https://cwe.mitre.org/data/definitions/119.html
vul_files/COVESA@@dlt-daemon-v2.18.5-CVE-2023-36321-TP.c,272,16,2,2,buffer,char,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length.",,CWE-119!/CWE-120,        if ((((char *)ptr)[num] < DLT_COMMON_ASCII_CHAR_SPACE) || (((char *)ptr)[num] > DLT_COMMON_ASCII_CHAR_TILDE)) {,979b7e9a2a78e5ca2f7fd3569325e7a13201f6d68e237ce4b460d5f4faeb1922,2.0.19,FF1013,https://cwe.mitre.org/data/definitions/119.html
vul_files/COVESA@@dlt-daemon-v2.18.5-CVE-2023-36321-TP.c,272,70,2,2,buffer,char,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length.",,CWE-119!/CWE-120,        if ((((char *)ptr)[num] < DLT_COMMON_ASCII_CHAR_SPACE) || (((char *)ptr)[num] > DLT_COMMON_ASCII_CHAR_TILDE)) {,979b7e9a2a78e5ca2f7fd3569325e7a13201f6d68e237ce4b460d5f4faeb1922,2.0.19,FF1013,https://cwe.mitre.org/data/definitions/119.html
vul_files/COVESA@@dlt-daemon-v2.18.5-CVE-2023-36321-TP.c,277,19,2,2,buffer,char,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length.",,CWE-119!/CWE-120,            if (((char *)ptr)[num] != DLT_COMMON_ASCII_CHAR_LT),ecc4572f199be4232415fde15ee4bd0ddf52c286c36b6f29b876cc6dbe9d4fbb,2.0.19,FF1013,https://cwe.mitre.org/data/definitions/119.html
vul_files/COVESA@@dlt-daemon-v2.18.5-CVE-2023-36321-TP.c,278,44,2,2,buffer,char,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length.",,CWE-119!/CWE-120,"                snprintf(*text, 2, ""%c"", ((char *)ptr)[num]);",c9abe56293100ef0d972759f3f0d7fe64e31a2ee79347f36f48e02ccd9b84968,2.0.19,FF1013,https://cwe.mitre.org/data/definitions/119.html
vul_files/COVESA@@dlt-daemon-v2.18.5-CVE-2023-36321-TP.c,382,5,2,2,buffer,char,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length.",,CWE-119!/CWE-120,    char str1[DLT_COMMON_BUFFER_LENGTH];,7523eec68b0f94abe8107e60da2f994ff1383a5bd2de417a4f7f34f4fb344e6b,2.0.19,FF1013,https://cwe.mitre.org/data/definitions/119.html
vul_files/COVESA@@dlt-daemon-v2.18.5-CVE-2023-36321-TP.c,383,5,2,2,buffer,char,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length.",,CWE-119!/CWE-120,"    char apid[DLT_ID_SIZE], ctid[DLT_ID_SIZE];",efd66a7daac7d0194c330b32439f69a3896e3336d393b36e39cea17768a7bd54,2.0.19,FF1013,https://cwe.mitre.org/data/definitions/119.html
vul_files/COVESA@@dlt-daemon-v2.18.5-CVE-2023-36321-TP.c,450,5,2,2,buffer,char,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length.",,CWE-119!/CWE-120,    char buf[DLT_COMMON_BUFFER_LENGTH];,11137534fb784f7078c89723ff4669e847e489305e0ba08b5262f0fb18254b66,2.0.19,FF1013,https://cwe.mitre.org/data/definitions/119.html
vul_files/COVESA@@dlt-daemon-v2.18.5-CVE-2023-36321-TP.c,499,17,2,2,buffer,char,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length.",,CWE-119!/CWE-120,"                char empty_ctid[DLT_ID_SIZE] = """";",6ce552a9ed1ae50b56c590a384a8a449c192d09fe5149d562b2181d4fd872d75,2.0.19,FF1013,https://cwe.mitre.org/data/definitions/119.html
vul_files/COVESA@@dlt-daemon-v2.18.5-CVE-2023-36321-TP.c,631,5,2,2,buffer,char,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length.",,CWE-119!/CWE-120,    char buffer [DLT_COMMON_BUFFER_LENGTH];,fccecb7972923cb6e61016f3e271a4b109fa37c8105da64688568a398e5a3a8d,2.0.19,FF1013,https://cwe.mitre.org/data/definitions/119.html
vul_files/COVESA@@dlt-daemon-v2.18.5-CVE-2023-36321-TP.c,978,5,2,2,buffer,memcpy,Does not check for buffer overflows when copying to destination (CWE-120).,Make sure destination can always hold the source data.,,CWE-120,"    memcpy(msg->headerbuffer + sizeof(DltStorageHeader), buffer, sizeof(DltStandardHeader));",45b2c112554c7283108dfe0452a0e9018235e9898b8a11011de7ee01af366e33,2.0.19,FF1004,https://cwe.mitre.org/data/definitions/120.html
vul_files/COVESA@@dlt-daemon-v2.18.5-CVE-2023-36321-TP.c,1008,9,2,2,buffer,memcpy,Does not check for buffer overflows when copying to destination (CWE-120).,Make sure destination can always hold the source data.,,CWE-120,"        memcpy(msg->headerbuffer + sizeof(DltStorageHeader) + sizeof(DltStandardHeader),",6e7ddafa27714b1bb9d6824e3e5d96f8d80f773558948f1cde99526450db2cc0,2.0.19,FF1004,https://cwe.mitre.org/data/definitions/120.html
vul_files/COVESA@@dlt-daemon-v2.18.5-CVE-2023-36321-TP.c,1049,5,2,2,buffer,memcpy,Does not check for buffer overflows when copying to destination (CWE-120).,Make sure destination can always hold the source data.,,CWE-120,"    memcpy(msg->databuffer, buffer + (msg->headersize - sizeof(DltStorageHeader)), msg->datasize);",b80fc3f995d899e464883d6ade3f28a17500483ce2b4d2631ca7161961f61609,2.0.19,FF1004,https://cwe.mitre.org/data/definitions/120.html
vul_files/COVESA@@dlt-daemon-v2.18.5-CVE-2023-36321-TP.c,1062,9,2,2,buffer,memcpy,Does not check for buffer overflows when copying to destination (CWE-120).,Make sure destination can always hold the source data.,,CWE-120,"        memcpy(msg->headerextra.ecu,",76c887e0f3a09f861ce05849e3d0f0f2180dcaee38999604c08a8ebeaab05950,2.0.19,FF1004,https://cwe.mitre.org/data/definitions/120.html
vul_files/COVESA@@dlt-daemon-v2.18.5-CVE-2023-36321-TP.c,1067,9,2,2,buffer,memcpy,Does not check for buffer overflows when copying to destination (CWE-120).,Make sure destination can always hold the source data.,,CWE-120,"        memcpy(&(msg->headerextra.seid), msg->headerbuffer + sizeof(DltStorageHeader) + sizeof(DltStandardHeader)",87a125b0acd76edc3e072f7eafb950735621379f33eff431b1ef0c34c99ea341,2.0.19,FF1004,https://cwe.mitre.org/data/definitions/120.html
vul_files/COVESA@@dlt-daemon-v2.18.5-CVE-2023-36321-TP.c,1073,9,2,2,buffer,memcpy,Does not check for buffer overflows when copying to destination (CWE-120).,Make sure destination can always hold the source data.,,CWE-120,"        memcpy(&(msg->headerextra.tmsp), msg->headerbuffer + sizeof(DltStorageHeader) + sizeof(DltStandardHeader)",d735170b38764f580b9f847422a53934089cf7a432cb8b7fcdf330e284e5727f,2.0.19,FF1004,https://cwe.mitre.org/data/definitions/120.html
vul_files/COVESA@@dlt-daemon-v2.18.5-CVE-2023-36321-TP.c,1090,9,2,2,buffer,memcpy,Does not check for buffer overflows when copying to destination (CWE-120).,Make sure destination can always hold the source data.,,CWE-120,"        memcpy(msg->headerbuffer + sizeof(DltStorageHeader) + sizeof(DltStandardHeader),",6e7ddafa27714b1bb9d6824e3e5d96f8d80f773558948f1cde99526450db2cc0,2.0.19,FF1004,https://cwe.mitre.org/data/definitions/120.html
vul_files/COVESA@@dlt-daemon-v2.18.5-CVE-2023-36321-TP.c,1096,9,2,2,buffer,memcpy,Does not check for buffer overflows when copying to destination (CWE-120).,Make sure destination can always hold the source data.,,CWE-120,        memcpy(msg->headerbuffer + sizeof(DltStorageHeader) + sizeof(DltStandardHeader),8cef9ae1707b4a71eb18cc98ed0d8902f791ef23ce912c4fcdf2304cf7b426c2,2.0.19,FF1004,https://cwe.mitre.org/data/definitions/120.html
vul_files/COVESA@@dlt-daemon-v2.18.5-CVE-2023-36321-TP.c,1104,9,2,2,buffer,memcpy,Does not check for buffer overflows when copying to destination (CWE-120).,Make sure destination can always hold the source data.,,CWE-120,        memcpy(msg->headerbuffer + sizeof(DltStorageHeader) + sizeof(DltStandardHeader),8cef9ae1707b4a71eb18cc98ed0d8902f791ef23ce912c4fcdf2304cf7b426c2,2.0.19,FF1004,https://cwe.mitre.org/data/definitions/120.html
vul_files/COVESA@@dlt-daemon-v2.18.5-CVE-2023-36321-TP.c,1218,5,2,2,buffer,char,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length.",,CWE-119!/CWE-120,    char dltSerialHeaderBuffer[DLT_ID_SIZE];,e6e3f9b04aafdef876c9cb4c5615a7ed0e0470d2c7ff5b7acb484f29eae59f2e,2.0.19,FF1013,https://cwe.mitre.org/data/definitions/119.html
vul_files/COVESA@@dlt-daemon-v2.18.5-CVE-2023-36321-TP.c,1454,13,2,2,buffer,memcpy,Does not check for buffer overflows when copying to destination (CWE-120).,Make sure destination can always hold the source data.,,CWE-120,"            memcpy(ptr, file->index, file->counter * sizeof(long));",05588c318e2291d17198b61bc7a4b2e3ca0012b513e93fe5ae09b30768cdbe3a,2.0.19,FF1004,https://cwe.mitre.org/data/definitions/120.html
vul_files/COVESA@@dlt-daemon-v2.18.5-CVE-2023-36321-TP.c,1573,13,2,2,buffer,memcpy,Does not check for buffer overflows when copying to destination (CWE-120).,Make sure destination can always hold the source data.,,CWE-120,"            memcpy(ptr, file->index, file->counter * sizeof(long));",05588c318e2291d17198b61bc7a4b2e3ca0012b513e93fe5ae09b30768cdbe3a,2.0.19,FF1004,https://cwe.mitre.org/data/definitions/120.html
vul_files/COVESA@@dlt-daemon-v2.18.5-CVE-2023-36321-TP.c,1799,18,2,2,buffer,char,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length.",,CWE-119!/CWE-120,    static const char asSeverity[LOG_DEBUG +,c2b25da51f288bdae7ddffa5df0a15cde76cb950e15a010034bced3e54d239fd,2.0.19,FF1013,https://cwe.mitre.org/data/definitions/119.html
vul_files/COVESA@@dlt-daemon-v2.18.5-CVE-2023-36321-TP.c,1871,5,2,2,buffer,char,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length.",,CWE-119!/CWE-120,    char outputString[2048] = { 0 }; /* TODO: what is a reasonable string length here? */,8acec57f7c281a38d52590686faa3a2a0579891b32fc6f1513d8d600e297a774,2.0.19,FF1013,https://cwe.mitre.org/data/definitions/119.html
vul_files/COVESA@@dlt-daemon-v2.18.5-CVE-2023-36321-TP.c,2027,9,2,2,buffer,memcpy,Does not check for buffer overflows when copying to destination (CWE-120).,Make sure destination can always hold the source data.,,CWE-120,"        memcpy(receiver->buf, receiver->backup_buf, receiver->lastBytesRcvd);",7583d9e522a1f3e26a5d18d2f1b645f34e79f5eab7c93d2c12fe02c8e4a4b88e,2.0.19,FF1004,https://cwe.mitre.org/data/definitions/120.html
vul_files/COVESA@@dlt-daemon-v2.18.5-CVE-2023-36321-TP.c,2092,13,2,2,buffer,memcpy,Does not check for buffer overflows when copying to destination (CWE-120).,Make sure destination can always hold the source data.,,CWE-120,"            memcpy(receiver->backup_buf, receiver->buf, receiver->bytesRcvd);",1750b088faa210a38753de427cd33e4270ff06af75fca976cd958b76ba813f5b,2.0.19,FF1004,https://cwe.mitre.org/data/definitions/120.html
vul_files/COVESA@@dlt-daemon-v2.18.5-CVE-2023-36321-TP.c,2120,5,2,2,buffer,memcpy,Does not check for buffer overflows when copying to destination (CWE-120).,Make sure destination can always hold the source data.,,CWE-120,"    memcpy(dest, src, to_get);",f37b6e05579fa346d3f3984a3fbaa91361b6ac7a919d1c8d61327c42bffdf478,2.0.19,FF1004,https://cwe.mitre.org/data/definitions/120.html
vul_files/COVESA@@dlt-daemon-v2.18.5-CVE-2023-36321-TP.c,2346,13,2,2,buffer,memcpy,Does not check for buffer overflows when copying to destination (CWE-120).,Make sure destination can always hold the source data.,,CWE-120,"            memcpy(buf->mem + *write, data, size);",5ee223ae0677212a68593a6af54803b0ae7d5d5697ac58ae848f8f1aa5787d69,2.0.19,FF1004,https://cwe.mitre.org/data/definitions/120.html
